COMPANY NAME,ONE 97 COMMUNICATIONS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,333,,,,,,,,,
Market Capitalization,21148.98,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,449.19,624.76,2982.22,3049.87,3115.1,2667.1,3892.4,6027.7
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,2.93,4.64,7.07,9.38,,,,
Other Mfr. Exp,,,4.11,12.21,1675.49,71.71,2864.09,2428.5,2855.2,2749
Employee Cost,,,145.56,325.14,528.66,627.78,825.12,833.9,1907.2,3258.4
Selling and admin,,,1369.32,1052.32,2350.33,6078.58,1827.12,942.8,1272.9,1545.8
Other Expenses,,,646.91,994.56,123.81,376.83,63.46,138.5,152.6,175.4
Other Income,,,233.68,931.6,308.32,250.72,-174.77,309.9,238.9,336.4
Depreciation,,,24.8,39.05,68.92,75.81,143.18,156.8,228.2,469.6
Interest,,,1.27,4.42,27.74,20.02,50.49,36.4,40,21.7
Profit before tax,,,-1512.03,-875.98,-1491.48,-3959.52,-2833.13,-1559.9,-2324.8,-1855.8
Tax,,,-1.7,3.65,-1.01,0.12,0.05,0.2,0.3,
Net profit,,,-1510.33,-879.63,-1490.47,-3959.64,-2833.18,-1560.1,-2325.1,-1855.8
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1051.5,921,1073.1,1245.4,1404.4,1573.9,1804,1844.6,1980.3,2137.9
Expenses,1493.4,1711.4,1773,1876.9,1974.3,1932.2,1945,2140.5,2245.8,2330.1
Other Income,36.2,78.3,108.1,101.3,85.8,47.4,101.9,125.4,125,140.6
Depreciation,45.6,56,90,92.6,99.7,119.6,157.7,155.8,176.5,196.9
Interest,9.9,11.7,7.3,5.2,5,5.2,6.5,6.5,6.7,5.1
Profit before tax,-461.2,-779.8,-689.1,-628,-588.8,-435.7,-203.3,-332.8,-323.7,-253.6
Tax,,,,,,,,,,
Net profit,-461.2,-779.8,-689.1,-628,-588.8,-435.7,-203.3,-332.8,-323.7,-253.6
Operating Profit,-441.9,-790.4,-699.9,-631.5,-569.9,-358.3,-141,-295.9,-265.5,-192.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,46.23,46.99,55.32,57.53,60.43,60.5,64.9,63.4
Reserves,,,2770.71,2328.64,7520.23,5978.5,8351.02,6924,13647.6,12223.3
Borrowings,,,14.98,90.27,241.65,722.46,405.09,588.4,204.2,206.6
Other Liabilities,,,630.19,1422.38,739.07,1924.64,1690.48,1906.7,2439.9,3143.1
Total,,,3462.11,3888.28,8556.27,8683.13,10507.02,9479.6,16356.6,15636.4
Net Block,,,77.55,141.21,166.1,286.14,507.63,390.5,830,1137.1
Capital Work in Progress,,,57.5,71.89,19.52,50.8,11.89,22.7,11.2,7.5
Investments,,,2363.47,971.88,5187.52,3440.38,4211.8,1299.3,1305.3,2493.4
Other Assets,,,963.59,2703.3,3183.13,4905.81,5775.7,7767.1,14210.1,11998.4
Total,,,3462.11,3888.28,8556.27,8683.13,10507.02,9479.6,16356.6,15636.4
Receivables,,,107.85,92.71,504.76,242.21,327.5,491.5,705.9,1142.1
Inventory,,,,,,,,,,
Cash & Bank,,,245.4,556.97,286.92,241.43,369.36,2572.6,4835.4,6312.1
No. of Equity Shares,,,46232832,46990653,55325271,57530000,60435025,60482404,648561414,633788217
New Bonus Shares,,,,,,,,,43737374,
Face value,,,10,10,10,10,10,10,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,-1827.69,-2581.6,-4355.04,-2242.43,-2002.2,-1318,91.6
Cash from Investing Activity,,,,1671.78,-4266.74,1708.84,-2180.87,1718,-5471.9,2945.9
Cash from Financing Activity,,,,471.62,6400.81,2861.08,5169.18,-207.5,8062.4,-1101
Net Cash Flow,,,,315.71,-447.53,214.88,745.88,-491.7,1272.5,1936.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,528.45,636.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,4.62,4.7,5.53,5.75,6.04,6.05,64.86,63.38
