COMPANY NAME,ORIENT CEMENT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,216.6,,,,,,,,,
Market Capitalization,4439.41,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1545.36,1462.44,1874.75,2222.35,2522.17,2421.8,2324.08,2725.42,2937.54,3185.09
Raw Material Cost,205.56,210.75,264.61,271.87,256.22,355.72,304.23,367.04,403.47,456.7
Change in Inventory,17.1,1.91,-8.7,11,3.74,34.89,-20.52,12.33,16.98,-4.26
Power and Fuel,400.91,398.44,526.39,580.71,665.51,591.39,450.63,624.4,928.09,894
Other Mfr. Exp,102.24,106.62,135.93,143.15,151.14,159.71,137.34,176.21,162.4,
Employee Cost,74.1,90.75,118.9,139.83,156.39,156.64,155.22,155.34,168.41,183.56
Selling and admin,493.38,552.7,738.82,900.41,1100.28,948.69,917.66,1144.53,1094.29,
Other Expenses,-20.46,-80.47,-97.58,-108.8,-115.68,-138.33,-212.31,-320.85,-166.71,1197.35
Other Income,6.07,7.55,11.42,19.23,13.96,17.72,18.24,9.56,11.98,15.52
Depreciation,47.33,77.82,121.54,126.17,132.72,140.87,141.85,145.21,146.82,149.16
Interest,14.29,54.44,135.34,129.21,118.5,122.32,93.57,51.43,37.78,34.15
Profit before tax,251.18,60.85,-66.48,70.03,74.79,137.4,333.61,404,191.95,281.43
Tax,56.4,-1.5,-34.38,25.81,27.24,50.81,119.42,140.75,69.14,106.58
Net profit,194.78,62.36,-32.1,44.22,47.55,86.59,214.19,263.25,122.82,174.85
Dividend Amount,35.86,20.49,10.24,15.37,15.37,15.37,40.98,51.22,30.74,30.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,617.53,803.86,713.94,615.28,732.29,876.03,825.18,720.58,751.31,888.03
Expenses,500,650.52,611.75,582.73,641.96,736.58,725.99,634.04,635.91,739.93
Other Income,2.48,1.99,1.21,4.83,1.13,4.85,4.43,1.67,1.91,7.51
Depreciation,36.83,36.62,36.33,36.93,37.09,36.47,36.74,37.13,37.65,37.64
Interest,15.79,4.89,7.98,10.54,9.72,9.53,9.67,8.65,7.88,7.96
Profit before tax,67.39,113.82,59.09,-10.09,44.65,98.3,57.21,42.43,71.78,110.01
Tax,23.72,40.59,21.67,-0.59,17.13,30.92,20.18,17.8,26.79,41.81
Net profit,43.67,73.24,37.42,-9.5,27.52,67.38,37.03,24.63,44.99,68.2
Operating Profit,117.53,153.34,102.19,32.55,90.33,139.45,99.19,86.54,115.4,148.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,20.49,20.49,20.49,20.49,20.49,20.49,20.49,20.49,20.49,20.49
Reserves,955.06,1019.58,966.69,1001.64,1033.02,1097.88,1285.42,1504.94,1583.21,1722.76
Borrowings,1105.72,1285.05,1336.16,1313.62,1289.79,1226.36,797.98,315.59,398.31,169.63
Other Liabilities,484.41,571.23,559.76,601.21,583.59,555.06,708.17,808.62,874.76,942.55
Total,2565.68,2896.35,2883.1,2936.96,2926.89,2899.79,2812.06,2649.64,2876.77,2855.43
Net Block,798.14,2206.53,2295.64,2250.72,2354.53,2271.52,2207.3,2115.14,2010.05,2021
Capital Work in Progress,1319.38,239.37,98.11,158.21,47.81,66.76,41.28,39.77,139.74,88.87
Investments,0.01,,,,,,115.07,14.18,4.16,11.47
Other Assets,448.15,450.45,489.35,528.03,524.55,561.51,448.41,480.55,722.82,734.09
Total,2565.68,2896.35,2883.1,2936.96,2926.89,2899.79,2812.06,2649.64,2876.77,2855.43
Receivables,82.42,92.09,105.53,152.78,179.52,161.78,110.18,127.33,168.92,224.37
Inventory,109.9,135.04,146.66,164.21,185.97,236.61,170.53,186.62,350.91,340.15
Cash & Bank,42.71,37.77,63.92,33.12,28.77,36.02,36.16,43.78,70.12,77.05
No. of Equity Shares,204869000,204869000,204869000,204869000,204869000,204869000,204869000,204869000,204869000,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,155.95,267.94,258.77,279.16,281.29,291.77,714.05,523.92,111,425.92
Cash from Investing Activity,-922.29,-371.44,-124.12,-148.53,-119.92,-73.25,-161.55,70.17,-119.81,-85.29
Cash from Financing Activity,726.64,98.44,-107.94,-161.49,-171.39,-205.86,-552.13,-586.09,35.17,-333.64
Net Cash Flow,-39.69,-5.06,26.72,-30.86,-10.02,12.66,0.37,8.01,26.36,7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,178.05,152.4,131.4,139.35,79,44.7,97.8,142.3,109.95,195.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
