COMPANY NAME,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,15686.5,,,,,,,,,
Market Capitalization,50927.36,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,2020-06-30 00:00:00,2021-06-30 00:00:00,2022-06-30 00:00:00,2023-06-30 00:00:00
Sales,2050.94,2333.79,2275.39,2320.4,2455.29,2946.85,3001.99,3574.14,3900.92,3917.9
Raw Material Cost,807.91,922.16,895.48,966.08,887.05,1274.53,1114.57,1169.52,1565.79,1671.56
Change in Inventory,-4.88,1.24,10.71,51.11,-61.64,37.73,7.82,10.22,6.5,8.53
Power and Fuel,15.1,12.18,11.37,11.23,11.82,12.48,11.58,12.28,12.17,12.57
Other Mfr. Exp,70.96,72.58,82.62,90.45,95.54,153.7,310.55,328.87,265.86,175.11
Employee Cost,95.3,113.67,117.68,114.43,115.74,134.5,174.16,202.76,215.47,207.08
Selling and admin,610.53,703.42,526.9,487.75,581.36,720.47,687.81,897.27,929.59,884.34
Other Expenses,23.68,15.53,43.71,26.89,80.62,70.84,104.86,87.53,86.89,106.31
Other Income,78.31,63.57,85.1,67.25,17.94,44.53,41.54,37.53,22.56,39.75
Depreciation,35.18,52.53,51.67,59.74,52.37,49.78,47.88,47.66,52.88,58.36
Interest,5.39,5.72,6.27,10.42,5.32,5.48,6.07,6.11,11.19,11.38
Profit before tax,460.32,500.81,635.5,671.77,581.77,607.33,593.87,869.89,790.14,839.47
Tax,158.3,154.67,213,239.04,207.18,188.2,160.79,218.1,214.39,161.33
Net profit,302.02,346.14,422.5,432.73,374.59,419.13,433.08,651.79,575.75,678.14
Dividend Amount,89.26,98.19,116.86,1262.69,129.84,285.65,340.83,1022.49,519.36,600.51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1092.98,973.26,776.38,1044.89,1137.39,883.09,852.53,1138.35,1133.43,1002.17
Expenses,796.51,808.25,709.29,830.91,846.9,733.82,637.64,853.46,823.69,744.86
Other Income,6.86,6.03,5.63,6.73,9.31,14.44,10.1,15.77,15.58,13.59
Depreciation,12.89,13.12,14.18,13.96,14.41,14.58,15.41,14.3,14.26,14.54
Interest,2.94,6.82,0.84,0.95,3.86,3.57,3,1.89,2.55,22.42
Profit before tax,287.5,151.1,57.7,205.8,281.53,145.56,206.58,284.47,308.51,233.94
Tax,75.44,48.25,15.15,51.39,74.06,-19.46,55.34,73.78,79.61,79.57
Net profit,212.06,102.85,42.55,154.41,207.47,165.02,151.24,210.69,228.9,154.37
Operating Profit,296.47,165.01,67.09,213.98,290.49,149.27,214.89,284.89,309.74,257.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,2020-06-30 00:00:00,2021-06-30 00:00:00,2022-06-30 00:00:00,2023-06-30 00:00:00
Equity Share Capital,32.46,32.46,32.46,32.46,32.46,32.46,32.46,32.46,32.46,32.46
Reserves,970.44,1196.22,1619.32,493.66,773.04,876.6,1125.4,681.81,705.11,913.57
Borrowings,,,,,,,,3.47,5.1,4.03
Other Liabilities,505.04,719,514.63,634,619.85,707.98,670.54,914.97,939.9,1187.26
Total,1507.94,1947.68,2166.41,1160.12,1425.35,1617.04,1828.4,1632.71,1682.57,2137.32
Net Block,239.51,308.79,317.43,285.71,250.11,234.22,206.5,183.81,163.68,170.04
Capital Work in Progress,98.17,38.98,34.72,40.84,21.48,14.55,22.15,37.58,43.88,22.76
Investments,,,,,,,,,,
Other Assets,1170.26,1599.91,1814.26,833.57,1153.76,1368.27,1599.75,1411.32,1475.01,1944.52
Total,1507.94,1947.68,2166.41,1160.12,1425.35,1617.04,1828.4,1632.71,1682.57,2137.32
Receivables,86.05,113.94,149.62,132.8,148.47,181.37,166.34,142.35,192.08,216.28
Inventory,118.52,119.07,127.48,177.35,123.61,203.42,205.05,249.3,234.02,219.8
Cash & Bank,269.08,618.58,1073.18,116.83,399.59,540.45,902.5,660.24,639.25,977.99
No. of Equity Shares,32460736,32460736,32460736,32460736,32460736,32460736,32460736,32460736,32460736,32460736
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,2020-06-30 00:00:00,2021-06-30 00:00:00,2022-06-30 00:00:00,2023-06-30 00:00:00
Cash from Operating Activity,335.2,425.57,352.46,445.26,415.47,412.97,473.75,863.12,573.1,825.77
Cash from Investing Activity,-135.1,28.37,221.05,149.29,-19.46,34.32,74.72,6.94,-26.85,-9.91
Cash from Financing Activity,-95.01,-105.29,-121.7,-1558.7,-106.1,-313.74,-190.33,-1106.43,-568.94,-477.01
Net Cash Flow,105.09,348.65,451.81,-964.15,289.91,133.55,358.14,-236.37,-22.69,338.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,4255.4,6835,6263.15,8023.15,9924.75,10714.85,10151.65,13307.1,13369.15,14324.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
