COMPANY NAME,P I INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,3514.2,,,,,,,,,
Market Capitalization,53254.75,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1595.54,1940.26,2096.35,2276.83,2277.1,2840.9,3366.5,4577,5299.5,6492
Raw Material Cost,956.03,1138.11,1178.46,1204.07,1161.3,1500.2,1849.6,2671.8,3124.7,3622.4
Change in Inventory,36.26,22.76,19.94,40.89,-7.7,-50,2.2,100.6,201.9,69.7
Power and Fuel,74.62,76.91,60.84,69.2,75.5,91.2,112.4,127.2,153.1,190.1
Other Mfr. Exp,77.56,80.94,30.07,42.44,52.4,65.6,82.6,97,112.1,126.3
Employee Cost,111.52,143.83,193.96,223.79,244.6,266.6,322.4,418.5,494,541.5
Selling and admin,271.92,284.88,144.33,158.35,173.1,193.8,205.1,222,300.6,357.4
Other Expenses,-155.34,-143.9,73.62,64.79,66.5,93.7,76.8,123.1,171.2,179.6
Other Income,11.32,34.9,33.78,36.27,59.8,58.2,49.7,129.3,105,165.7
Depreciation,31.56,49.78,54.28,73.04,83,93,136.7,174.8,201.8,226.5
Interest,13.94,12.13,11.69,8.77,7.3,7.1,19,34,16.1,39.3
Profit before tax,261.31,355.24,402.82,509.54,465.5,537.9,613.8,938.5,1032.8,1444.3
Tax,73.31,109.35,91.28,50.09,97.9,127.7,157.2,200.2,189,214.8
Net profit,188,245.89,311.55,459.44,367.6,410.2,456.6,738.3,843.8,1229.5
Dividend Amount,27.22,34.15,42.5,55.04,55.2,55.2,55.2,76,91.2,152
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1354.2,1356.3,1395.2,1543.2,1770,1613.2,1565.6,1910.4,2116.9,1897.5
Expenses,1062.7,1059.8,1090.2,1197.6,1338.1,1198.1,1222.8,1442.6,1565.5,1343.9
Other Income,27.7,26.3,20.6,28,32.9,50.7,50.7,51.6,48.9,57.5
Depreciation,49.2,50.3,53.6,56,56,56.7,57.7,69.7,80.3,78.3
Interest,3.4,3.3,2.7,3.6,11.1,8.9,3.3,4.3,7.8,7
Profit before tax,266.6,269.2,269.3,314,397.7,400.2,332.5,445.4,512.2,525.8
Tax,37,46.6,64.9,51.6,62.9,48.4,51.9,62.5,31.7,77.2
Net profit,229.6,222.6,204.4,262.4,334.8,351.8,280.6,382.9,480.5,448.6
Operating Profit,291.5,296.5,305,345.6,431.9,415.1,342.8,467.8,551.4,553.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,13.61,13.66,13.71,13.76,13.8,13.8,13.8,15.2,15.2,15.2
Reserves,680.9,882.8,1157.21,1613.42,1911,2271.6,2605.3,5327.2,6105.2,7183.3
Borrowings,122.29,114.79,151.37,120.11,83.4,49.2,518.6,372.8,316.3,46.5
Other Liabilities,501.11,621.94,626.31,554.11,618.2,820.2,1087.1,1286.7,1354.4,1234.7
Total,1317.91,1633.19,1948.6,2301.4,2626.4,3154.8,4224.8,7001.9,7791.1,8479.7
Net Block,526.67,532.67,874.17,945.01,997.7,1185.7,1857.5,2138.2,2452.5,2605.5
Capital Work in Progress,42.48,133.24,71.3,77.32,89.9,182.8,270.7,287.5,114.5,132.4
Investments,0.52,0.52,0.32,83.29,160.6,129.1,150.4,872.4,899.5,1015.6
Other Assets,748.24,966.76,1002.81,1195.78,1378.2,1657.2,1946.2,3703.8,4324.6,4726.2
Total,1317.91,1633.19,1948.6,2301.4,2626.4,3154.8,4224.8,7001.9,7791.1,8479.7
Receivables,256.82,382.58,397.75,423.71,526.8,661.8,646.5,703.5,868.7,772
Inventory,318.76,378.21,394.8,431.95,452,535.7,798.9,1052.8,1423.4,1397.6
Cash & Bank,43.76,34.14,55.99,132.64,130.7,89.2,134.4,1475.7,1410.2,2242.9
No. of Equity Shares,136109080,136576182,137127222,137586624,137907318,138030651,138107993,151894693,151894693,151894693
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,219.11,184.15,366.81,338.85,319.4,390.8,698.1,724.9,528.7,1501.4
Cash from Investing Activity,-50.49,-146.18,-303.36,-235.14,-180.5,-321.6,-984.9,-2430.3,-110.4,-496.2
Cash from Financing Activity,-145.07,-52.58,-47.6,-53.44,-106.1,-125.1,350,1690.4,-177.3,-483.1
Net Cash Flow,23.55,-14.61,15.85,50.26,32.8,-55.9,63.2,-15,241,522.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,278.35,606.2,568.45,838.15,885.2,1031.95,1170.05,2258.15,2819.65,3030.2
,,,,,,,,,,
