COMPANY NAME,PCBL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,251.55,,,,,,,,,
Market Capitalization,9489.64,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2277.46,2470.19,1894.09,1926.95,2557.94,3528.56,3243.54,2659.52,4446.42,5774.06
Raw Material Cost,1856.05,1897.35,1308.94,1221.26,1661.85,2351.96,2185.72,1582.74,3169.12,4356.34
Change in Inventory,25.54,-43.09,-35.61,-15.28,-8.42,55.4,-3.79,-26.19,35.32,3.89
Power and Fuel,17.14,18.17,22.02,21.65,26.53,28.44,22.96,28.11,25.52,26.14
Other Mfr. Exp,133.33,77.82,85.8,100.43,129.33,156.88,122.69,118.77,161.11,161.55
Employee Cost,63.4,70.47,72.96,82.29,106.55,127.53,145.21,144.41,176.92,209.23
Selling and admin,92.44,94.87,93.4,115.7,149.45,194.9,161.05,152.58,181.14,155.77
Other Expenses,115.55,117.31,110.19,105.24,93.22,107.92,137.06,90.09,114.58,137.68
Other Income,21.67,14.12,16.49,11.66,23.01,19.77,28,19.41,28.2,40.59
Depreciation,54.56,58.36,62.15,60.62,60.52,66.38,92.36,110.12,120.89,136.74
Interest,80.25,94.8,72.1,51.45,41.44,36.78,45.9,33.88,29.09,53.41
Profit before tax,-88.05,12.07,47.41,164.69,303.64,532.94,354.8,392.04,531.57,581.68
Tax,-1.16,1.71,31.49,96.01,74.03,150.27,67.3,78.05,105.23,139.49
Net profit,-86.56,10.66,15.92,69.28,228.84,383.7,286.55,313.63,426.02,441.8
Dividend Amount,,3.45,8.62,20.68,24.82,60.32,120.64,120.64,188.75,207.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1067.6,1156.14,1218.83,1409.07,1627.85,1363.33,1373.81,1347.52,1486.71,1656.76
Expenses,880.6,988.11,1084.49,1213.61,1439.29,1199.96,1189.98,1136.75,1248.59,1377.82
Other Income,3.72,8.95,12.14,11.7,3.78,8.51,16.62,3.98,2.68,7.17
Depreciation,30.4,30.81,30.49,37.47,32.72,33,33.55,41.18,48.24,52.65
Interest,7.66,6.93,6.89,8.85,10.97,14.98,18.61,19.25,20.97,32.37
Profit before tax,152.66,139.24,109.1,160.84,148.65,123.9,148.29,154.32,171.59,201.09
Tax,30.57,27.72,20.84,34.55,32.18,26.75,46.01,44.97,48.76,53.11
Net profit,122.02,111.43,88.18,126.21,116.39,97.03,102.17,109.17,122.64,147.87
Operating Profit,187,168.03,134.34,195.46,188.56,163.37,183.83,210.77,238.12,278.94
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,37.75,37.75
Reserves,466.82,472.7,1010.35,1096.23,1343.11,1615.42,1664.65,1900.99,2576.24,2792.42
Borrowings,1086.62,1219.74,1021.74,758.21,717.34,793.43,616.97,723.85,785.82,1029.44
Other Liabilities,539.97,284.59,523.66,691.17,776.49,943.8,994.57,1066.74,1384.91,1573.2
Total,2127.88,2011.5,2590.22,2580.08,2871.41,3387.12,3310.66,3726.05,4784.72,5432.81
Net Block,888.89,851.47,1415.89,1387.57,1399.19,1500.31,1639.92,1742.42,1934.09,1967.64
Capital Work in Progress,73.54,79.64,79.69,79.59,66.84,175.04,305.58,266.76,175.25,1130.01
Investments,38.15,85.57,228.13,290.82,315.76,362.14,155.08,196.27,587.99,233.84
Other Assets,1127.3,994.82,866.51,822.1,1089.62,1349.63,1210.08,1520.6,2087.39,2101.32
Total,2127.88,2011.5,2590.22,2580.08,2871.41,3387.12,3310.66,3726.05,4784.72,5432.81
Receivables,517.04,521.42,438.15,465.66,521.97,652.66,588.24,708.5,1105.1,1110.65
Inventory,428.74,296.84,244.22,243.52,309.9,460.29,326.19,444.84,603.91,571.39
Cash & Bank,10.85,12.85,51.86,24.53,172.57,115.46,152.1,264.38,159.09,95.59
No. of Equity Shares,34467572,34467572,34467572,34467572,34467572,172337860,172337860,172337860,188731302,377462604
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,2,2,2,2,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-149.45,35.33,422,346.44,292.56,289.9,532.05,385.01,290.42,504.09
Cash from Investing Activity,-36.02,-68.24,-121.32,-35.97,-34.31,-277.52,-106.84,-202.67,-540.7,-551.94
Cash from Financing Activity,122.02,33.62,-261.59,-337.09,-109.88,-70.4,-389.36,-179.54,216.7,-30.57
Net Cash Flow,-63.45,0.7,39.09,-26.61,148.37,-58.03,35.85,2.8,-33.58,-78.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
