COMPANY NAME,PDS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,436.4,,,,,,,,,
Market Capitalization,5745.22,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3687.05,3872.35,4276.77,4616.01,4923.86,6485.86,6648.04,6212.87,8828.21,10577
Raw Material Cost,3152.67,3349.2,3684.35,4005.66,4262.31,5565.22,5599.08,5191.39,7457.8,8793.14
Change in Inventory,-11.9,12.09,-14.09,1.72,13.06,26.97,49.78,6.09,61.68,-12.38
Power and Fuel,0.04,,0.2,0.73,0.87,1.81,4.14,6.55,8.5,8.38
Other Mfr. Exp,21.6,9.59,9.43,9.64,23.39,19.52,19.74,15.17,17.24,25.87
Employee Cost,233.36,221.01,237.09,259.95,306.38,379.42,435.96,414.25,620.87,761.27
Selling and admin,180.03,184.41,213.17,219.99,251.4,386.12,377.31,303.24,407.22,459
Other Expenses,86.87,65.84,76.88,64.84,54.78,25.18,57.33,47.6,44.57,42.42
Other Income,58.35,13.02,30.98,14.46,24.36,16.11,12.86,37.39,85.7,51.48
Depreciation,15.53,14.63,14.65,12.87,16.4,26.34,52.2,67.7,69.91,80.18
Interest,16.82,18.83,14.16,13.09,21.73,56.32,74.38,40.51,39.4,89.08
Profit before tax,26.58,33.95,43.73,45.42,24.02,69.01,90.54,169.94,310.08,356.76
Tax,2.82,5.41,0.66,5.09,3.18,0.13,9.46,21.52,17.25,29.98
Net profit,18.37,21.79,27.91,14.33,-7.84,43.84,46.02,84.32,248.41,264.98
Dividend Amount,,,,,,,,41.03,62.11,66.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2194.89,2231.67,2775.44,2340.37,2921.22,2573.75,2741.66,2114.94,2462.75,2579.78
Expenses,2110.94,2130.59,2672.86,2267.78,2802.05,2442.36,2609.06,2047.66,2326.28,2505.2
Other Income,10.93,5.22,21.34,2.68,39.5,7.29,3.25,5.98,8.86,15.67
Depreciation,16.71,16.7,19.31,18.71,20.19,18.72,22.56,21.55,22.65,22.82
Interest,7.27,4.94,11.87,9.26,14.22,20.66,27.39,23.39,24.45,31.32
Profit before tax,70.9,84.66,92.74,47.3,124.26,99.3,85.9,28.32,98.23,36.11
Tax,4.08,4,6.5,3.12,10.97,6.6,9.3,4.99,9.77,10.61
Net profit,51.64,65.75,77.13,37.02,93.87,77.51,56.58,18.84,65.04,14.58
Operating Profit,83.95,101.08,102.58,72.59,119.17,131.39,132.6,67.28,136.47,74.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,0.05,26.05,26.05,26.05,26.05,26.05,26.05,26.05,26.04,26.16
Reserves,399.04,420.61,455.05,436.95,438.57,442.15,532.64,620.84,846.36,1027.52
Borrowings,465.54,475.05,485.08,464.88,552.12,700.09,747.18,561.55,740.48,719.01
Other Liabilities,409.39,468.89,478.4,509.48,643.31,1003.44,1037.96,1136.09,1782.35,1336.35
Total,1274.02,1390.6,1444.58,1437.36,1660.05,2171.73,2343.83,2344.53,3395.23,3109.04
Net Block,182.7,192.05,195.07,210.13,273.2,354.36,479.04,463.76,463.35,483.69
Capital Work in Progress,2.31,10.62,22.93,19.54,30.47,14.56,20.72,4.77,3.24,7.65
Investments,22.86,19.54,43.5,67.73,98.28,79.46,89,154.09,319.39,418.36
Other Assets,1066.15,1168.39,1183.08,1139.96,1258.1,1723.35,1755.07,1721.91,2609.25,2199.34
Total,1274.02,1390.6,1444.58,1437.36,1660.05,2171.73,2343.83,2344.53,3395.23,3109.04
Receivables,583.17,715.09,775.23,728.49,782.56,1028.71,832.44,909.81,1421.31,978.43
Inventory,120.72,88.51,50.27,34.63,64.73,135.96,183.02,197.13,305.25,255.74
Cash & Bank,211.89,177.16,198.75,248.33,225.41,370.24,502.47,430.65,664.85,729.13
No. of Equity Shares,50000,26046724,26046724,26046724,26046724,26046724,26046724,26046724,26046724,130795495
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,5.46,-10.18,120.77,120.99,58.27,213.15,280.76,379.31,407.26,509.88
Cash from Investing Activity,-309.7,6.81,-69.9,-46.12,-146.84,-199.72,-55.39,-87.7,-220.56,-129.95
Cash from Financing Activity,393.65,1.21,-69.73,-8.72,65.51,115.1,-128.04,-346.64,-26.49,-336.85
Net Cash Flow,89.41,-2.16,-18.87,66.15,-23.05,128.52,97.33,-55.03,160.21,43.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,30.4,36.2,33.8,56.8,53.4,56.42,132.47,349.4,332.15
,,,,,,,,,,
