COMPANY NAME,PNC INFRATECH LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,428.05,,,,,,,,,
Market Capitalization,10972.13,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1359.96,1860.89,2836.78,2252.33,2411.39,3774.36,5602.57,5787.57,7208.04,7956.08
Raw Material Cost,421,677.47,880.48,816.8,850.37,1459.32,2161.05,2244.04,3192.75,3347.01
Change in Inventory,-9.85,60.08,-34.51,-24.81,,,,,,
Power and Fuel,7.54,6.09,5.92,7.24,8.39,10.24,13.27,16.09,23.06,30.89
Other Mfr. Exp,485.73,627.43,1051.19,469.55,438.25,736.43,1355.66,1403.12,1434.45,2007.51
Employee Cost,61.88,81.41,95.3,119.04,144.29,215.82,293.32,307.34,378.74,374.83
Selling and admin,178.08,240.83,126.34,130.29,118.22,246.78,350.87,322.65,450.72,499.88
Other Expenses,20.35,7.7,20.71,79.71,88.74,98.97,100.75,72.55,193.85,95.92
Other Income,10.72,11.97,12.18,39.05,24.35,47.32,181.65,107.42,87.14,80.63
Depreciation,40.18,60.34,212.73,241.57,261.81,346.46,350.73,363.25,390.2,253.31
Interest,60.87,92.51,257.4,310.19,309.31,347.98,439.3,426.07,425.32,469.9
Profit before tax,85.2,139.16,164.38,92.18,216.36,359.68,719.27,739.88,806.09,957.46
Tax,34.57,47.88,-44.28,-26.09,-26.65,8.31,169.38,247.24,225.66,299.01
Net profit,55.18,91.28,208.66,118.28,243.01,351.37,549.88,497.38,580.18,658.45
Dividend Amount,2.99,5.97,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1797.69,1721.82,2226.02,2052.88,1795.07,1803.28,2304.85,2091.7,1911.38,2046.64
Expenses,1431.52,1396.45,1745.65,1534.57,1468.66,1458.55,1894.24,1655.28,1511.57,1614.56
Other Income,27.78,17.58,19.46,13.26,24.09,19.59,23.69,20.02,20.98,16.52
Depreciation,96.59,115.6,79.48,104.22,47.88,44.39,56.82,47.66,40.93,43.87
Interest,107.48,103.11,111.54,106.8,108.42,121.53,133.16,147.01,161.27,169.25
Profit before tax,189.88,124.24,308.81,320.55,194.2,198.4,244.32,261.77,218.59,235.48
Tax,57.82,46.44,51.09,79.9,62.07,58.71,98.34,81.15,70.68,50.48
Net profit,132.47,82.98,247.19,240.66,132.12,139.69,145.98,180.62,147.91,185
Operating Profit,366.17,325.37,480.37,518.31,326.41,344.73,410.61,436.42,399.81,432.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,39.81,39.81,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31
Reserves,669.92,831.27,1306.56,1409.72,1637.4,1973.08,2502.95,3001.85,3576.78,4233.74
Borrowings,1025.04,1692.43,1648.71,1906.49,2020.89,2775.2,3515.04,4192.17,4792.94,6281.51
Other Liabilities,285.83,533.92,1828.73,1850.99,2192.43,2454.79,2421,2329.91,2223.84,2065.56
Total,2020.6,3097.43,4835.31,5218.51,5902.03,7254.38,8490.3,9575.24,10644.87,12632.12
Net Block,648.85,683.3,2447.19,2404.83,2278.74,2233.84,1978.1,1796.95,1481.59,1290.72
Capital Work in Progress,592.61,1482.22,1.87,7.82,11.14,6.21,,3.42,,
Investments,105.11,93.76,66.18,102.69,169.34,262.53,444.39,578.6,423.73,311.51
Other Assets,674.03,838.15,2320.07,2703.17,3442.81,4751.8,6067.81,7196.27,8739.55,11029.89
Total,2020.6,3097.43,4835.31,5218.51,5902.03,7254.38,8490.3,9575.24,10644.87,12632.12
Receivables,191.7,264.42,410.57,652.37,594.53,519.41,284.06,392.79,665.75,1098.78
Inventory,104.83,222.53,236.38,153.48,175.75,403.55,267.29,353.59,480.79,764.39
Cash & Bank,115.57,41.1,106.58,46.55,185.17,408.41,921.12,944.52,747.3,706.35
No. of Equity Shares,39807833,39807833,256539165,256539165,256539165,256539165,256539165,256539165,256539165,256539165
New Bonus Shares,,,,,,,,,,
Face value,10,10,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,138.79,246.77,93.99,285.09,591.22,197.33,524.97,189.62,-498.58,-1454.13
Cash from Investing Activity,-554.73,-967.84,-170.28,-201.53,-251.71,-443.79,-229.72,-252.35,24.73,343.1
Cash from Financing Activity,457.96,646.6,117.45,-134.55,-211.01,399.87,253.65,63.31,148.23,1004.98
Net Cash Flow,42.02,-74.47,41.16,-51,128.51,153.41,548.9,0.58,-325.62,-106.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,105.72,117.15,175.4,153.2,94,257.9,259.15,288.9
