COMPANY NAME,PSP PROJECTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,638.5,,,,,,,,,
Market Capitalization,2527.05,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,210.42,280.46,454.69,400.76,729.83,1044.01,1499.26,1240.86,1748.76,1926.65
Raw Material Cost,79.27,133.33,190.02,125.07,280.73,430.71,526.66,398.13,495.39,599.42
Change in Inventory,-0.46,1.69,-0.17,-1.96,10.25,17.91,-8.39,2.37,-4.58,22.07
Power and Fuel,1.56,2.3,1.11,5.97,9.83,0.14,0.14,0.18,0.18,0.2
Other Mfr. Exp,95.9,95.04,6.28,116.08,311.66,429.56,701.19,645.06,892.24,1006.35
Employee Cost,11.18,23.8,135.18,20.84,28.66,43.21,59.47,50.91,72.38,93.47
Selling and admin,4.29,5,16.86,6.96,5.85,5.35,8.74,6.4,8.68,11.23
Other Expenses,1.02,0.28,65.81,57.94,1.14,3.55,3.7,7.27,18.8,10.34
Other Income,4.38,6.51,10.27,13.39,17.55,22.52,24.78,13.71,21.26,24.4
Depreciation,3.66,5.17,7.06,7.56,11.18,24.23,26.69,25.64,32.05,40.01
Interest,2.05,2.49,3.07,7.53,8.7,9.16,14.64,14.69,26.4,31.96
Profit before tax,15.41,21.25,39.4,64.24,99.88,138.53,174.42,108.66,219.32,180.14
Tax,5.34,7.2,14.27,22.63,35.52,48.3,45.16,27.87,56.9,47.12
Net profit,10.07,14.05,25.13,41.61,64.37,90.24,129.26,80.79,162.4,133.02
Dividend Amount,1.6,0.7,4.8,7.2,18,18,18,14.4,18,9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,390.44,485.62,555.34,345.24,356.6,497.39,727.41,509.56,607.15,696.62
Expenses,335.73,411.56,467.21,298.14,317.99,435.74,649.75,444.91,533.41,625.19
Other Income,4.62,7.61,5.42,5.62,8.33,6.48,6.66,5.7,6.03,6.54
Depreciation,7.03,9.38,10.22,8.72,9.06,9.85,12.38,11.85,14.36,18.73
Interest,3.76,9.76,9.46,5.59,7.05,10.13,9.19,9.08,12.45,15.27
Profit before tax,48.54,62.53,73.87,38.41,30.83,48.15,62.75,49.42,52.96,43.97
Tax,11.96,15.62,20.06,9.92,7.9,12.86,16.44,12.69,13.56,11.46
Net profit,36.59,46.91,53.81,28.49,22.92,35.3,46.31,36.72,39.41,32.52
Operating Profit,54.71,74.06,88.13,47.1,38.61,61.65,77.66,64.65,73.74,71.43
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,0.8,0.8,3.2,28.8,36,36,36,36,36,36
Reserves,33.99,46.12,63.11,78.27,266.66,335.38,421.11,501.99,648.72,763.83
Borrowings,26.01,33.41,45.25,67.74,21.63,26.25,74.85,80.96,99.66,144.98
Other Liabilities,75.47,106.05,117.2,139.89,259.54,332.88,427.32,371.43,482.23,811.4
Total,136.27,186.38,228.76,314.7,583.83,730.51,959.28,990.38,1266.61,1756.21
Net Block,18.51,33.22,52.22,50.77,77.03,103.17,107.89,116.19,207.37,239.59
Capital Work in Progress,,0.24,,,1.76,,,41.65,,17.74
Investments,8.92,12.65,18.06,21.67,19.54,4.42,4.42,0.78,0.72,0.72
Other Assets,108.84,140.27,158.48,242.26,485.5,622.92,846.97,831.76,1058.52,1498.16
Total,136.27,186.38,228.76,314.7,583.83,730.51,959.28,990.38,1266.61,1756.21
Receivables,13.76,23.87,10.32,53.26,116.2,142.57,224,222.04,311.78,434.21
Inventory,1.57,4.21,4.04,3.04,33.55,75,96.83,89.21,80.65,151.64
Cash & Bank,68.44,84.82,106.38,101.82,223.24,221.7,196.73,228.76,195.18,242.09
No. of Equity Shares,800000,800000,3200000,28800000,36000000,36000000,36000000,36000000,36000000,36000000
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,19.5,29.97,41.06,13.15,70.02,27.7,19.04,70.83,120.49,43.09
Cash from Investing Activity,-40.57,-25.55,-43.29,-18.97,-121.68,-33.85,-11.25,5.39,-140.5,-48.37
Cash from Financing Activity,9.45,4.07,2.55,16.66,80.52,-21.54,-1.63,-2.1,-7.74,11.55
Net Cash Flow,-11.62,8.48,0.31,10.85,28.86,-27.69,6.16,74.12,-27.75,6.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,450,456.65,325.05,463.3,539.15,670.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.08,0.08,0.32,2.88,3.6,3.6,3.6,3.6,3.6,3.6
