COMPANY NAME,PERSISTENT SYSTEMS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,3357.55,,,,,,,,,
Market Capitalization,51890.78,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1891.25,2312.33,2878.44,3033.7,3365.94,3565.81,4187.89,5710.75,8350.59,9821.59
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,11.13,14.98,13.87,10.45,10.95,11.49,8.26,7.61,12.03,
Other Mfr. Exp,185.72,266.74,332.2,446.07,535.05,605.59,784.24,1039.71,1467.87,
Employee Cost,1112.12,1407.95,1766.31,1833.01,1926.9,2157.78,2517.31,3462.14,4973.17,5960.97
Selling and admin,162.89,199.43,254.56,238.89,261.3,215.02,134.7,180.64,300.58,
Other Expenses,29.04,31.73,46.16,36.55,75.5,83.09,60.37,62.48,77.82,2184.93
Other Income,93.82,77.29,84.44,119.1,87.66,131.79,107.77,143.96,40.97,128.02
Depreciation,93.85,99.01,149.02,158.49,157.25,165.96,175.55,166.01,271.9,309.37
Interest,0.34,0.09,0.09,0.08,0.31,6.33,5.79,11.84,47.34,46.73
Profit before tax,389.98,369.69,400.67,429.26,486.34,452.34,609.44,924.28,1240.85,1447.61
Tax,99.35,92.39,99.21,106.17,134.66,112.06,158.77,233.89,319.76,354.11
Net profit,290.63,277.3,301.47,323.09,351.68,340.29,450.68,690.39,921.09,1093.49
Dividend Amount,120,64,72,80,87.03,91.72,152.86,236.93,382.15,400.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1491.72,1637.85,1878.11,2048.64,2169.37,2254.47,2321.18,2411.67,2498.22,2590.53
Expenses,1240.63,1356.67,1544.82,1680.68,1767.81,1838.16,1946.85,2006.51,2056.39,2136.16
Other Income,30.66,42.07,20.98,8.06,3.1,8.83,21.65,37.28,38.31,30.78
Depreciation,42.79,51.14,64.51,69.31,68.35,69.73,76.33,74.4,78.73,79.92
Interest,2.55,4.93,7.88,11.11,13.52,14.83,12.6,12.28,12.11,9.74
Profit before tax,236.41,267.18,281.88,295.6,322.79,340.58,307.05,355.76,389.3,395.49
Tax,60.02,66.19,70.27,75.59,84.83,89.07,78.28,92.5,103.17,80.17
Net profit,176.4,200.99,211.61,220.01,237.95,251.51,228.77,263.27,286.13,315.32
Operating Profit,251.09,281.18,333.29,367.96,401.56,416.31,374.33,405.16,441.83,454.37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,80,80,80,80,79.12,76.43,76.43,76.43,76.43,77.03
Reserves,1325.53,1577.78,1819.26,2047.2,2265.56,2309.33,2719.24,3291.8,3888.65,4880.68
Borrowings,4.49,3.27,2.72,2.19,1.67,71.37,98.44,578.22,655.37,451.13
Other Liabilities,364.59,458.8,433.33,514.38,509.25,635.03,771.42,1472.65,1998.7,1964.78
Total,1774.61,2119.85,2335.31,2643.77,2855.6,3092.16,3665.53,5419.1,6619.15,7373.62
Net Block,407.65,437.12,535.96,512.15,400.79,431.53,456.94,1533.57,2341.33,2221.47
Capital Work in Progress,4,26.53,28.96,5.24,31.56,30.34,12.18,107.12,16.14,33.53
Investments,673.53,638.37,683.91,879.74,764.12,978.57,999.62,822.46,639.57,826.56
Other Assets,689.43,1017.83,1086.48,1246.64,1659.13,1651.72,2196.79,2955.95,3622.11,4292.06
Total,1774.61,2119.85,2335.31,2643.77,2855.6,3092.16,3665.53,5419.1,6619.15,7373.62
Receivables,358.58,427.55,475.38,484.74,492.3,592.2,570.9,948.43,1570.46,1676.11
Inventory,,,,,,,,,,
Cash & Bank,141.62,143.9,150.96,241.4,672.88,457.22,980.9,914.46,903.28,1022.89
No. of Equity Shares,80000000,80000000,80000000,80000000,79120000,76430000,76430000,76430000,76430000,
New Bonus Shares,40000000,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,311.6,254.06,286.41,421.19,432.31,351.59,735.93,844.99,955.76,1221.31
Cash from Investing Activity,-230.41,-86.1,-221.88,-337.32,-233.03,-6.43,-539.73,-971.41,-382.6,-469.47
Cash from Financing Activity,-65.66,-126.63,-58.41,-95.61,-159.85,-329.1,-144.26,182.29,-403.95,-593.7
Net Cash Flow,15.53,41.33,6.12,-11.75,39.43,16.05,51.93,55.87,169.21,158.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,357.15,381.08,297.85,347.03,314.78,275.48,961.03,2382.65,2304.75,3984.55
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,16,16,16,16,16,15.29,15.29,15.29,15.29,15.4
