COMPANY NAME,PHOENIX MILLS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,2826.25,,,,,,,,,
Market Capitalization,50480.63,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1441.27,1639.18,1768.77,1816.81,1613.8,1976.78,1936.22,1039.63,1459.73,2615.85
Raw Material Cost,13.98,,,,,,,,,
Change in Inventory,128.78,30.3,148.35,36.09,44.98,242.01,-81.85,-43.69,-13.81,443.29
Power and Fuel,142.61,179.04,198.25,202.73,181.84,170.94,163.39,63.26,75.41,129.15
Other Mfr. Exp,495.94,359.48,504.2,353.02,245.01,559.93,213.47,96,174.37,736.65
Employee Cost,73.21,91.61,124.67,140.5,147.38,161.79,165.78,112.72,157.21,233.68
Selling and admin,140.65,239.27,245.69,265.43,267.24,291.69,300.19,192.33,262.81,413.7
Other Expenses,24.89,37.7,53.85,35.61,33.24,33.05,38.11,31.06,41.36,25.97
Other Income,47.39,-62.64,-11.28,39.37,50.26,125.45,60.28,86.07,73.91,721.03
Depreciation,105.48,168.07,177.28,195.31,198.28,204.23,207.62,209.44,185.85,227.81
Interest,345.33,395.96,443.24,423.9,348.65,351.05,348.12,347.98,294.77,341.77
Profit before tax,275.35,135.71,158.66,275.77,287.4,571.56,477.97,29.22,328.05,1671.44
Tax,90.91,49.31,76.69,85.75,75.8,109.88,122.09,-4.68,80.06,198.94
Net profit,128.46,35.43,128.93,167.92,242.36,421.02,334.73,57.63,237.35,1334.96
Dividend Amount,31.87,31.89,33.66,36.73,39.82,45.99,,17.82,42.84,89.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,363.75,425.01,495.39,574.39,651.08,683.85,729.04,810.63,875.02,986.09
Expenses,177.49,194.53,254.31,251.48,270.22,299.35,298.36,318.31,369.05,434.28
Other Income,15.91,22,24.42,580.21,32.42,34.72,74.14,28.97,31.62,34.4
Depreciation,47.63,46.09,44.06,49.98,55.92,56.94,64.96,62.95,65.91,65.61
Interest,75.23,68.58,78.34,74.06,83.45,86.59,97.09,95.66,96.48,104.19
Profit before tax,79.31,137.81,143.1,779.08,273.91,275.69,342.77,362.68,375.2,416.41
Tax,16.15,35.55,25.75,34.07,52.01,63.28,49.58,72.97,71.37,72.42
Net profit,58.02,98.88,104.79,718.7,185.81,176.37,254.08,240.5,252.62,279.36
Operating Profit,186.26,230.48,241.08,322.91,380.86,384.5,430.68,492.32,505.97,551.81
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,28.97,28.99,30.6,30.61,30.63,30.66,30.69,35.63,35.7,35.72
Reserves,1694.77,1644.7,1996.71,2119.44,2821.28,3443.46,3677.69,5003.13,6546.78,8344.04
Borrowings,3406.13,3402.33,3889.49,3625.54,3666.5,4243.72,4308.4,4062.63,3982.08,4259.28
Other Liabilities,1630.27,1565.27,1507.1,1232.52,1978.75,2397.73,2527.82,2287.88,3765.39,4786.65
Total,6760.14,6641.29,7423.9,7008.11,8497.16,10115.57,10544.6,11389.27,14329.95,17425.69
Net Block,4169.66,4130.31,4547.97,4500.03,5667.52,6522.41,6452.55,7207.07,7507.73,10964.45
Capital Work in Progress,235.05,213.78,194.86,328.47,502.51,896.25,1534.28,1274,2048.57,2294.66
Investments,354.42,199.72,161.09,409.57,829,745.02,589.7,575.61,2317.34,1282.29
Other Assets,2001.01,2097.48,2519.98,1770.04,1498.13,1951.89,1968.07,2332.59,2456.31,2884.29
Total,6760.14,6641.29,7423.9,7008.11,8497.16,10115.57,10544.6,11389.27,14329.95,17425.69
Receivables,196.82,219.21,278.58,147.01,129.15,195.52,201.7,323.71,279.95,238.25
Inventory,1141.65,1178.31,1323.96,945.5,661.5,898.65,816.12,768.17,749.81,1211.73
Cash & Bank,85.11,92.01,163.03,81.24,40.61,191.97,140.7,513.87,592.59,630.21
No. of Equity Shares,144845445,144956695,152988852,153066907,153141740,153289801,153462440,171871176,178519426,178608954
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,376.82,563.62,497.24,1418.85,1514.2,350.27,738.63,431.94,780.61,1356.05
Cash from Investing Activity,-1245.59,-102.08,-376.68,-353.56,-1824.87,-1394.18,-361.76,-950.21,-2841.19,-1528.01
Cash from Financing Activity,885.53,-454.64,-70.7,-1108,277.37,1052.66,-287.12,521.73,2227.56,136.76
Net Cash Flow,16.76,6.9,49.86,-42.7,-33.3,8.75,89.75,3.46,166.99,-35.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
