COMPANY NAME,PIRAMAL PHARMA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,148,,,,,,,,,
Market Capitalization,19598.74,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,,6314.9,6559.1,7081.55
Raw Material Cost,,,,,,,,2111.85,2396.03,2634.66
Change in Inventory,,,,,,,,52.74,-55.21,-68.64
Power and Fuel,,,,,,,,136.7,163.56,207.81
Other Mfr. Exp,,,,,,,,445.01,467.18,570.12
Employee Cost,,,,,,,,1468.22,1589.87,1898.37
Selling and admin,,,,,,,,709.15,867.11,947.33
Other Expenses,,,,,,,,68.75,69.94,125.9
Other Income,,,,,,,,229.58,319.21,272
Depreciation,,,,,,,,545.04,586.18,676.69
Interest,,,,,,,,163.45,198.25,344.18
Profit before tax,,,,,,,,949.05,484.98,-120.15
Tax,,,,,,,,114.02,109.02,66.31
Net profit,,,,,,,,835.03,375.96,-186.46
Dividend Amount,,,,,,,,,66.41,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1577.53,1539.12,2131.36,1481.99,1720.01,1715.97,2163.58,1748.85,1911.38,1958.57
Expenses,1380.96,1313.53,1733.3,1464.91,1547.45,1628.64,1812.31,1616.53,1645.74,1690.2
Other Income,34.24,169.74,97.2,91.74,50.35,98.11,32.28,52.7,68.3,43.19
Depreciation,138.07,147.15,165.16,161.66,166.19,164.43,184.41,173.61,184.51,186.32
Interest,49.16,50.13,57.16,62.3,82.98,94.65,104.25,118.52,109.87,105.88
Profit before tax,43.58,198.05,272.94,-115.14,-26.26,-73.64,94.89,-107.11,39.56,19.36
Tax,7.02,34.68,68.88,-6.09,11.08,16.54,44.78,-8.53,34.54,9.25
Net profit,36.56,163.37,204.06,-109.05,-37.34,-90.18,50.11,-98.58,5.02,10.11
Operating Profit,196.57,225.59,398.06,17.08,172.56,87.33,351.27,132.32,265.64,268.37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,,994.6,1185.91,1193.32
Reserves,,,,,,,,4610.3,5510.69,5580.18
Borrowings,,,,,,,,3025.09,4127.92,5637.08
Other Liabilities,,,,,,,,2047.3,1780.51,1892.67
Total,,,,,,,,10677.29,12605.03,14303.25
Net Block,,,,,,,,6105.49,6879.18,7468.6
Capital Work in Progress,,,,,,,,626.65,1172.34,1418.58
Investments,,,,,,,,122.67,267.17,638.98
Other Assets,,,,,,,,3822.48,4286.34,4777.09
Total,,,,,,,,10677.29,12605.03,14303.25
Receivables,,,,,,,,1574.94,1785.28,1799.34
Inventory,,,,,,,,1232,1388.8,1681.37
Cash & Bank,,,,,,,,405.62,328.99,307.56
No. of Equity Shares,,,,,,,,994600000,1185913506,1193318500
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,,597.58,766.42,483.89
Cash from Investing Activity,,,,,,,,-4464.39,-1737.4,-1333.63
Cash from Financing Activity,,,,,,,,3976.83,794.19,817.79
Net Cash Flow,,,,,,,,110.02,-176.79,-31.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,66.84
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,,132.3
