COMPANY NAME,PRESTIGE ESTATES PROJECTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1488.55,,,,,,,,,
Market Capitalization,59650.98,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2549.19,3419.76,5531,4774.5,5498.6,5171.9,8124.8,7241.9,6389.5,8315
Raw Material Cost,,,,,,,,,,
Change in Inventory,795.35,,,,-275.3,1493.8,-1660.6,-1789.5,-565.2,2231.2
Power and Fuel,13.88,16.19,10.1,10.8,59.9,115.8,114.3,63.8,44.9,93.6
Other Mfr. Exp,2326.85,2044.78,4020.9,3379.4,3322.7,4387.1,3116.7,2723.8,3381.7,7086.3
Employee Cost,161,229.09,203.2,293.5,296,398.8,460.4,420.5,451.2,603.6
Selling and admin,91.91,132.08,198.8,162,245.6,270.8,348.7,231.2,390.3,643.8
Other Expenses,30.56,3.76,30.5,9,22.1,39.4,68.1,79.4,39.1,31.1
Other Income,97.49,98.64,288.5,99.3,81.5,232.3,160.9,3035.7,1018.5,780.2
Depreciation,89.26,139.7,127.4,163.7,154.7,322.9,666.7,592.6,471,647.1
Interest,229.04,321.36,346.2,316,565.7,722.8,1023.3,979.3,555.3,806.6
Profit before tax,499.53,631.44,882.4,539.4,638.1,640.4,826.9,3397.5,1509.3,1414.3
Tax,175.04,264.69,229.1,166,213.5,198.5,278.3,519.3,294.5,347.5
Net profit,314.28,332.37,609.8,264.9,371.3,415.6,403.1,2782.3,1150,941.8
Dividend Amount,52.5,56.25,45,45,45,56.25,60.14,60.14,60.14,60.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1299.7,1327.5,2400.3,1938.5,1427.7,2317,2631.8,1680.9,2236.4,1795.8
Expenses,935.7,965.3,1900.8,1479.3,1061,1744.7,1950,1158.5,1651.3,1260.6
Other Income,45.5,19.9,902.9,223,193.3,30.5,341.2,285.4,1019.6,174.7
Depreciation,114.5,113,130.5,146.8,162.6,169.8,167.9,165.5,174.1,179.7
Interest,149.5,129,173.9,184.7,186.3,200.9,234.7,238.2,263.9,293.2
Profit before tax,145.5,140.1,1098,350.7,211.1,232.1,620.4,404.1,1166.7,237
Tax,49.4,46.3,152.7,99.6,62.5,70.4,115,86.3,256.4,72.3
Net profit,78.3,88,939.3,204.9,140.7,127.8,468.4,266.9,850.9,116.3
Operating Profit,364,362.2,499.5,459.2,366.7,572.3,681.8,522.4,585.1,535.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,350,375,375,375,375,375,400.9,400.9,400.9,400.9
Reserves,2629.19,3445.6,3824.9,4039.8,4357.7,3851.6,4959.3,7600.5,8693.7,9574.4
Borrowings,3154.13,4071.2,5374,5739.4,7415.5,8486.9,9271.5,4754.9,7250,9419.9
Other Liabilities,3208.34,4463.06,6885.7,6676,6754.3,15719.6,14844.4,12343.3,13826.4,16875.9
Total,9341.66,12354.86,16459.6,16830.2,18902.5,28433.1,29476.1,25099.6,30171,36271.1
Net Block,2377.04,3010.05,931.9,3622.3,5134.8,6732.4,8985.6,3780.4,5857.7,6780.5
Capital Work in Progress,995.45,775.57,981.9,1795.2,2508.1,1645,2143.1,2739.6,1724.6,2398.7
Investments,288.7,278.71,3295.5,355.1,434.6,778.4,789.3,907.2,772.4,1022.8
Other Assets,5680.47,8290.53,11250.3,11057.6,10825,19277.3,17558.1,17672.4,21816.3,26069.1
Total,9341.66,12354.86,16459.6,16830.2,18902.5,28433.1,29476.1,25099.6,30171,36271.1
Receivables,725.75,884.02,1142.6,1005.7,964.5,1654.4,1476.5,1374,1419.6,1328.6
Inventory,2536.18,4259.85,6714.8,6691.9,5712.7,13150.1,11375,9580.5,11566.7,14367.1
Cash & Bank,339.54,536.79,460.4,386.4,738.5,712.3,950.8,2401.2,2171.2,1814.6
No. of Equity Shares,350000000,375000000,375000000,375000000,375000000,375000000,400861654,400861654,400861654,400861654
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,147.92,-477.96,435.1,514.1,1071.6,762.1,2226.3,1839.4,2139.9,1539.5
Cash from Investing Activity,-692.85,-426.27,-710.3,-521.8,-2005.1,-549.3,-2345.6,355.3,-4015.8,-2697.1
Cash from Financing Activity,371.14,1104.15,225.1,-79.7,959.6,87,252,-634.4,1598.4,545.5
Net Cash Flow,-173.79,199.92,-50.1,-87.4,26.1,299.8,132.7,1560.3,-277.5,-612.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,170.35,268.25,172.75,217.45,291.8,252.8,168.2,305.6,493.8,403.2
,,,,,,,,,,
