COMPANY NAME,PRICOL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,429.9,,,,,,,,,
Market Capitalization,5242.11,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,1473.23,1356.65,1813.74,1239.43,1413.11,1544.69,1958.56
Raw Material Cost,,,,963.92,866.46,1262.19,840.98,982.43,1061.3,1383.84
Change in Inventory,,,,24.59,11.54,-6.94,-17.55,17.62,-8.33,10.55
Power and Fuel,,,,24.19,21.1,24.41,19.7,18.06,17.98,22.8
Other Mfr. Exp,,,,33.79,17.55,28.13,18.61,18.43,18.32,22
Employee Cost,,,,240.29,169.68,250.96,159.51,166.66,192,228.07
Selling and admin,,,,115.34,102.83,150.82,82.7,44.95,59.47,76.84
Other Expenses,,,,11.94,134.4,144.17,87.8,10.94,4.76,6.98
Other Income,,,,9.81,5.33,12.53,14.86,22.16,6.87,14.23
Depreciation,,,,73.49,73.97,93.97,95.94,94.19,81.84,77.91
Interest,,,,18.65,13.93,37.51,33.82,43.07,27.28,18.28
Profit before tax,,,,26.02,-26.4,-172.83,-102.32,74.16,80.28,146.62
Tax,,,,16.81,22.55,1.03,-3.57,32.67,29.19,21.93
Net profit,,,,9.21,-48.95,-173.86,-98.75,41.5,51.09,124.69
Dividend Amount,,,,9.48,9.48,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,407.13,407.33,414.31,445.15,515.83,474.09,523.49,537.21,577.82,572.59
Expenses,358.35,360.05,363.4,391.52,453.39,423.12,462.08,472.54,511.38,504.77
Other Income,2.37,0.97,1.5,1.29,10.38,0.78,1.89,2.84,4.03,1.94
Depreciation,19.68,20.16,19.9,20.18,20.36,20.13,17.24,19.82,21.14,20.99
Interest,8.75,5.55,5.25,4.52,4.59,4.3,4.86,4.65,5.12,4.7
Profit before tax,22.72,22.54,27.26,30.22,47.87,27.32,41.2,43.04,44.21,44.07
Tax,8.05,5.19,14.12,9.64,0.35,0.56,11.39,11.09,11.05,10.04
Net profit,14.67,17.35,13.14,20.59,47.53,26.76,29.8,31.94,33.15,34.02
Operating Profit,48.78,47.28,50.91,53.63,62.44,50.97,61.41,64.67,66.44,67.82
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,9.48,9.48,9.48,9.48,12.19,12.19,12.19
Reserves,,,,715.92,656.12,489.93,387.92,512.63,563.99,692.09
Borrowings,,,,164.1,448.25,279.03,431.43,278.57,153.41,110.33
Other Liabilities,,,,405.58,617.39,823.73,501.07,431.56,468.53,491.3
Total,,,,1295.08,1731.24,1602.17,1329.9,1234.95,1198.12,1305.91
Net Block,,,,739.13,834.4,698.54,731.26,641.85,611.82,597.11
Capital Work in Progress,,,,26.65,69.92,13.6,22.44,19.76,8.44,14.61
Investments,,,,0.25,1.81,2.69,4.71,0.8,2.13,4.84
Other Assets,,,,529.05,825.11,887.34,571.49,572.54,575.73,689.35
Total,,,,1295.08,1731.24,1602.17,1329.9,1234.95,1198.12,1305.91
Receivables,,,,213.69,296.33,194.79,196.02,187.88,238.92,267.74
Inventory,,,,172.94,288.06,182.49,236.12,243.16,236.47,271.68
Cash & Bank,,,,27.83,69.6,58.53,42.48,74.75,50.69,83.94
No. of Equity Shares,,,,94796721,94796721,94796721,94796721,121881498,121881498,121881498
New Bonus Shares,,,,,,,,,,
Face value,,,,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,57.85,95.4,43.66,151.22,128.22,182.65,166.3
Cash from Investing Activity,,,,-57.49,-238.7,-125.59,-11.85,-29.39,-44.67,-69.05
Cash from Financing Activity,,,,22.96,183.65,56.58,-168.87,-70.09,-153.59,-63.84
Net Cash Flow,,,,23.32,40.35,-25.34,-29.49,28.74,-15.62,33.41
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,70.27,77.02,32.13,32.45,70,130.15,207.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,12.19,12.19,12.19,12.19,12.19,12.19,12.19
