COMPANY NAME,PRISM JOHNSON LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,154.05,,,,,,,,,
Market Capitalization,7751.74,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,5026.57,5654.43,5223.1,5012.46,5507.73,6194.42,5956.2,5587.14,6306.42,7360.52
Raw Material Cost,1984.54,2281.3,1973.39,1839.93,2017.53,2076.29,2045.13,1699.61,2167.46,2402.18
Change in Inventory,11.31,27.37,-4.28,-16.98,-36.25,96.39,71.29,-187.02,95.3,-0.25
Power and Fuel,951.44,934.81,948.02,841,950.48,1208.76,1059.85,917.16,1177.81,1664.11
Other Mfr. Exp,422.09,446.06,429.57,389.08,398.2,432.78,418.81,329.11,374.47,433.13
Employee Cost,349.11,384.91,442.08,472.19,512.72,565.55,595.73,549.89,615.23,665.81
Selling and admin,1053.83,1181.85,958.01,937.71,963.02,1159.31,1082.09,916.57,991.78,1257.49
Other Expenses,90.77,91.22,117.52,154.43,178.88,239.34,278.6,358.53,597.16,564.71
Other Income,165.29,91.87,143.59,93.46,66.7,18.16,23.43,36.89,108.56,35.99
Depreciation,200.36,164.86,184.13,191.84,184.36,200.04,250.56,292.52,309.65,390.06
Interest,280.25,295.86,285.97,221.04,232.33,225.69,258.06,217.08,192.79,196.56
Profit before tax,-129.22,-7.2,23.72,41.72,100.66,201.21,62.09,156.54,83.93,-177.79
Tax,-44.23,-12.02,-1.54,27.47,45.66,91.61,74.04,16.2,39.98,-20.06
Net profit,-86.2,2.62,2.89,-1.8,42.5,116.4,10.04,171.23,91.77,-103.23
Dividend Amount,,,,,,25.17,50.34,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1504.22,1636.54,1853.97,1811.17,1663.32,1774.3,2111.73,1942.15,1837.81,1728.33
Expenses,1354.49,1520.81,1716.19,1690.42,1630.57,1714.16,1964.54,1790.52,1745.39,1594.74
Other Income,10.59,12.45,27.1,8.47,1.7,13.63,13.48,17.22,259.8,5.97
Depreciation,70.25,75.08,94.05,94.04,90.14,101.34,104.54,93.06,95.17,99.29
Interest,48.66,45.11,43.07,42.48,44.3,49.42,49.64,48.45,43.5,49.24
Profit before tax,41.41,7.99,27.76,-7.3,-99.99,-76.99,6.49,27.34,213.55,-8.97
Tax,12.39,8.71,7.91,8.71,-17.37,-13.64,2.24,6.58,30.41,2.5
Net profit,38.02,9.46,29.6,9.42,-66.24,-53.31,6.9,17.89,182.73,-3.45
Operating Profit,149.73,115.73,137.78,120.75,32.75,60.14,147.19,151.63,92.42,133.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36,503.36
Reserves,555.46,550.97,494.82,491.57,534.5,622.75,575.59,738.18,819.65,703.33
Borrowings,2104.38,2236.5,2212.18,1980.3,1818.6,1917.99,2422.49,1927.75,1741.1,1650.9
Other Liabilities,1445.75,1558.57,1777.33,1893.38,2285.25,2358,2571.59,2997.2,3383.76,3689.3
Total,4608.95,4849.4,4987.69,4868.61,5141.71,5402.1,6073.03,6166.49,6447.87,6546.89
Net Block,2473.68,2412.93,2472.1,2415.47,2601.51,2625.68,2820.77,2946.48,2970.23,2947.46
Capital Work in Progress,63.64,71.67,69.12,136.19,99.71,124.29,258.97,132.44,204.13,239.97
Investments,225.85,217.58,280.04,338.69,410.59,484.72,522.98,730.97,834.17,910.68
Other Assets,1845.78,2147.22,2166.43,1978.26,2029.9,2167.41,2470.31,2356.6,2439.34,2448.78
Total,4608.95,4849.4,4987.69,4868.61,5141.71,5402.1,6073.03,6166.49,6447.87,6546.89
Receivables,531.31,581.53,610.94,626.38,667.88,722.18,714.7,630.9,623.8,694.71
Inventory,574.42,713.51,644.57,562.2,616.82,709.28,741.66,580.5,804.86,747.58
Cash & Bank,110.71,129.6,131.12,82.67,77.42,73.81,417.86,544.73,374.1,326.67
No. of Equity Shares,503356600,503356580,503356600,503356580,503356580,503356580,503356580,503356580,503356580,503356580
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,56.6,198.63,462.13,675.61,586.62,653.89,666.88,1280.59,572.71,591.86
Cash from Investing Activity,79.75,-57.17,-110.12,-236.14,-406.55,-330.14,-656.83,-265.16,-320.49,-319.85
Cash from Financing Activity,-144.98,-107.98,-328.04,-460.56,-179.64,-324.72,64.77,-806.1,-341.54,-266.79
Net Cash Flow,-8.63,33.48,23.97,-21.09,0.43,-0.97,74.82,209.33,-89.32,5.22
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
