COMPANY NAME,PUNJAB NATIONAL BANK,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,122.15,,,,,,,,,
Market Capitalization,134284.35,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,46315.36,47424.35,47275.99,47995.77,51310.25,53800.03,80818.4,74879.54,85144.11,106901.62
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,195.91,219,234.1,262.4,280.61,323.5,483.26,558.16,778.79,
Employee Cost,7338.17,6427.37,5422.18,9170.38,6964.56,6963.6,12176.52,11842.08,14812.44,18486.31
Selling and admin,1336.13,1551.83,1719.08,1836.03,1970.94,2103.42,3397.27,3516.23,3621.09,
Other Expenses,9248.61,18455.79,14132.6,31533.38,30085.35,15974.74,21956.55,19892.95,22237.03,21786.09
Other Income,5890.73,6000.05,8951.37,8880.87,7377.41,9274.13,11922.31,12319.96,12142.53,13383.54
Depreciation,370.23,395.73,425.04,576.17,578.02,607.68,974.92,888.61,896.56,
Interest,29759.79,32112.57,32282.82,33073.36,34153.94,36362.24,50272.79,46185.08,50652.47,66818.55
Profit before tax,3957.25,-5737.89,2011.54,-19575.08,-15345.76,738.98,3479.4,4316.39,4288.26,13194.21
Tax,895.67,-1763.49,686.74,-7292.26,-5370.28,402.79,1457.78,859.43,1781.06,4949.59
Net profit,3061.58,-3974.4,1324.8,-12282.82,-9975.49,336.19,2021.62,3456.96,2507.2,8244.62
Dividend Amount,612,,,,,,,704.7,715.72,1651.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,19325.43,18645.12,18757.04,20154.02,22384.44,23848.61,25145.46,26354.92,27287.81,28113.43
Expenses,8781.07,9340.89,9490.81,10457.09,11514.76,10883.24,10935.33,10178.95,9375.03,9783.09
Other Income,2700.59,2450.05,2536.99,2847.24,3337.96,3420.34,3433.81,3028.28,2673.84,4247.61
Depreciation,,,,,,,,,,
Interest,11522.19,11340.99,11214.2,11883.34,13205.08,14349.86,15641.21,16432,16995.02,17750.32
Profit before tax,1722.76,413.29,589.02,660.83,1002.56,2035.85,2002.73,2772.25,3591.6,4827.63
Tax,595.98,211.72,280.58,249.56,373.68,877.24,747.32,1016.12,1368.79,1817.36
Net profit,1126.78,201.57,308.44,411.27,628.88,1158.61,1255.41,1756.13,2222.81,3010.27
Operating Profit,10544.36,9304.23,9266.23,9696.93,10869.68,12965.37,14210.13,16175.97,17912.78,18330.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,370.91,392.72,425.59,552.11,920.81,1347.51,2095.54,2202.2,2202.2,
Reserves,38708.61,37917.42,41671.87,40522.19,43866.32,61009.97,88841.77,93284.69,97653.46,
Borrowings,547049.19,612806.37,662467.36,703076.94,715356.06,754071.75,1149172.78,1191899.86,1332454.83,
Other Liabilities,17204.89,16273.94,15765.73,21678.87,14806.28,14236.69,20522.52,27418.27,29520.86,
Total,603333.6,667390.45,720330.55,765830.11,774949.47,830665.92,1260632.61,1314805.02,1461831.35,
Net Block,3551.48,5222.73,6273.25,6349.33,6224.85,7239.07,11020.9,10673.61,12051.07,
Capital Work in Progress,,,,,,,,,,
Investments,149876.95,157845.89,186725.44,200305.98,202128.22,240465.64,392983.25,372167.76,395996.72,
Other Assets,449905.17,504321.83,527331.86,559174.8,566596.4,582961.21,856628.46,931963.65,1053783.56,
Total,603333.6,667390.45,720330.55,765830.11,774949.47,830665.92,1260632.61,1314805.02,1461831.35,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,55934.17,75623.09,88331.65,95462,75288.04,75993.03,111349.7,132646.77,155108.81,
No. of Equity Shares,1854556947,1963597490,2127968258,2760573227,4604047028,6737565988,10477682225,11011015558,11011015558,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,5618.67,17045.37,12497.05,1011.69,-30892.51,-12612.6,30902.95,20463.62,21779.97,
Cash from Investing Activity,-848.67,-782.74,-527.18,-1288.01,-260.37,-239.48,-839.17,-1207.35,-682.24,
Cash from Financing Activity,5945.72,856.29,738.69,7406.67,10978.92,13557.07,5292.89,2040.8,1364.3,
Net Cash Flow,10715.72,17118.92,12708.56,7130.36,-20173.96,704.99,35356.67,21297.07,22462.04,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,144.4,84.7,149.9,95.3,95.5,32.35,36.65,35.05,46.6,124.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
