COMPANY NAME,PURAVANKARA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,351.45,,,,,,,,,
Market Capitalization,8288.35,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1310.2,1672.34,1584.04,1407.12,1414.9,2050.49,2128.37,963.46,954.7,1235.77
Raw Material Cost,642.36,889.42,963.13,154.62,459.65,564.18,173.85,381.93,324.31,674.58
Change in Inventory,587.28,115.44,226.26,1088.29,214.9,-245.03,-735.96,335.42,570.68,1005.07
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,483.67,188.28,196.81,1659.55,571.09,440.24,407.87,370.32,607.32,823.94
Employee Cost,92.32,117.15,111.03,100.73,103.9,123.93,139.26,114.67,137.68,171.35
Selling and admin,193.37,202.06,192.84,149.66,175.26,196.61,202.92,133.94,209.28,316.45
Other Expenses,10.1,5.06,6.61,21.69,14.82,41.86,21.13,15.85,38.47,24.79
Other Income,18.34,17.73,46.75,67.61,90.04,76.23,58.89,93.11,426.95,202.53
Depreciation,8.48,14.93,15.99,16.47,14.96,15.06,22.79,20.38,17.64,17.13
Interest,241.22,232.77,242.97,289.5,251.34,328.04,343.13,357.06,331.85,359.69
Profit before tax,244.3,155.84,127.67,170.8,128.82,171.77,140.35,-2.16,285.78,55.44
Tax,84.32,23.14,43.64,41.9,37.42,57.42,52,1.78,138.22,-11.08
Net profit,159.98,132.73,82.85,128.9,91.4,114.35,88.35,-3.97,147.61,66.48
Dividend Amount,45.58,36.76,18.51,53.36,37.95,23.72,,,118.58,23.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,256.31,221.34,295.55,214.85,239.48,392.45,388.99,323.26,368.33,573.7
Expenses,169.47,161.72,258.45,158.19,194.73,282.61,372.81,260.37,283.45,377.81
Other Income,16.64,25.11,24.57,82.5,13.37,17.95,91.01,12.55,13.24,22.18
Depreciation,4.47,4.22,4.13,3.98,4.15,5.19,3.81,5.17,6.47,6.73
Interest,81.11,79.56,83.93,87.65,76.07,93.81,102.16,98.08,104.55,105.05
Profit before tax,17.9,0.95,-26.39,47.53,-22.1,28.79,1.22,-27.81,-12.9,106.29
Tax,5.63,-0.25,-6.33,13.09,-4.88,6.24,-25.53,-9.95,-1.68,28.5
Net profit,12.27,1.24,-20.08,34.43,-17.14,22.53,26.66,-17.87,-11.2,77.92
Operating Profit,86.84,59.62,37.1,56.66,44.75,109.84,16.18,62.89,84.88,195.89
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,118.58,118.58,118.58,118.58,118.58,118.58,118.58,118.58,118.58,118.58
Reserves,2054.71,2142.15,2164.75,2247.66,2274.59,1738.17,1795.27,1777.39,1923.48,1868.19
Borrowings,1696.85,1793.06,2171.97,2067.14,2378.82,2895.26,2670.27,2835.48,2626.91,2943.62
Other Liabilities,868.91,1109.23,1090.46,1813.75,2010.97,3973.37,3486.64,3697.14,3954.52,5124.87
Total,4739.05,5163.02,5545.76,6247.13,6782.96,8725.38,8070.76,8428.59,8623.49,10055.26
Net Block,92.11,111.67,88.36,114.09,124.57,128.38,121.97,111.38,96.35,106.88
Capital Work in Progress,0.22,12.2,,0.05,36.08,42.4,9.22,,3.47,0.83
Investments,90.89,69.49,525.03,116.3,131.44,130.2,132.46,137.99,82.04,104.03
Other Assets,4555.83,4969.66,4932.37,6016.69,6490.87,8424.4,7807.11,8179.22,8441.63,9843.52
Total,4739.05,5163.02,5545.76,6247.13,6782.96,8725.38,8070.76,8428.59,8623.49,10055.26
Receivables,345.88,438.12,336.32,387.1,274.95,250.64,299.59,306.91,242.05,532.08
Inventory,2700.18,2817.07,3467.86,4551.11,4687.06,6766.1,6075.93,6411.53,6819.59,7622.99
Cash & Bank,173.73,223.33,291.43,94.73,132.47,149.44,106.9,164.18,300.18,357.35
No. of Equity Shares,237200000,237200000,237200000,237200000,237200000,237200000,237200000,237200000,237200000,237200000
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,170.11,329.75,14.03,-277.32,-28.85,-130.9,578.17,244.19,133.65,145.19
Cash from Investing Activity,-39.05,-79.05,-15.85,520.82,55.75,4.67,-22.52,23.88,525.45,94.79
Cash from Financing Activity,-193.1,-204.44,73,-431.83,11.95,160.29,-579.24,-213.01,-528.57,-140.89
Net Cash Flow,-62.04,46.26,71.18,-188.33,38.85,34.06,-23.59,55.06,130.53,99.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,68.15,62.05,47.4,67.35,139.3,73.75,35.35,70,106.7,65.35
,,,,,,,,,,
