COMPANY NAME,RASHTRIYA CHEMICALS & FERTILIZERS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,140.4,,,,,,,,,
Market Capitalization,7761.71,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,6559.83,7693.5,8241.35,7099.16,7254.95,8885.47,9697.95,8281.18,12812.17,21451.54
Raw Material Cost,2815.44,3638.94,3743.45,2926.23,3110.12,4566.05,3965.51,3648.85,7080.12,11743.21
Change in Inventory,-309.56,8.03,232.43,-146.93,-14.64,605.27,-603.25,30.55,859.69,-252.96
Power and Fuel,1324.93,1585.79,2388.84,1973.41,2247.8,2770.45,2828.99,2263.09,3766.57,5808.6
Other Mfr. Exp,932.98,999.57,1300.94,997.04,886.12,957.89,961.88,950.3,1013.5,1169.79
Employee Cost,443.18,527.51,496.01,506.1,575.79,593.72,619.23,566.54,657.28,694.82
Selling and admin,98.55,86.31,65.6,112.63,96.79,103.71,128.39,122.1,135.87,138.39
Other Expenses,67.45,10.02,3.5,17.52,55.19,61.87,4.21,6.99,26.51,160.46
Other Income,72.66,66.33,80.51,66.03,61.03,104.5,25.71,132.95,263.33,236.27
Depreciation,144.59,263.32,147.65,141.1,137.04,155.69,171.04,175.26,183.55,212.12
Interest,137.24,123.08,146.64,95.51,64.25,156.86,239.25,181.44,129.85,234.32
Profit before tax,358.57,533.32,261.66,248.72,128.24,229,201.91,530.11,941.94,1273.14
Tax,117.43,187.57,92.59,69.47,49.42,96.08,-5.22,146.04,239.55,306.83
Net profit,241.14,345.75,169.07,179.25,78.82,132.92,207.13,384.07,702.39,966.31
Dividend Amount,82.75,99.3,60.69,60.69,33.1,42.48,156.68,164.4,212.4,292.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,2612.38,3699.21,4109.88,4956.51,5575.95,6235.14,4683.94,4042.95,4155.19,4903.52
Expenses,2426.96,3472.05,3735.74,4523.2,5170.97,5796.83,4499.18,3913.86,4049.88,4819.43
Other Income,37.4,40.81,31.35,65.42,26.02,40.37,115.95,57.94,66.95,38.06
Depreciation,45.89,45.49,47.01,45.39,56.25,51.14,59.34,56.05,56.1,56.49
Interest,16.86,26.59,51.85,49.97,59.1,70.47,44.32,39.27,43.98,48.41
Profit before tax,160.07,195.89,306.63,403.37,315.65,357.07,197.05,91.71,72.18,17.25
Tax,42.15,52.74,72.79,103.77,53.74,111.87,37.45,23.92,21.15,6.03
Net profit,117.92,143.15,233.84,299.6,261.91,245.2,159.6,67.79,51.03,11.22
Operating Profit,185.42,227.16,374.14,433.31,404.98,438.31,184.76,129.09,105.31,84.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,551.69,551.69,551.69,551.69,551.69,551.69,551.69,551.69,551.69,551.69
Reserves,1938.36,2164.63,2265.17,2373.35,2378.04,2476.8,2627.35,2799.62,3330.18,4038.43
Borrowings,1780,1999.65,2996.96,1768.88,1331.01,3461.7,4813.76,2078.59,2978.52,1876.61
Other Liabilities,1375.19,1569.14,1857.93,1865.53,2087.47,2451.71,2316.49,2239.58,3697.94,3267.15
Total,5645.24,6285.11,7671.75,6559.45,6348.21,8941.9,10309.29,7669.48,10558.33,9733.88
Net Block,1676.32,1551.87,1507.42,1546.84,1910,1949.99,2130.02,2181.76,2133.69,2542.62
Capital Work in Progress,77.37,61.5,149.97,107.24,152.36,275.69,433.49,406.35,512.93,211.48
Investments,0.17,0.17,48.55,44.92,62.44,80.13,255.86,644.8,934.56,994.19
Other Assets,3891.38,4671.57,5965.81,4860.45,4223.41,6636.09,7489.92,4436.57,6977.15,5985.59
Total,5645.24,6285.11,7671.75,6559.45,6348.21,8941.9,10309.29,7669.48,10558.33,9733.88
Receivables,2769.1,3297.51,4327.63,3641.72,2860.41,4552.54,4551.23,1447.4,3026.73,2608.82
Inventory,808.6,1009.21,1173.94,816.95,766.27,1506.4,975.08,815.12,2355.12,2614.67
Cash & Bank,72.01,85.62,3.15,13.01,5.96,4.86,2.6,1520.32,1164.26,64.53
No. of Equity Shares,551668100,551668100,551688100,551688100,551688100,551688100,551688100,551688100,551688100,551688100
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,315.32,211.71,-633.48,1595.4,1078.12,-1636.43,-522.47,5211.09,-592.09,787.01
Cash from Investing Activity,-82.21,-201.36,-259.36,-180.28,-495.67,-310.28,-530.55,-610,-378.67,-315.53
Cash from Financing Activity,-209.94,3.35,810.97,-1406.17,-587.52,1945.06,1051.93,-3131.17,599.26,-1559.91
