COMPANY NAME,RHI MAGNESITA INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,595.25,,,,,,,,,
Market Capitalization,12284.97,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,403.49,451.36,458.88,519.38,628.42,747.95,1383.99,1366.41,1994.94,2488.37
Raw Material Cost,217.44,250.59,252.42,303.87,344.66,465.26,845.15,917.11,1314.47,1602.68
Change in Inventory,3.11,0.33,-1.48,13.24,-2.4,20.64,-17.34,63.8,123.57,24.63
Power and Fuel,19.02,21.82,16.43,17.39,22.64,28.73,40.8,38.09,50.55,67.6
Other Mfr. Exp,32.06,34.63,33.57,49.43,61.34,71.23,133.13,128.27,170.18,185.03
Employee Cost,33.57,38.31,39.43,42.6,47.37,54.51,92.04,105.2,123.21,171.01
Selling and admin,21.01,23.46,25.85,12.19,16.32,17.35,28.1,29.72,55.45,87.72
Other Expenses,4.09,2.36,4.52,3.19,5.4,2.35,12.85,3.51,16.44,32.05
Other Income,3.87,4.64,5.38,8.23,10.44,18.15,10.18,12.04,4.78,-648.85
Depreciation,3.63,5.49,5.91,6.31,6.83,8.63,26.04,29.61,33.63,41.78
Interest,0.07,0.04,,0.56,1.06,1.16,13.54,7.03,3.26,21.13
Profit before tax,79.58,79.63,84.65,105.31,130.84,137.52,185.18,183.71,356.1,-344.85
Tax,26.73,26.79,28.84,36.41,45.01,47.7,48.9,47.76,88.17,81.94
Net profit,52.85,52.84,55.82,68.91,85.83,89.83,136.27,135.95,267.92,-426.79
Dividend Amount,15.01,16.81,17.41,30.02,30.02,30.02,30.02,30.02,40.25,47
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,431.39,542.46,590.09,600.55,599.14,643.88,640.28,677.18,718.27,692.41
Expenses,366.15,436.36,451.39,485.45,499.41,551.93,586.41,575.98,616.28,602.79
Other Income,0.76,3.11,0.38,4.11,3.91,4.34,-655.47,1.62,2.17,1.2
Depreciation,8.2,8.53,9.2,9.1,9.27,10,13.41,15.44,16.76,18.67
Interest,-0.93,0.76,-0.25,-0.12,-1.53,7.45,14.81,7.13,0.77,3.02
Profit before tax,58.73,99.92,130.13,110.23,95.9,78.84,-629.82,80.25,86.63,69.13
Tax,15.9,23.98,30.81,28.34,24.46,20.41,8.74,20.54,23.07,17.76
Net profit,42.83,75.95,99.32,81.89,71.45,58.44,-638.56,59.71,63.56,51.37
Operating Profit,65.24,106.1,138.7,115.1,99.73,91.95,53.87,101.2,101.99,89.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,16.1,18.8
Reserves,125.65,157.79,192.64,261.26,310.8,364.22,691.67,793.48,1011.26,2909.55
Borrowings,5.72,5.24,,,,,70.61,62.39,64.71,617.98
Other Liabilities,74.18,78.61,101.35,86.94,125.84,131.85,277.12,390.99,580.11,889.85
Total,217.56,253.65,306,360.21,448.65,508.08,1051.41,1258.87,1672.18,4436.18
Net Block,30.45,33.23,38.29,37.25,40.17,60,223,238.79,278.25,1030.01
Capital Work in Progress,1.52,3.96,1.57,4.67,14.01,2.72,8.59,46.26,33.84,27.47
Investments,0.01,0.01,0.01,,107.68,103.16,10.13,10.13,10.13,1717.89
Other Assets,185.58,216.45,266.13,318.29,286.79,342.2,809.69,963.69,1349.96,1660.81
Total,217.56,253.65,306,360.21,448.65,508.08,1051.41,1258.87,1672.18,4436.18
Receivables,99.4,112.69,118.5,113.99,159.43,157.43,332.28,327.38,450.22,511.25
Inventory,63.32,71.56,64.22,81.38,91.06,117.44,277.44,352.59,607.71,633.9
Cash & Bank,17.99,26.13,76.47,110.84,12.72,27.87,121.04,154,70.93,122.4
No. of Equity Shares,120139200,120139200,120139200,120139200,120139200,120139200,120139200,120139200,160996331,187996331
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,28.94,33.8,80.22,60.43,57.24,54.34,173.09,166.09,26.47,351.01
Cash from Investing Activity,-1.56,-9.63,-4.19,-6.2,-120.98,-4.73,21.16,-78.43,-70.95,-768.4
Cash from Financing Activity,-13.07,-17.64,-24.98,-20.49,-35.28,-35.27,-117.87,-54.5,-50.28,481.24
Net Cash Flow,14.31,6.54,51.06,33.74,-99.02,14.35,76.38,33.15,-94.76,63.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,62.75,86.9,77.05,128.9,159.3,238.6,117.15,225.6,612.95,630.3
,,,,,,,,,,
DERIVED:,,,,,,,,,,
