COMPANY NAME,RAIL VIKAS NIGAM LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,261.05,,,,,,,,,
Market Capitalization,54429.45,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,3146.54,4539.85,5915.11,7597.36,10068.68,14530.58,15403.76,19381.71,20281.57
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,1.51,1.7,1.94,2.15,2.9,3.37,2.46,3.5,4.43
Other Mfr. Exp,,2895.73,4188.94,5467.85,7030.04,9313.31,13415.82,14229.41,17902.35,18720.02
Employee Cost,,77.12,96.71,117.02,140.34,161.11,189.94,207.78,204.31,190.68
Selling and admin,,18.58,23.71,32.78,25.47,36.86,41.1,38.3,48.12,60.48
Other Expenses,,8.01,11.45,67.96,16.92,23.59,107.1,45.95,40.33,59.19
Other Income,,123.26,180.45,356.2,331.09,366.29,245.68,807.91,831.15,1155.07
Depreciation,,5.12,4.67,5.02,4.84,5.74,20.29,22.92,20.91,22.32
Interest,,15.28,23.08,35.45,44.66,51.98,40.99,458.14,563.72,581.37
Profit before tax,,248.45,370.04,543.29,664.03,839.48,957.65,1206.71,1429.62,1798.15
Tax,,39.71,69.53,99.83,94.51,151.74,201,215.14,319.48,377.6
Net profit,,336.85,429.43,443.46,569.52,687.74,756.65,991.57,1110.14,1420.55
Dividend Amount,,37.11,37.11,257.08,166.8,185.57,237.69,329.43,381.56,444.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,4025.82,5049.24,6437.54,4640.75,4908.9,5012.09,5719.83,5571.57,4914.32,4689.33
Expenses,3798.7,4730.07,6029.16,4360.01,4592.91,4736.41,5345.46,5222.47,4616.03,4440.23
Other Income,112.49,222.03,225.02,255.74,300.64,324.82,273.87,289.25,320.23,357.66
Depreciation,4.7,4.23,7.36,5.96,4.82,5.7,5.84,5.5,6.22,4.83
Interest,5.69,144.24,146.2,157.29,130.83,146.94,146.31,146.05,132.69,139.38
Profit before tax,329.22,392.73,479.84,373.23,480.98,447.86,496.09,486.8,479.61,462.55
Tax,49.98,99.72,101.68,75.56,99.76,65.44,136.84,143.71,85.19,103.98
Net profit,279.24,293.01,378.16,297.67,381.22,382.42,359.25,343.09,394.42,358.57
Operating Profit,227.12,319.17,408.38,280.74,315.99,275.68,374.37,349.1,298.29,249.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02,2085.02
Reserves,,975.49,1337.41,1471.86,1839,2310.55,3034.22,3551.06,4239.67,5240.1
Borrowings,,2513.97,2624.08,2436.88,2259.15,3024.2,4256.65,5930.69,6643.47,6441.34
Other Liabilities,,10560.89,16169.17,2865.82,2101.24,4668.75,3018.68,2654.36,7097.35,4655.87
Total,,16135.37,22215.68,8859.58,8284.41,12088.52,12394.57,14221.13,20065.51,18422.33
Net Block,,5.79,5.97,7.58,248.87,279.23,305.29,292.15,379.5,354.75
Capital Work in Progress,,1.66,5.58,12.73,21.14,11.44,24.73,53.44,1.2,1.27
Investments,,895.73,1023.85,1088.55,1231.17,1585.58,1588.29,1730.15,1809.67,1982.36
Other Assets,,15232.19,21180.28,7750.72,6783.23,10212.27,10476.26,12145.39,17875.14,16083.95
Total,,16135.37,22215.68,8859.58,8284.41,12088.52,12394.57,14221.13,20065.51,18422.33
Receivables,,186.95,480.76,479.38,712.89,638.01,834.76,979.83,938.17,969.3
Inventory,,11564.69,14824.05,766.26,1.92,4.48,9.18,23.49,49.91,58.93
Cash & Bank,,1293.07,3032.62,2704.6,1402.85,944.4,981.82,2046.97,6823.51,1853.31
No. of Equity Shares,,2085020100,2085020100,2085020100,2085020100,2085020100,2085020100,2085020100,2085020100,2085020100
New Bonus Shares,,,,,,,,,,
Face value,,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,113.45,652.09,570.75,-362.67,-695.06,-961.7,419.42,4793.43,-4076.26
Cash from Investing Activity,,-29.17,99.71,-25.37,36.06,319.67,123.64,312.48,-1431.49,1354.97
Cash from Financing Activity,,-152.29,-182.25,-668.41,-581.2,319,826.63,415.69,-189.36,-1036.02
Net Cash Flow,,-68.02,569.55,-123.02,-907.81,-56.39,-11.43,1147.59,3172.58,-3757.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,12.8,29.1,32.7,68.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,208.5,208.5,208.5,208.5,208.5,208.5,208.5,208.5,208.5
