COMPANY NAME,RAILTEL CORPORATION OF INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,359.15,,,,,,,,,
Market Capitalization,11518.79,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,572.21,851.23,983.85,986.05,1080.63,1337.28,1521.54,1946.52,2567.82
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,26.74,34.51,39.11,41.04,35.38,37.69,32.68,43.36,
Other Mfr. Exp,,37.71,406.79,515.12,506.57,563.36,739.99,897.18,1274,
Employee Cost,,89.05,104.77,117.99,110.52,116.5,121.7,191,208.39,204.53
Selling and admin,,209.17,35.03,35.7,26.71,19.77,22.23,25.52,28.24,544.14
Other Expenses,,3.84,13.99,2.49,0.19,12.19,88.11,7.46,13.8,1355.28
Other Income,,69.85,52.46,40.78,-5.51,-17.87,28.4,76.04,31.95,27.63
Depreciation,,80.68,116.42,118.64,111.56,130.85,159.25,160.13,154.27,157.7
Interest,,0.88,1.02,1.74,5.3,3.57,2.1,4.06,3.83,5.71
Profit before tax,,193.99,191.16,193.84,178.65,181.14,194.61,279.55,252.58,328.09
Tax,,92.03,63.1,37.67,68.85,42.79,54.2,71.21,65.2,81.88
Net profit,,101.96,128.06,156.17,109.8,138.35,140.41,208.34,187.38,246.21
Dividend Amount,,22.14,51.54,18,64.19,68.04,70.61,77.03,81.84,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,413.81,455.23,370.46,428.71,454.32,697.46,467.61,599.15,668.36,832.7
Expenses,342.53,359.03,304.24,328.34,379.95,599.78,393.46,483.88,538.72,716.15
Other Income,56.15,21.11,7.58,11.38,7.85,46.37,15.12,13.67,-4.39,31.49
Depreciation,37.93,43.04,39.56,36.56,36.96,41.19,36.69,37.87,40.54,42.6
Interest,0.61,1.13,0.53,1.15,2.12,0.63,1.12,0.61,0.47,3.51
Profit before tax,88.89,73.14,33.71,74.04,43.14,102.23,51.46,90.46,84.24,101.93
Tax,22.31,19.03,8.63,18.8,11.19,26.99,13.07,22.31,22.1,24.4
Net profit,66.58,54.11,25.08,55.24,31.95,75.24,38.39,68.15,62.14,77.53
Operating Profit,71.28,96.2,66.22,100.37,74.37,97.68,74.15,115.27,129.64,116.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,320.94,320.94,320.94,320.94,320.94,320.94,320.94,320.94,320.94
Reserves,,763.32,838.33,928.44,962.79,1040.34,1081.79,1195.08,1315.56,1506.3
Borrowings,,,,,1.36,42.54,,31.51,41.79,45.62
Other Liabilities,,1126.27,1155.31,1009.54,870.45,852.28,1213.47,1211.88,1587.5,2176.72
Total,,2210.53,2314.58,2258.92,2155.54,2256.1,2616.2,2759.41,3265.79,4049.58
Net Block,,710.53,693.91,687.99,789.86,789.19,759.78,774.85,821.27,913.33
Capital Work in Progress,,261.71,359.72,364.17,299.9,252.54,214.84,163.94,156.93,129.59
Investments,,10,,10,17.04,10,10,40.05,50.07,90.29
Other Assets,,1228.29,1260.95,1196.76,1048.74,1204.37,1631.58,1780.57,2237.52,2916.37
Total,,2210.53,2314.58,2258.92,2155.54,2256.1,2616.2,2759.41,3265.79,4049.58
Receivables,,257.78,374.19,465.38,456.99,474.96,761.44,666.47,1032.57,1267.79
Inventory,,0.59,0.22,,0.87,0.49,1.21,0.94,0.92,3.01
Cash & Bank,,559.76,616.02,444.84,334.57,170.2,520.22,276.17,239.86,485.15
No. of Equity Shares,,320940000,320940000,320938407,320938407,320938407,320938407,320938407,320938407,
New Bonus Shares,,,,,,,,,,
Face value,,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,,153.51,374.32,258.3,248.51,556.36
Cash from Investing Activity,,,,,,-48.21,-134.65,-213.17,-168.95,-419.07
Cash from Financing Activity,,,,,,-62.46,-109.6,-103.76,-78.51,-77.43
Net Cash Flow,,,,,,42.84,130.07,-58.63,1.05,59.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,126.8,84.1,101.1,363.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,32.09,32.09,32.09,32.09,32.09,32.09,32.09,32.09,32.09
