COMPANY NAME,RAMKRISHNA FORGINGS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,684.95,,,,,,,,,
Market Capitalization,12388.41,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,753.84,907.85,920.73,1490.9,1931.08,1216.47,1288.93,2320.25,3192.9,3954.88
Raw Material Cost,363.45,420.85,421.92,731.73,943.2,556.11,641.43,1232.83,1623.09,1877.35
Change in Inventory,-14.81,30.91,53.99,17.95,16.7,50.9,4.97,200.79,168.51,65.9
Power and Fuel,55.91,70.84,86.65,121.68,142.61,97.32,93.59,152.4,187.92,227.19
Other Mfr. Exp,80.09,113.62,143.32,172.26,273,203.85,128.63,349.87,442.06,
Employee Cost,59.87,88.25,85.8,94.56,105.3,103.4,96.76,128.02,158.55,207.76
Selling and admin,68.89,85.89,62.08,79.72,75.36,69.55,75.97,117.79,209.38,
Other Expenses,-19.83,-21.82,12.01,19.97,22.49,28.41,33.24,21.86,46.54,869.14
Other Income,12.37,2.32,7.06,4.16,2.97,6.4,4.81,1.46,3.96,28.92
Depreciation,31.64,53.32,75.02,84.65,121.06,120.54,116.7,169.35,201.64,257.57
Interest,32.09,55.17,78.13,73.37,84,79.8,80.64,97.18,121.75,151.64
Profit before tax,79.29,74.96,16.85,135.07,183.73,14.79,31.75,253.2,374.44,459.05
Tax,3.89,20.42,5.63,40.13,63.62,5.1,11.07,55.17,126.33,117.62
Net profit,75.41,54.54,11.22,94.93,120.11,9.7,20.67,198.03,248.11,341.44
Dividend Amount,5.49,5.73,2.87,3.26,4.89,,,27.18,31.98,36.16
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,601.32,718.72,699.33,824.44,777.48,891.64,892.34,981.49,1057.79,1023.26
Expenses,459.93,571.04,549.38,649.06,604.49,697.63,700.36,775.89,833.29,805.99
Other Income,1.39,,0.62,0.8,0.74,1.79,4.66,4.16,1.53,18.57
Depreciation,45.13,45.66,47.13,49.69,49.02,55.8,57.15,60.9,67.63,71.9
Interest,26.98,26.99,26.46,28.99,31.2,33.55,35.86,39.06,41.04,35.69
Profit before tax,70.67,75.03,76.98,97.5,93.51,106.45,103.63,109.8,117.36,128.25
Tax,25.32,-8.91,25.59,30.27,32.47,38,25.11,27.61,30.5,34.41
Net profit,45.35,83.93,51.39,67.23,61.04,68.45,78.53,82.2,86.86,93.85
Operating Profit,141.39,147.68,149.95,175.38,172.99,194.01,191.98,205.6,224.5,217.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,27.47,28.67,28.67,32.59,32.61,32.61,31.93,31.98,31.98,36.16
Reserves,377.05,441.7,439.99,725.99,839.85,843.39,850.65,1046.41,1289.79,2647.95
Borrowings,734.7,881.97,956.71,845.04,911.68,992.99,1232.78,1618.26,1333.4,1206.53
Other Liabilities,303.16,332.43,432.56,452.15,416.6,360.72,587.26,784.6,1075.57,1417.39
Total,1442.38,1684.77,1857.93,2055.77,2200.74,2229.71,2702.62,3481.25,3730.74,5308.03
Net Block,532.31,947.46,1024.37,1075.62,1113.91,1174.53,1240.36,1473.21,1692.76,2428.2
Capital Work in Progress,315.68,35.06,50.42,43.56,129.59,219.03,275.63,129.47,90.67,216.24
Investments,0.11,0.11,0.11,0.11,0.11,0.11,0.11,55.11,0.11,125.32
Other Assets,594.28,702.14,783.03,936.48,957.13,836.04,1186.52,1823.46,1947.2,2538.27
Total,1442.38,1684.77,1857.93,2055.77,2200.74,2229.71,2702.62,3481.25,3730.74,5308.03
Receivables,298.72,338.3,443.79,514.66,509.59,342.69,572.9,890.61,775.22,849.94
Inventory,175.61,220.05,228.56,299.39,331.9,359.94,438.95,709.64,907.89,1100.17
Cash & Bank,1.22,2.18,1.95,1.2,3.16,3.29,68.46,38.42,47.3,177.03
No. of Equity Shares,27469940,28669940,28669940,32591508,32606849,32607699,31932706,159889535,159889535,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,43.68,103.52,143.57,127.11,267.42,254.19,139.53,43.06,745.28,621.06
Cash from Investing Activity,-272.07,-169.46,-107.26,-109.62,-254.11,-231.25,-221.68,-354.42,-299.19,-1117.45
Cash from Financing Activity,214.33,66.54,-37.09,-17.38,-11.96,-22.4,146.84,280.2,-437.74,625
Net Cash Flow,-14.06,0.61,-0.78,0.11,1.34,0.54,64.7,-31.17,8.35,128.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,85.61,68.82,95.93,140.53,104.96,30.52,104.58,157.4,286.1,691.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
