COMPANY NAME,RATEGAIN TRAVEL TECHNOLOGIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,668.85,,,,,,,,,
Market Capitalization,7878.88,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,261.57,398.71,250.79,366.59,565.13
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,0.43,0.68,0.23,0.3,0.36
Other Mfr. Exp,,,,,,20.09,46.51,14.52,24.52,27.52
Employee Cost,,,,,,120.83,205.8,151.26,191.37,252.76
Selling and admin,,,,,,90.44,107.32,61.3,108.24,184.43
Other Expenses,,,,,,7.02,62.53,16.21,10.07,13.44
Other Income,,,,,,11.13,58.9,13.29,15.58,19.93
Depreciation,,,,,,20.22,42.7,35.88,30.06,35.81
Interest,,,,,,4.18,9.84,9.31,6.77,3.48
Profit before tax,,,,,,9.49,-17.77,-24.63,10.84,67.26
Tax,,,,,,-1.55,2.34,3.95,2.41,-1.15
Net profit,,,,,,11.03,-20.1,-28.58,8.42,68.4
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,84.76,99.01,107.88,119.3,124.61,138.29,182.93,214.48,234.72,252.02
Expenses,80.77,89.74,92.51,107.38,107.02,115.35,150.72,176.69,188.3,200.76
Other Income,3.01,0.78,6.07,7.75,6.83,0.56,4.8,5.99,3.65,10.87
Depreciation,7.02,7.96,8.18,8.21,8.38,8.42,10.81,11.33,10.43,9.76
Interest,1.36,1.68,0.91,0.43,0.38,0.36,0.35,0.34,0.36,0.35
Profit before tax,-1.38,0.41,12.35,11.03,15.66,14.72,25.85,32.11,39.28,52.02
Tax,0.52,0.33,0.74,2.62,2.7,1.48,-7.94,7.2,9.25,11.6
Net profit,-1.9,0.09,11.61,8.42,12.96,13.23,33.79,24.91,30.04,40.42
Operating Profit,3.99,9.27,15.37,11.92,17.59,22.94,32.21,37.79,46.42,51.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,0.65,0.65,0.66,10.73,10.83
Reserves,,,,,,142.49,136.98,244.12,608.42,698.91
Borrowings,,,,,,54.34,143.8,117.12,18.04,17.69
Other Liabilities,,,,,,87.43,115.68,77.9,139.68,208.49
Total,,,,,,284.91,397.11,439.8,776.87,935.92
Net Block,,,,,,106.07,215.94,167.88,222.49,395.8
Capital Work in Progress,,,,,,,,,,1.43
Investments,,,,,,40.69,44.91,129.02,164.67,139.87
Other Assets,,,,,,138.15,136.26,142.9,389.71,398.82
Total,,,,,,284.91,397.11,439.8,776.87,935.92
Receivables,,,,,,63.27,77.67,66.91,100.56,160.78
Inventory,,,,,,,,,,
Cash & Bank,,,,,,44.82,24.35,57.34,245.1,201.46
No. of Equity Shares,,,,,,655000,655000,655000,107310252,108317192
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10,10,10,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,36.21,19.14,20.6,16.81,51.92
Cash from Investing Activity,,,,,,-2.85,-110.58,-80.68,-276.37,15.62
Cash from Financing Activity,,,,,,-6.34,72.78,92.88,239.91,-1.7
Net Cash Flow,,,,,,27.03,-18.66,32.8,-19.66,65.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,334.1,343.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,0.07,0.07,0.07,10.73,10.83
