COMPANY NAME,REDINGTON LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,202.3,,,,,,,,,
Market Capitalization,15815.3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,27944.88,31559.16,35442.18,41114.65,41602.58,46536.15,51465.17,56945.86,62644.01,79376.78
Raw Material Cost,26621.91,30301.98,34285.64,38437.43,38898.09,44598.99,48276.57,53110.66,60151.63,77073.02
Change in Inventory,332.09,569.08,913.82,-360.54,-301.71,786.15,-371.71,-690.31,1296.63,2440.19
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,38.23,85.39,101.53,127.6,119.64,172.51,215.5,219.48,214,388.75
Employee Cost,411.35,468.56,541.05,628.72,652.95,724.2,783.78,831.98,885.66,1168.41
Selling and admin,452.69,461.3,490.08,569.53,500.54,675.57,539.52,522.77,665.78,742.98
Other Expenses,68.8,94.49,132.05,139.78,283.82,185.05,185.62,178.97,184.69,241.23
Other Income,51.14,63.52,33.98,41.39,39.09,-7.83,43.93,89.39,87.56,141.76
Depreciation,38.5,42.59,46.82,54.68,56.94,63.36,155.4,148.2,141.28,155.4
Interest,211.51,181.99,202.5,183.25,197.41,271.45,288.72,204.75,162.8,355.47
Profit before tax,485.12,555.46,590.31,654.51,630.57,623.34,692.28,1128.13,1622.36,1833.47
Tax,127.18,145.05,146.23,177.77,146.15,138.87,158.36,339.63,307.49,394.08
Net profit,336.65,386.53,423.52,464.22,481.64,507.78,515.21,758.28,1279.91,1392.56
Dividend Amount,35.96,75.94,83.96,171.94,96.04,93.38,167.31,451.47,515.76,562.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,15287.46,16600.74,17301.76,16803.14,19050.74,21674.31,21848.59,21187.18,22220.15,23504.97
Expenses,14855.85,16075.49,16811.23,16341.32,18518.33,21092.89,21305.44,20768,21738.72,22987.67
Other Income,25.86,19.07,22.68,25.18,30.04,40.33,46.38,63.52,76.44,44.56
Depreciation,36.08,33.74,36.59,36.48,37.12,39.05,42.75,42.38,43.73,43.33
Interest,30.66,23.85,33.08,36.84,54.48,88.45,92.09,88.46,105.81,84.61
Profit before tax,390.73,486.73,443.54,413.68,470.85,494.25,454.69,351.86,408.33,433.92
Tax,67.64,89.67,87.97,87.34,78.94,101.5,126.3,96.66,96.69,86.04
Net profit,307.2,388.07,347.97,315.78,386.98,379.7,310.1,248.78,303.47,340.78
Operating Profit,431.61,525.25,490.53,461.82,532.41,581.42,543.15,419.18,481.43,517.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,79.9,79.94,79.96,79.97,80.03,77.82,77.82,77.84,156.29,156.31
Reserves,1941.4,2294.23,2869.39,3067.94,3450.53,3828.16,4231.03,4860.67,5628.66,6771.04
Borrowings,1786.15,1866.61,2349.11,1515.84,1457.79,1307.4,2774.71,621.91,830.76,3320.8
Other Liabilities,3500.23,4134.56,5226.41,5486.44,5874.95,7205.77,7567.77,8998.7,11791.72,13029.54
Total,7307.68,8375.34,10524.87,10150.19,10863.3,12419.15,14651.33,14559.12,18407.43,23277.69
Net Block,259.19,275.66,497.62,476.02,470.14,454.3,714.42,604.78,700.08,877.43
Capital Work in Progress,22.77,13.31,14.25,0.5,20.35,37.83,11.47,0.94,85.39,12.11
Investments,,,,4.77,3.52,7.03,,,,34.35
Other Assets,7025.72,8086.37,10013,9668.9,10369.29,11919.99,13925.44,13953.4,17621.96,22353.8
Total,7307.68,8375.34,10524.87,10150.19,10863.3,12419.15,14651.33,14559.12,18407.43,23277.69
Receivables,3925.68,4418.99,5344.54,5087.25,6041.93,6278.56,7032,6800.67,8675.16,12030.05
Inventory,2285.26,2854.34,3768.15,3374.56,3106.62,3859.17,3672.76,2902.11,4383.04,7085.26
Cash & Bank,484.61,531.37,550.56,721.21,541.27,877.19,2377.08,3492.97,3659.3,1950.64
No. of Equity Shares,399481820,399702790,399813230,399848460,400172685,389081315,389087750,389219272,781456581,781560771
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,241.32,256.83,-142.14,1360.47,185.62,1068.44,965.65,3496.89,989.2,-3233.52
Cash from Investing Activity,295.87,10.32,11.53,-85.72,-24.64,-93.73,54.28,-609.88,-166.97,242.66
Cash from Financing Activity,-522.93,-224.85,201.64,-1130.72,-199.02,-650.69,443.26,-2241.05,-476.11,1528.64
Net Cash Flow,14.26,42.3,71.03,144.03,-38.04,324.02,1463.19,645.96,346.12,-1462.22
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
