COMPANY NAME,REDTAPE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,713.8,,,,,,,,,
Market Capitalization,9871.11,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,,,303.22,1468.31
Raw Material Cost,,,,,,,,,207.64,1043.49
Change in Inventory,,,,,,,,,57.28,258.07
Power and Fuel,,,,,,,,,3.14,14.42
Other Mfr. Exp,,,,,,,,,18.59,81.66
Employee Cost,,,,,,,,,11.85,49.86
Selling and admin,,,,,,,,,58.46,290.59
Other Expenses,,,,,,,,,13.35,2.01
Other Income,,,,,,,,,-0.25,6.65
Depreciation,,,,,,,,,2.43,44.44
Interest,,,,,,,,,3.99,17.46
Profit before tax,,,,,,,,,40.8,189.1
Tax,,,,,,,,,11.76,46.95
Net profit,,,,,,,,,29.04,142.15
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,305.59,306.34,477.6,378.78,393.79,324.71,617.57
Expenses,,,,252.15,261.73,390.81,319.27,313.2,267.07,512.87
Other Income,,,,1.82,2.91,1.14,0.78,2.14,2.4,3.64
Depreciation,,,,10.98,10.15,10.14,13.18,12.4,14.93,16.49
Interest,,,,3.6,3.9,4.71,5.25,6.16,9.31,9.85
Profit before tax,,,,40.68,33.47,73.08,41.86,64.17,35.8,82
Tax,,,,12.6,7.25,19.78,7.32,17.44,8.06,21.18
Net profit,,,,28.08,26.22,53.3,34.55,46.73,27.74,60.82
Operating Profit,,,,53.44,44.61,86.79,59.51,80.59,57.64,104.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,,,0.01,27.64
Reserves,,,,,,,,,335.87,449.11
Borrowings,,,,,,,,,28.5,80.7
Other Liabilities,,,,,,,,,461.16,681.28
Total,,,,,,,,,825.54,1238.73
Net Block,,,,,,,,,303.8,368.34
Capital Work in Progress,,,,,,,,,17.06,71.09
Investments,,,,,,,,,0.66,0.56
Other Assets,,,,,,,,,504.02,798.74
Total,,,,,,,,,825.54,1238.73
Receivables,,,,,,,,,56.17,84.11
Inventory,,,,,,,,,396.65,642.99
Cash & Bank,,,,,,,,,14.26,26.18
No. of Equity Shares,,,,,,,,,50000,138201900
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,,,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,,,44.24,124.19
Cash from Investing Activity,,,,,,,,,-49.17,-147.01
Cash from Financing Activity,,,,,,,,,-17.22,34.74
Net Cash Flow,,,,,,,,,-22.15,11.92
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,,13.82
