COMPANY NAME,RELIANCE POWER LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,24.75,,,,,,,,,
Market Capitalization,9938.14,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,5174.75,6903.42,10298.63,10395.65,9592.73,8201.31,7562.27,7934.01,7503.11,7542.69
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,3000.53,3982.51,4996.35,4994.85,4311.98,3187.21,3244.9,1610.17,1840.23,2282.51
Other Mfr. Exp,79.2,121.9,265.12,236.54,271.8,260.8,247.36,1774.99,1812.41,2018.46
Employee Cost,78.06,66.11,175.73,182.65,186.52,186.5,209.33,156.06,176.44,182.03
Selling and admin,49.93,60.23,206.3,208.08,199.53,154.66,229,225.56,155.74,149.18
Other Expenses,50.38,86.08,240.73,267.06,229.47,478.35,621.2,592.27,783.15,1004.31
Other Income,370.43,297.68,322.89,496.03,275.56,-2823.13,-3368.05,485.87,192.07,1314.16
Depreciation,363.87,523.71,701.42,734,758.82,838.25,836.28,1083.21,1077.28,1032.73
Interest,684.4,1074.2,2682.65,2843.08,2925.97,3206.48,3053.97,2538.59,2720.82,2526.61
Profit before tax,1238.81,1286.36,1353.22,1425.42,984.2,-2934.07,-4247.82,439.03,-870.89,-338.98
Tax,212.14,258.04,457.77,321.26,143.75,17.75,23.66,-14.91,43.73,63.91
Net profit,1026.67,1028.32,895.45,1104.16,840.45,-2951.82,-4076.59,228.63,-964,-470.77
Dividend Amount,,,280.51,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1847.24,1795.94,1846.1,2062.97,1863.82,1886.05,1729.84,1921.82,2052.26,1946.58
Expenses,1051.4,966.89,1664.14,1249.38,1296.05,1223.3,1888.98,1301.26,1320.16,2309.9
Other Income,48.23,63.18,32.22,43.91,72.62,48.51,1170.34,36.9,117.49,184.02
Depreciation,275.68,269.7,257.48,258.5,255.19,253.43,265.61,261.17,262.8,262.48
Interest,652.09,663.47,603.4,638.02,664.83,649.6,574.17,620.26,725.05,606.7
Profit before tax,-83.7,-40.94,-646.7,-39.02,-279.63,-191.77,171.42,-223.97,-138.26,-1048.48
Tax,-4.86,14.19,4.5,63.25,32.98,53.17,-85.49,72.34,99.5,88.27
Net profit,-133.1,-97.22,-555.18,-160.79,-340.26,-291.54,321.79,-296.31,-237.76,-1136.75
Operating Profit,795.84,829.05,181.96,813.59,567.77,662.75,-159.14,620.56,732.1,-363.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,2796.63,2805.13,2805.13,2805.13,2805.13,2805.13,2805.13,2805.13,3400.13,3735.21
Reserves,16671.8,17826.87,17421.7,18562.45,18429.83,14572.34,9063.74,9440.71,8181.03,7780.17
Borrowings,30042.53,33218.52,33789.98,32925.33,31696.56,30456.2,28761.4,25634.62,23129.03,21236.03
Other Liabilities,6114.91,8175.35,9996.87,9872.26,9242.42,10244.73,12712.63,12901.37,15101.47,15784.01
Total,55625.87,62025.87,64013.68,64165.17,62173.94,58078.4,53342.9,50781.83,49811.66,48535.42
Net Block,13838.88,33633.74,34514.89,34850.53,34880.54,35902.95,38573.6,37190.43,36307.85,35776.03
Capital Work in Progress,32254.77,15530.55,7385.93,7402.95,6912.83,4276.38,3614.79,1911.68,2019.95,2319.59
Investments,141.38,860.92,872.75,799.39,280.15,223.89,30.44,35.57,36.75,38.55
Other Assets,9390.84,12000.66,21240.11,21112.3,20100.42,17675.18,11124.07,11644.15,11447.11,10401.25
Total,55625.87,62025.87,64013.68,64165.17,62173.94,58078.4,53342.9,50781.83,49811.66,48535.42
Receivables,1137.58,2910.67,3524.96,2988.03,2477.8,2738.11,2361.04,2409.88,3213.5,2679.9
Inventory,622.77,1047.47,1123.69,1028.66,728.98,1011.72,1014.18,874.12,828.04,925.32
Cash & Bank,2641.12,1170.78,1676.94,957.79,916.49,271.13,284.43,315.21,644.38,651.16
No. of Equity Shares,2796626466,2805126466,2805126466,2805126466,2805126466,2805126466,2805126466,2805126466,3400126466,3735205966
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,2310.27,1399.12,4573.52,4705.36,4364.73,4223.11,4542.82,4148.62,3613.1,4023.74
Cash from Investing Activity,-2311.41,-3629.65,-1347.61,-2141.85,354.28,60.01,-247.1,485.6,283.62,-354.18
Cash from Financing Activity,-585.78,695.37,-3194.34,-3389.32,-4310.89,-4838.83,-4199.66,-4614.96,-3848.69,-3623.14
Net Cash Flow,-586.92,-1535.16,31.57,-825.81,408.12,-555.71,96.06,19.26,48.03,46.42
