COMPANY NAME,RESPONSIVE INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,280.55,,,,,,,,,
Market Capitalization,7491.45,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2515.44,2106.46,2247.2,2006.14,1246.88,775.04,533.12,755.71,1103.42,973.66
Raw Material Cost,2138.05,1732.23,1917.3,1741.84,1055.53,534.01,327.68,563.1,925.46,771.64
Change in Inventory,0.65,-3.17,-0.44,6.05,18.43,-15.76,-2.49,35.86,78.99,85.52
Power and Fuel,40.33,41.7,37.11,36.76,29.13,44.66,37.6,30.23,34.18,44.17
Other Mfr. Exp,39.38,28.43,24.9,8.52,13.4,12.92,14.25,11.67,15.58,18.21
Employee Cost,10.63,12.43,11.67,12.2,13.9,17.94,16.9,12.87,16.62,22.98
Selling and admin,26.43,36.46,48.94,23.85,35.06,26.16,29.94,29.39,75.59,79.95
Other Expenses,3,4.39,0.4,28.86,6.6,7.85,6.76,16.81,5.22,12.04
Other Income,26.66,31.8,23.58,17.54,13.32,24.13,28.19,-44.39,23.73,15.84
Depreciation,145.46,166.33,172.96,132.33,86.65,81.9,77.92,64.4,105.27,69.14
Interest,31.1,26.45,25.76,23.1,17.19,12.92,21.27,3.82,17.86,28.46
Profit before tax,108.37,86.67,31.3,22.27,21.17,45.05,26.5,14.89,10.36,28.43
Tax,26.3,24.9,12.25,14.63,11.81,15.59,2.13,-9.51,10.2,4
Net profit,72.59,49.29,18.23,10.68,10.77,28.7,24.18,40.33,0.07,24.04
Dividend Amount,2.62,2.62,2.62,2.62,2.62,3.15,2.62,2.62,2.62,2.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,292.92,311.99,324.87,227.46,245.11,263.93,237.15,263.17,268.35,267.27
Expenses,260.63,279.72,300.17,209.64,231.03,227.78,195.22,214.67,207.22,200.82
Other Income,5.57,2.11,8.76,5.03,5.19,3.26,2.53,2.48,5.46,1.48
Depreciation,25.05,28.23,26.88,23.93,15.89,14.64,14.68,14.42,15.48,15.5
Interest,3.04,2.79,6.97,7.61,7.89,6.81,6.15,4.59,7.95,5.31
Profit before tax,9.77,3.36,-0.39,-8.69,-4.51,17.96,23.63,31.97,43.16,47.12
Tax,3.34,3.62,2.98,0.69,1.29,1.13,0.89,1.95,2.49,2.41
Net profit,6.14,-0.22,-3.32,-8.57,-5.74,16.82,21.49,29.52,40.67,44.71
Operating Profit,32.29,32.27,24.7,17.82,14.08,36.15,41.93,48.5,61.13,66.45
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25
Reserves,738.69,816.76,855.26,862.98,870.85,895.91,917.26,941.14,942.26,977.13
Borrowings,799.39,550.16,419.93,382.39,223.2,108.84,166.68,198.12,235.55,257.19
Other Liabilities,278.8,261.05,401.69,262.92,268.48,219.85,231.77,102.11,174.02,140.07
Total,1843.13,1654.22,1703.13,1534.54,1388.78,1250.85,1341.96,1267.62,1378.08,1400.64
Net Block,1149.91,1063.04,918.9,801.02,765.22,692.2,616.52,915.22,819.8,757.35
Capital Work in Progress,,,7.13,,,,,,,
Investments,10.05,7.84,14.26,15.18,37.8,18.73,13.36,9.77,11.97,12.76
Other Assets,683.17,583.34,762.84,718.34,585.76,539.92,712.08,342.63,546.31,630.53
Total,1843.13,1654.22,1703.13,1534.54,1388.78,1250.85,1341.96,1267.62,1378.08,1400.64
Receivables,321.83,307.5,593.5,406.9,393.5,160.76,218.39,163.36,275.35,338.33
Inventory,58.55,62.4,44.14,124.97,116.62,76.82,53.79,102.48,187.14,214.41
Cash & Bank,183.72,69.22,75.94,119.51,32.23,23.59,48.73,54.7,48.84,54.13
No. of Equity Shares,262500000,262495370,262495370,262495370,262495370,262495370,262495370,262495370,262495370,262495370
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,104.72,220.34,164.5,107.35,141.7,306.39,90.01,145.23,-20,6.96
Cash from Investing Activity,-48.16,-80.26,32.47,-36.49,-28.77,-252.94,-94.11,-166.19,-5.27,-4.71
Cash from Financing Activity,89.76,-263.06,-159.88,-57.51,-176.64,-62.09,32.44,25.37,17.9,-9.55
Net Cash Flow,146.32,-122.99,37.09,13.35,-63.71,-8.64,28.34,4.41,-7.38,-7.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,95.75,118.4,81.2,86.6,39.3,91.9,81.15,167.1,181.85,123.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
