COMPANY NAME,ROUTE MOBILE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1406.9,,,,,,,,,
Market Capitalization,8834.03,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,367.39,457.58,504.95,844.67,956.25,1406.18,2002.03,3569.23,4023.29
Raw Material Cost,,250.85,325.37,340.75,667.02,764.15,1129.05,1582.51,2782.56,3162.77
Change in Inventory,,,,,,,,,,
Power and Fuel,,0.41,0.43,1.59,1.73,1.94,1.32,1.29,2.21,
Other Mfr. Exp,,1.13,1.86,2.23,1.77,1.96,1.99,4.43,5.35,
Employee Cost,,23.71,25.72,50.53,55.56,58.31,61.65,126.34,197.11,198.21
Selling and admin,,8.64,19.36,27.7,25.26,21.64,31.31,39.94,108.82,
Other Expenses,,3.08,2.55,10.23,6.34,7.46,5.96,27.37,27.93,151.25
Other Income,,4.45,5.43,4.54,7.71,-3.04,15.98,20.06,39.38,57.32
Depreciation,,2.73,5.42,12.45,17.23,22.68,25.76,38.32,81.6,86.05
Interest,,1.33,1.04,6.55,12.25,5.71,3.57,6.67,21.53,27.25
Profit before tax,,79.96,81.26,57.46,65.22,69.36,161.55,195.22,381.5,455.08
Tax,,17.22,20.65,9.94,9.72,11.16,28.79,25.14,48.39,66.24
Net profit,,62.74,60.63,48.69,56.92,58.27,133.33,166.17,327.06,375.08
Dividend Amount,,22,,7.5,7.5,7.5,11.54,31.44,68.68,69.07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,562.77,626.07,729.01,845.84,985.72,1008.66,967.34,1014.61,1024.31,1017.03
Expenses,501.94,569.75,644.32,742.9,861.17,876.69,840.09,886.47,899.12,891.59
Other Income,4.73,8.41,14.79,2.26,7.75,14.6,10.82,3.68,34.54,13.32
Depreciation,9.85,14.53,19.57,18.84,21.96,21.23,21.13,21.44,21.63,21.85
Interest,0.62,3.39,4.17,4.09,7.21,4.98,6.71,6.55,6.47,7.52
Profit before tax,55.09,46.81,75.74,82.27,103.13,120.36,110.23,103.83,131.63,109.39
Tax,8.8,-0.61,4.67,9.64,17.77,16.31,18.54,15.48,17.99,14.23
Net profit,44.52,45.68,69.41,73.6,82.44,101.61,92.44,88.8,105.74,88.1
Operating Profit,60.83,56.32,84.69,102.94,124.55,131.97,127.25,128.14,125.19,125.44
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,20,50,50,50,50,57.71,62.87,62.44,62.79
Reserves,,50.39,76.58,120.94,172.85,219.38,594.4,1609.69,1757.98,2086.8
Borrowings,,0.23,18.49,84.17,79.05,53.17,19.96,16.22,140.11,378.49
Other Liabilities,,157.85,54.89,168.17,185.26,302.47,349.71,964.42,916.39,943.86
Total,,228.47,199.96,423.28,487.16,625.02,1021.78,2653.2,2876.92,3471.94
Net Block,,9.22,32.73,182.06,169.91,175.62,192.84,952.27,952.53,923.29
Capital Work in Progress,,1.21,,,2.13,,1.05,,15.1,
Investments,,0.05,0.05,,10.67,11.9,12.8,13.38,20.25,14.87
Other Assets,,217.99,167.18,241.22,304.45,437.5,815.09,1687.55,1889.04,2533.78
Total,,228.47,199.96,423.28,487.16,625.02,1021.78,2653.2,2876.92,3471.94
Receivables,,22.34,32.43,97.29,144.71,203.7,217.3,516.51,701.54,1071.58
Inventory,,,,,,,,,,
Cash & Bank,,162.08,110.94,102.6,95.65,102.64,467.65,1026.17,879.88,756.61
No. of Equity Shares,,20000000,50000000,50000000,50000000,50000000,57713583,62872883,62443217,
New Bonus Shares,,,,,,,,,,
Face value,,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,202.58,-59.76,28.1,22.81,98.48,222.15,134.56,73.21,-97.59
Cash from Investing Activity,,-34.53,-19.29,-131.83,0.16,1,-224.66,-820.91,110.94,-2.12
Cash from Financing Activity,,-32.82,18.06,46.44,-17.09,-67.35,210.98,823.69,-107.87,158.02
Net Cash Flow,,135.23,-60.99,-57.28,5.89,32.12,208.47,137.34,76.28,58.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,1409.8,1542.3,1365.9,1602.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,2,5,5,5,5,5.77,6.3,6.24,6.28
