COMPANY NAME,STEEL AUTHORITY OF INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,153.05,,,,,,,,,
Market Capitalization,63099.63,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,46803.54,46032.15,38793.04,44209.65,57496.26,66973.49,61664.12,69113.61,103476.84,104447.72
Raw Material Cost,19970.55,19364.97,17183,21161.45,30514.01,32402.97,29371.73,23213.59,42890.12,62179.91
Change in Inventory,-897.35,1368.7,-540.45,-117.34,-1138.82,2716.16,5577.63,-4276.64,279.54,5154.71
Power and Fuel,3834.67,4491.56,5459.95,5371.01,5931.71,6189.45,6340.73,5861.67,7139.83,7867.47
Other Mfr. Exp,4747.24,5275.49,4563.14,4615.55,955.71,5563.95,6068.44,5827.21,6874.52,8024.41
Employee Cost,9708.24,9899.61,9728.72,9180.52,9120.07,8949.82,8797.32,10564.75,12861.99,12071.53
Selling and admin,2859.8,3265.97,3404.24,3125.08,4518.83,5755.43,5215.08,5757.43,11087.39,8966.46
Other Expenses,628.47,288.44,748.01,523.44,608.7,1021.25,1184.76,835.84,1539.3,2454.8
Other Income,2071.47,892.22,425.13,378.49,653.68,282.72,280.38,1349.1,901.55,1855.6
Depreciation,1835.76,1907.14,2404.42,2681.62,3065.97,3385.34,3755.73,4102.78,4275.02,4963.54
Interest,1047.14,1555.18,2300.45,2527.82,2822.75,3154.92,3486.76,2817.15,1697.89,2037.47
Profit before tax,3345.79,2244.71,-7114.21,-4715.69,-526.63,3549.24,3301.58,7205.65,16291.87,2892.44
Tax,693.45,305.82,-2937.71,-1959.52,-245.23,1200.53,1180.87,3057.52,4048.4,715.91
Net profit,2652.14,2035.32,-4176.5,-2756.17,-281.4,2348.71,2120.71,4148.13,12243.47,2176.53
Dividend Amount,834.37,826.11,,,,206.53,,1156.55,3614.21,619.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,26828.01,25246.99,30758.82,24028.62,26246.34,25042.1,29130.66,24359.1,29712.07,23348.64
Expenses,19794.16,21845.08,26421.26,21727.07,25511.13,22963.59,26206.5,22710.28,25836.71,21206.18
Other Income,255.85,-31.3,525.43,313.91,511.84,508.92,519.35,527.13,-173.77,354.83
Depreciation,1055.84,1048.99,1143.91,1194.12,1183.49,1221.26,1364.67,1275.18,1326.59,1320.78
Interest,439,315.81,440.11,374.04,506.17,640.26,517,612.6,605.22,613.85
Profit before tax,5794.86,2005.81,3278.97,1047.3,-442.61,725.91,1561.84,288.17,1769.78,562.66
Tax,1456.11,477.27,800.15,242.8,-113.25,183.73,402.63,75.69,464.19,139.74
Net profit,4338.75,1528.54,2478.82,804.5,-329.36,542.18,1159.21,212.48,1305.59,422.92
Operating Profit,7033.85,3401.91,4337.56,2301.55,735.21,2078.51,2924.16,1648.82,3875.36,2142.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,4130.53,4130.53,4130.53,4130.53,4130.53,4130.53,4130.53,4130.53,4130.53,4130.53
Reserves,39154.05,39640.52,36020.9,32911.73,32816.12,35515.62,37379.7,41275.69,50081.15,50616.14
Borrowings,26020.45,32146.27,35141.4,41395.65,45408.72,45170.04,54127.05,37676.67,17284.17,30773.43
Other Liabilities,24767.16,26931.99,26233.68,29405.49,33338.69,33385.22,31560.3,35006.88,48885.44,45262.36
Total,94072.19,102849.31,101526.51,107843.4,115694.06,118201.41,127197.58,118089.77,120381.29,130782.46
Net Block,28174.97,39011.03,45941.96,50300.27,58625.43,61374.5,69034.28,67618.16,73677.49,73543.06
Capital Work in Progress,33958.5,29327.8,24927.22,23275.39,18395.43,16013.61,8753.33,8880.63,4709.95,4891.36
Investments,91.39,60.53,2279.92,2475.46,2628.86,2974.83,3240.39,3442.26,3756.92,4185.25
Other Assets,31847.33,34449.95,28377.41,31792.28,36044.34,37838.47,46169.58,38148.72,38236.93,48162.79
Total,94072.19,102849.31,101526.51,107843.4,115694.06,118201.41,127197.58,118089.77,120381.29,130782.46
Receivables,5491.45,3250.14,3151.42,2934.69,3870.99,4497.48,8844.73,8168.54,4770.85,5389.97
Inventory,15559.06,18251.43,14932.46,15964.25,17277.39,19759.44,24106.21,15605.3,19840.45,28066.27
Cash & Bank,3142.47,2635.92,345.55,378.83,345.55,287.69,445.02,796.35,786.06,550.64
No. of Equity Shares,4130525300,4130525289,4130525289,4130525289,4130525289,4130525289,4130525289,4130525289,4130525289,4130525289
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,6312.75,2579.08,4042.75,2160.1,6163.54,7215.15,-617.67,23430.37,30986.65,-5290.15
