COMPANY NAME,SJVN LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,123.45,,,,,,,,,
Market Capitalization,48494.4,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1872.47,2815.62,2493.96,2679.14,2228.5,2644.66,2702.8,2485.39,2417,2938.35
Raw Material Cost,,,,,,,,,,0.17
Change in Inventory,,,,,,,,,,
Power and Fuel,11.64,12.56,9.24,12.57,14.86,14.08,11.91,10.11,11.56,11.13
Other Mfr. Exp,35.74,37.78,58.6,65.41,64.19,85.4,79.14,83.46,85.89,97.33
Employee Cost,123.86,199.66,215.56,255.28,266.89,316.58,308.57,317.33,290.81,287.14
Selling and admin,92.14,123.37,145.23,112.04,143.42,154.67,157.74,157.17,169.17,212.59
Other Expenses,4.81,-0.99,2.29,34.73,34.53,35.16,33.1,50.75,65.33,56.57
Other Income,237.18,309.48,541.18,411.12,408.86,396.83,587.45,425.38,195.39,309.73
Depreciation,474.52,641,677.16,679.98,364.51,390.26,384.09,393.27,404.29,396.4
Interest,28.88,64.56,218.44,55.18,100.86,250.55,344.2,42.27,225.52,449.09
Profit before tax,1338.06,2047.16,1708.62,1875.07,1648.1,1794.79,1971.5,1856.41,1359.82,1737.66
Tax,223.57,370.51,297.83,329.79,423.49,428.25,404.74,210.69,370.02,378.36
Net profit,1114.49,1676.65,1410.79,1541.18,1224.61,1362.58,1566.76,1645.72,989.8,1359.3
Dividend Amount,405.39,434.35,455.03,1137.57,1493.32,844.91,864.56,864.56,668.07,695.57
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,882.32,549.14,323.08,1004.11,878.48,551.99,503.77,674.79,878.36,543.31
Expenses,271.34,170.58,180.52,176.02,165.9,171.43,325.58,191.7,172.19,174.84
Other Income,43.86,62.81,75.12,107.89,86.18,177.15,68,70.64,88.69,49.29
Depreciation,102.33,102.31,103.2,100.41,105.32,105.15,85.52,100.71,101.88,112.12
Interest,15,37.73,82.41,144.45,116.53,105.27,48.63,89.8,124.15,122.37
Profit before tax,537.51,301.33,32.07,691.12,576.91,347.29,112.04,363.22,568.83,183.27
Tax,132.79,65.87,24.58,81.89,131.47,59.87,94.83,91.47,129.19,44.3
Net profit,404.72,235.46,7.49,609.23,445.44,287.42,17.21,271.75,439.64,138.97
Operating Profit,610.98,378.56,142.56,828.09,712.58,380.56,178.19,483.09,706.17,368.47
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,4136.63,4136.63,4136.63,4136.63,3929.8,3929.8,3929.8,3929.8,3929.8,3929.8
Reserves,4913.56,6066.15,7165.82,7352.92,6770.36,7316.42,8121.28,8861.49,9240.54,9929.74
Borrowings,2457.19,2648.25,2646.14,2416.42,2230.68,2155.11,2238.31,2173.63,6906.15,14059.34
Other Liabilities,2053.25,1781.18,1439.98,1485.87,1459.67,1572.34,1665.72,2508.41,3171.99,4392.12
Total,13560.63,14632.21,15388.57,15391.84,14390.51,14973.67,15955.11,17473.33,23248.48,32311
Net Block,5670.15,9053.91,8775.26,8424.8,8086.97,8141.93,8051.15,8007.03,7865.5,8489.49
Capital Work in Progress,4055.97,428.93,504.65,661.29,943.94,1303.3,2265.08,4298.27,8369.46,15673.87
Investments,,2.54,35.66,89.85,120.24,160.3,195.12,222.07,275.17,35.84
Other Assets,3834.51,5146.83,6073,6215.9,5239.36,5368.14,5443.76,4945.96,6738.35,8111.8
Total,13560.63,14632.21,15388.57,15391.84,14390.51,14973.67,15955.11,17473.33,23248.48,32311
Receivables,374.47,1507.08,1001.23,612.84,288.99,276.57,744.46,521.91,575.03,276.84
Inventory,33.88,36.82,39.25,39.6,50.56,44.94,49.55,56.19,62.7,72.8
Cash & Bank,2416.02,2857.57,3888.81,4319.75,3614.54,2966.94,2335.38,1305.94,2902.03,3731.44
No. of Equity Shares,4136626500,4136626500,4136626500,4136626500,3929795175,3929795175,3929795175,3929795175,3929795175,3929795175
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1279.46,1491.6,2208.89,2376.41,1641.36,1017.89,1713.54,1982.65,2137.73,1631.91
Cash from Investing Activity,-878.62,-303.85,-768.28,-1199.23,15.09,-34.05,-94.69,-1144.61,-6131.67,-6876.61
Cash from Financing Activity,-408.5,-746.2,-704.62,-1621.27,-2272.29,-1107.02,-1345.43,-1104.95,3669.36,5559.19
Net Cash Flow,-7.66,441.55,735.99,-444.09,-615.84,-123.18,273.42,-266.91,-324.58,314.49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
