COMPANY NAME,SKF INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,4948.9,,,,,,,,,
Market Capitalization,24410.82,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2413.61,2997.28,2631.41,2750.41,3034.53,2841.58,2670.73,3665.89,4304.92,4570.13
Raw Material Cost,1531.71,1913.01,1692.55,1579.78,1820.18,1806.02,1551.18,2418.41,2595.34,2792.62
Change in Inventory,31.75,41.27,67.31,-27.05,43.72,15.5,-10.06,173.22,29.52,14.33
Power and Fuel,42.84,50.44,43.86,49.02,51.04,47.78,43.21,50.64,56.17,
Other Mfr. Exp,109.71,137.77,116.64,100.62,130.87,111.81,121.11,167.3,198.25,
Employee Cost,216.19,255.01,223.01,237.76,259.35,240.09,246.71,286.32,300.38,343.37
Selling and admin,217.81,257.93,228.87,250.01,272.98,231.35,205.96,251.86,294.7,
Other Expenses,45.9,62.86,57.64,71.33,57.97,70.58,72.44,109.06,140.19,730.88
Other Income,78.92,101.38,87.33,71.36,92.38,103.92,36.31,34.62,51.87,94.01
Depreciation,53.95,68.43,47.88,45.74,46.39,57.12,57.95,57.1,66.84,74.6
Interest,,,,4.97,7.66,9.48,2.13,2.08,1.51,1.21
Profit before tax,306.17,394.48,375.6,455.49,524.19,386.77,396.29,530.96,732.93,735.79
Tax,103.4,138.59,131.71,159.6,188.42,97.78,98.56,135.83,208.14,184.02
Net profit,202.77,255.89,243.89,295.89,335.77,288.99,297.73,395.13,524.79,551.77
Dividend Amount,52.73,79.1,52.73,61.61,59.33,642.72,71.69,71.69,197.76,642.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,966.98,1039.01,1054.74,1078.26,1077.2,1094.69,1149.6,1125.21,1091.9,1203.4
Expenses,843.8,879.57,871.02,863.7,893.14,927.68,946.73,1003.74,919.79,990.03
Other Income,16.2,2.14,8.91,10.16,13.03,19.77,22.54,20.26,24.04,34.94
Depreciation,15.58,15.18,16.08,16.85,17.02,16.89,17.53,19.29,18.88,18.88
Interest,0.45,0.73,0.48,0.35,0.36,0.32,0.29,0.48,0.25,0.24
Profit before tax,123.35,145.67,176.07,207.52,179.71,169.57,207.59,121.96,177.02,229.19
Tax,34.46,36.2,46.89,51.57,63.23,46.72,53.06,31.74,44.84,54.38
Net profit,88.89,109.47,129.18,155.95,116.48,122.85,154.53,90.22,132.18,174.81
Operating Profit,123.18,159.44,183.72,214.56,184.06,167.01,202.87,121.47,172.11,213.37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,52.73,52.73,52.73,51.34,49.44,49.44,49.44,49.44,49.44,49.44
Reserves,1363.45,1611.86,1758.48,1785.97,1647.5,1855.81,1514.37,1836.46,2292.06,2633.4
Borrowings,,65,34.03,85,90,21.81,17.58,16.1,14.44,11.76
Other Liabilities,494.97,418.96,458.79,521.53,509.74,542.3,721.26,712.78,822.08,956.89
Total,1911.15,2148.55,2304.03,2443.84,2296.68,2469.36,2302.65,2614.78,3178.02,3651.49
Net Block,346.95,297.9,298.87,292.97,284.11,351.65,345.25,402.49,424.08,472.37
Capital Work in Progress,18.4,11.92,35.21,37.06,62.18,41.07,64.76,51.52,63.38,88.69
Investments,19.63,18.92,148.84,153.52,44.17,197.18,2.48,2.48,2.48,9.01
Other Assets,1526.17,1819.81,1821.11,1960.29,1906.22,1879.46,1890.16,2158.29,2688.08,3081.42
Total,1911.15,2148.55,2304.03,2443.84,2296.68,2469.36,2302.65,2614.78,3178.02,3651.49
Receivables,373.02,482.86,514.32,490.76,521.26,435.7,583.44,685.73,678.65,751.33
Inventory,292.95,335.04,416.64,402.88,461,451.78,468,676.82,686.03,683.88
Cash & Bank,534.75,697.33,591.45,742.64,603.42,618.29,500.31,401.85,957.96,1222.11
No. of Equity Shares,52732538,52732538,52700000,51337963,49437963,49400000,49400000,49400000,49400000,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,217.71,26.18,114.97,367.21,180.98,329.79,323.96,57.09,690.23,
Cash from Investing Activity,-2.67,-173.85,147.11,-264.92,306.41,-154.04,653.56,-32.59,-44.92,
Cash from Financing Activity,-92.54,49.13,-126.17,-225.27,-476.54,-177.86,-651.76,-77.99,-78.55,
Net Cash Flow,122.5,-98.54,135.91,-122.98,10.85,-2.11,325.76,-53.49,566.76,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,1349.95,1264.2,1599.8,1753.2,2044.7,1469.6,2249.4,3534.4,4255.75,4158.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
