COMPANY NAME,SAGAR CEMENTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,211.15,,,,,,,,,
Market Capitalization,2774.06,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2009-03-31 00:00:00,2010-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,270.03,424.85,753.42,813.84,1038.09,1217.55,1175.15,1371.32,1596.87,2229.54
Raw Material Cost,83.55,88.29,133.94,103.1,159.2,225.24,237.1,217.38,274.18,404.72
Change in Inventory,4.99,2.2,-2.91,-1.35,14.09,-13.56,9.82,-22.36,48.86,-17.45
Power and Fuel,66.44,132.44,68.56,57.19,49.47,362.76,309.18,261.43,515.73,893.53
Other Mfr. Exp,9.18,15.68,224.35,301.84,373.14,355.82,327.56,339.33,425.05,555.05
Employee Cost,13.78,18.02,41.83,43.34,51.29,58.92,65.01,76.61,86.01,99.8
Selling and admin,72.02,142.79,158.35,193.94,264.9,46.01,50.69,45.95,53.53,79.15
Other Expenses,-35.23,-55.03,0.19,2.71,2.9,5.23,9.93,7.82,15.08,26.66
Other Income,0.51,5.96,3.91,3.52,7.3,2.28,4.03,7.78,13.04,222.7
Depreciation,20.69,28.67,34.72,47.59,53.62,65.7,78.87,81.03,92.71,155.77
Interest,16.39,30.09,41.86,62.08,59.29,63.39,60.99,46.56,92.48,201.64
Profit before tax,28.71,32.06,50.62,4.22,45.67,23.2,49.67,280.63,104,18.47
Tax,9.23,11.81,6.35,8.14,19.41,9.61,23.14,94.51,44.85,9.97
Net profit,19.05,19.38,44.27,-3.92,26.26,13.59,26.71,186.54,69.15,29.04
Dividend Amount,5.55,4.65,8.7,3.06,8.16,5.1,5.57,15.28,8.22,9.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,368.93,333.65,501.72,557.72,474.55,575.73,621.54,539.67,586.82,669.41
Expenses,308.15,286.9,440.63,496.69,468.84,528.15,582.68,509.17,526.6,582.35
Other Income,2.57,1.92,4.17,12.44,14.93,14.29,181.04,3.91,17.53,3.73
Depreciation,19.93,21.88,31.51,36.58,37.93,39.71,41.55,49.59,51.26,56.21
Interest,11.42,18.36,47.13,48.08,50.27,51.38,51.91,43.67,46.81,48.86
Profit before tax,32,8.43,-13.38,-11.19,-67.56,-29.22,126.44,-58.85,-20.32,-14.28
Tax,11.24,-1.35,5.77,1.91,-24.03,-5.54,28.46,-16.89,-9.79,-4.1
Net profit,21.07,10.49,-11.51,-7.22,-36.59,-18.51,100.53,-39.5,-8.4,-7.75
Operating Profit,60.78,46.75,61.09,61.03,5.71,47.58,38.86,30.5,60.22,87.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2009-03-31 00:00:00,2010-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,15,15,17.39,20.4,20.4,20.4,22.28,23.5,23.5,26.14
Reserves,183.9,197.78,531.68,742.56,758.8,766.85,922.02,1167.35,1231.93,1611.35
Borrowings,251,229.62,434.27,486.58,478.33,509.04,490.79,808.83,1510.17,1477.59
Other Liabilities,95.53,122.8,263.64,259.03,281.19,431.98,482.47,546.53,583.33,618.2
Total,545.43,565.2,1246.98,1508.57,1538.72,1728.27,1917.56,2546.21,3348.93,3733.28
Net Block,382.2,378.2,957.21,1000.55,1052.55,1244.15,1383.95,1301.46,2048.08,2793.4
Capital Work in Progress,18.27,10.31,15.19,55.34,125.38,110.05,107.99,517.48,100.5,99.18
Investments,15.03,38.11,0.27,0.28,,,,,314.68,
Other Assets,129.93,138.58,274.31,452.4,360.79,374.07,425.62,727.27,885.67,840.7
Total,545.43,565.2,1246.98,1508.57,1538.72,1728.27,1917.56,2546.21,3348.93,3733.28
Receivables,24.93,41.85,80.94,80.83,92.58,115.61,136.78,100.71,120.31,133.21
Inventory,42.95,49.31,90.52,110.35,94.91,145.01,115.8,124.28,208.57,278.76
Cash & Bank,11.47,3.1,6.47,170.47,58.1,29.5,12.75,254.19,162.69,210.48
No. of Equity Shares,15002300,15002300,17388014,20400000,20400000,20400000,22275000,23500000,117500000,130707548
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2009-03-31 00:00:00,2010-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,54.3,126.1,128.88,100.99,149.93,133,202.05,376.52,86.98,175.16
Cash from Investing Activity,-120.05,-39.79,-107.34,-150.63,-194,-186.82,-226.98,-475.94,-783.92,223.25
Cash from Financing Activity,70.13,-94.68,-235.25,208.45,-76.71,30.73,9.92,321.66,614.86,-366.56
Net Cash Flow,4.38,-8.37,-213.71,158.81,-120.78,-23.09,-15.01,222.24,-82.08,31.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,28.76,35.27,79.3,159.09,184.6,129.43,60.89,143.01,246.35,189.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
