COMPANY NAME,SAI SILKS (KALAMANDIR) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,183.55,,,,,,,,,
Market Capitalization,2821.94,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,691.79,1043.89,1175.56,677.25,1129.32,1351.47
Raw Material Cost,,,,,557.72,849.49,873.46,445.16,847.21,1035.61
Change in Inventory,,,,,51.16,115.18,27.4,-1.68,109.34,212.98
Power and Fuel,,,,,6.65,11.46,,,14.45,19.85
Other Mfr. Exp,,,,,16.07,32.54,39.95,36.41,29.93,27.4
Employee Cost,,,,,31.9,46.81,106.86,86.58,102.77,141.03
Selling and admin,,,,,75.83,134.33,64.53,36.3,99.67,119.93
Other Expenses,,,,,1.37,1.91,14.45,8.77,6.42,1.28
Other Income,,,,,0.48,1.06,3.06,1.85,3.69,7.45
Depreciation,,,,,9.05,14.22,26.03,29.46,30.82,41.01
Interest,,,,,18.12,20.41,27.36,27.44,33.8,52.22
Profit before tax,,,,,26.72,48.96,53.38,7.3,77.28,133.57
Tax,,,,,11.42,18.63,11.28,2.18,19.6,35.98
Net profit,,,,,15.31,30.33,42.1,5.13,57.69,97.59
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,340.18,308.74,378.62,323.93,304.62,326.84,382.45
Expenses,,,,284.27,267.81,313.73,273.14,259.99,271.84,324.25
Other Income,,,,1.23,1.52,1.74,2.97,3,2.18,10.07
Depreciation,,,,9.71,9.73,10.44,11.13,11.45,11.88,12.25
Interest,,,,9.23,9.36,13.37,13.44,13.7,13.69,14.03
Profit before tax,,,,38.2,23.36,42.82,29.19,22.48,31.61,41.99
Tax,,,,9.63,5.91,11.49,8.96,5.68,8.25,10
Net profit,,,,28.56,17.45,31.33,20.24,16.79,23.36,31.99
Operating Profit,,,,55.91,40.93,64.89,50.79,44.63,55,58.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,23.4,23.45,23.46,24.07,24.07,24.07
Reserves,,,,,135.16,165.94,208.05,218.93,276.6,373.27
Borrowings,,,,,111.88,171.5,232.74,279.29,347.13,525.92
Other Liabilities,,,,,121.46,205.4,228.51,143.14,194.69,297.18
Total,,,,,391.9,566.29,692.76,665.43,842.49,1220.44
Net Block,,,,,112.86,152.13,251.2,225.16,249.19,379.46
Capital Work in Progress,,,,,0.01,,,2.12,,
Investments,,,,,,,,,,
Other Assets,,,,,279.03,414.16,441.56,438.15,593.3,840.98
Total,,,,,391.9,566.29,692.76,665.43,842.49,1220.44
Receivables,,,,,4.12,5.93,1.68,2.26,1.89,2.88
Inventory,,,,,225.92,341.11,371.51,366.97,476.43,689.75
Cash & Bank,,,,,2.21,21.44,22.83,22.89,47.02,49.7
No. of Equity Shares,,,,,23404588,23454588,23454588,24064588,24064588,120322940
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,59.12,29.77,85.26,-15.2,45.6,41.23
Cash from Investing Activity,,,,,-49.47,-47.35,-47.41,-17.98,-42.01,-60.14
Cash from Financing Activity,,,,,-9.61,36.8,-44.76,19.43,0.7,14.9
Net Cash Flow,,,,,0.05,19.22,-6.91,-13.76,4.29,-4.01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,2.34,2.35,2.35,2.41,2.41,12.63
