COMPANY NAME,SAMHI HOTELS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,189.9,,,,,,,,,
Market Capitalization,4176.84,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,605.63,169.58,322.74,738.57
Raw Material Cost,,,,,,,53.48,18.55,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,52.71,31.31,41.49,57.23
Other Mfr. Exp,,,,,,,70.39,30.82,86.53,141.73
Employee Cost,,,,,,,130.69,98.48,90.55,123.04
Selling and admin,,,,,,,141.99,52.02,90.09,169.72
Other Expenses,,,,,,,6.34,7.68,2.65,9.1
Other Income,,,,,,,-117.5,8.4,-8.04,42.03
Depreciation,,,,,,,126.17,111.79,100.6,96.28
Interest,,,,,,,207.97,308.61,346.01,522.06
Profit before tax,,,,,,,-301.61,-481.28,-443.22,-338.56
Tax,,,,,,,-1.75,-3.78,0.03,0.03
Net profit,,,,,,,-299.86,-477.5,-443.25,-338.59
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,168.6,174.46,190.74,204.78,190.44,219.96,267.83
Expenses,,,,115.93,121.45,128.6,134.86,145.1,169.19,182.88
Other Income,,,,6.99,15.25,5.12,14.67,1.92,3.28,-71.41
Depreciation,,,,23.99,24.11,24.85,23.33,23.01,27.89,31.24
Interest,,,,136.55,127.87,122.71,134.93,107.74,114.61,65.11
Profit before tax,,,,-100.88,-83.72,-80.3,-73.67,-83.49,-88.45,-82.81
Tax,,,,0.01,0.01,0.01,0.01,0.01,-0.44,-8.38
Net profit,,,,-100.88,-83.73,-80.3,-73.68,-83.49,-88,-74.42
Operating Profit,,,,52.67,53.01,62.14,69.92,45.34,50.77,84.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,7.63,7.63,7.63,8.53
Reserves,,,,,,,274.68,-218.89,-646.47,-816.18
Borrowings,,,,,,,2155.88,2401.07,2646.13,2744.04
Other Liabilities,,,,,,,169.37,298.2,379.29,326.62
Total,,,,,,,2607.56,2488.01,2386.58,2263.01
Net Block,,,,,,,2284.77,2192.54,2042.19,1915.63
Capital Work in Progress,,,,,,,18.95,17.74,19.74,20.21
Investments,,,,,,,,,,
Other Assets,,,,,,,303.84,277.73,324.65,327.17
Total,,,,,,,2607.56,2488.01,2386.58,2263.01
Receivables,,,,,,,33.68,14.29,24.78,51.27
Inventory,,,,,,,4.62,2.87,2.52,3.28
Cash & Bank,,,,,,,85.28,155.06,160.68,131.43
No. of Equity Shares,,,,,,,76270704,76270704,76270704,85334550
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,162.27,16.92,26.31,217.45
Cash from Investing Activity,,,,,,,-8.64,43.51,-2.54,68.39
Cash from Financing Activity,,,,,,,-123.56,9.98,-17.44,-318.69
Net Cash Flow,,,,,,,30.07,70.41,6.33,-32.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,7.63,7.63,7.63,8.53
