COMPANY NAME,SAMVARDHANA MOTHERSON INTERNATIONAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,125.5,,,,,,,,,
Market Capitalization,85110.2,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,30414.4,34660.7,37216.3,42375.5,56302.8,63522.9,60728.9,57369.9,63774,78700.7
Raw Material Cost,19665,22404.4,22391.5,25757.5,34539.6,36903.4,34995,32779.1,36987.7,45640.9
Change in Inventory,303.6,772.9,-17.8,6.8,227.5,165.1,26.2,181.2,251.4,323.5
Power and Fuel,594.5,615.2,622.8,650.4,780.4,976.3,990.5,919.7,1285.7,2101.8
Other Mfr. Exp,708.1,757.4,862.2,949,1440,1759.2,1469,1405.3,1940.3,2440.5
Employee Cost,5106.4,6365.2,7157.3,8090.9,11067.8,14169.4,14372.6,14099.6,15374.6,17931.4
Selling and admin,1292.5,1481.8,1565,1830.7,2301.9,2760,2388.1,2173.1,2783.8,3487.2
Other Expenses,954.4,965.7,1051.5,932.6,1272.1,1771.3,1885.9,1804.3,939.1,1258.4
Other Income,310.6,211.6,176.9,345.5,124.6,333.3,642.4,567.5,575,157.5
Depreciation,817.2,920.6,1087.2,1059.1,1575.2,2058.2,2721,2926,2958.2,3135.8
Interest,294.3,317.8,345,374.9,410.8,423.2,592.8,511.5,542.6,780.9
Profit before tax,1596.2,1817.1,2292.9,3082.7,3267.1,3200.3,1982.6,1500,1788.4,2404.8
Tax,499.4,525.6,519.2,910.3,1007.2,1102.2,688.1,-69.4,606.9,735.2
Net profit,765,862.5,1292.3,1554.3,1597,1613.1,1170.1,1039.2,873.8,1495.6
Dividend Amount,220.5,264.6,330.75,280.8,473.62,473.7,473.7,473.7,293.67,440.44
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,14076.39,16117.51,17241.4,17614.71,18302.24,20267.24,22476.85,22462.18,23473.79,25697.56
Expenses,13132.64,15050.45,15985.21,16537.89,16864.43,18664.97,20480.75,20537.56,21584.95,23327.96
Other Income,237.08,274.55,37.11,99.25,-45.8,80.08,74.99,76,-10.19,117.94
Depreciation,737.33,733.43,736.18,732.38,748.72,815.04,839.7,838.9,867.39,1016.38
Interest,131.32,129.36,161.15,169.39,183.71,149.4,278.44,252.63,487.94,620.26
Profit before tax,312.18,478.82,395.97,274.3,459.58,717.91,952.95,909.09,523.32,850.9
Tax,85.63,100.98,265.93,92.75,171.38,217.18,253.85,260.97,229.17,217.6
Net profit,216.86,245.08,121.62,141.22,246.43,453.93,653.96,600.87,201.55,541.96
Operating Profit,943.75,1067.06,1256.19,1076.82,1437.81,1602.27,1996.1,1924.62,1888.84,2369.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,88.2,88.2,132.3,140.4,210.5,315.8,315.8,315.8,451.8,677.6
Reserves,2871.1,3235.6,4264.8,8132.3,9673.6,10646.9,10945.1,12244.8,20136.5,21773.9
Borrowings,4839.7,5130.6,6068.7,10349.3,10373.6,11534.2,13136.4,11929.6,14129.7,13792.3
Other Liabilities,7444.9,8970.7,9198.8,13321.7,16716.4,20257.1,20635.8,23258.5,21007.6,25086.2
Total,15243.9,17425.1,19664.6,31943.7,36974.1,42754,45033.1,47748.7,55725.6,61330
Net Block,5918.9,6128.9,7146.9,12192.6,14712.3,18422.7,20750.1,20099.1,21411.2,23146.9
Capital Work in Progress,647.1,955.8,1397,1934.8,2584.9,1066.8,851.8,876.9,1309.7,1477.9
Investments,74.9,64.9,589.7,473.7,791.6,855.4,796.1,846.5,6461.7,6289.9
Other Assets,8603,10275.5,10531,17342.6,18885.3,22409.1,22635.1,25926.2,26543,30415.3
Total,15243.9,17425.1,19664.6,31943.7,36974.1,42754,45033.1,47748.7,55725.6,61330
Receivables,3238.4,3014.4,4653.7,4655.2,5623.6,6166.3,5178.4,5693.1,6573.1,8513.5
Inventory,3282.2,3750,2285,3071.6,4013.2,4663.4,5156.6,4995.6,6441.7,7822.8
Cash & Bank,906.1,1891.9,1771.7,4886.6,2781.5,3546.9,4878.9,5906.2,4999.4,4698.7
No. of Equity Shares,881919360,881919360,1322879040,1403526327,2105289491,3157934237,3157934237,3157934237,4517614244,6776421367
New Bonus Shares,,,440959680,,701763164,1052644746,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,2695,3389.7,2188.4,3799.7,3264,4312.4,6352,5051.3,2462.7,4643
Cash from Investing Activity,-1372.3,-2844.4,-1906.1,-6145.3,-3194.1,-3318.5,-2220.2,-1886,-2304.4,-2248.4
