COMPANY NAME,SANGHI INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,86.95,,,,,,,,,
Market Capitalization,2251.43,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,932.25,840.02,997.53,1026.37,1060.98,887.55,939.23,1129.42,928.36,821.35
Raw Material Cost,54.1,52.4,71.03,73.44,89.09,95.87,81.3,90.83,73.73,71.43
Change in Inventory,16.31,-16.95,-7.84,7.09,-8.16,24.13,-4.13,17.52,52.35,-92.44
Power and Fuel,246.56,160.45,231.04,242.84,298.63,216.26,227.67,408.54,470.21,377.54
Other Mfr. Exp,77.54,145.23,71.97,76.89,70.57,65.71,52.41,72.3,90.27,
Employee Cost,46.46,38.24,52.53,53.93,41.68,48.27,47.85,66.44,63.83,64.9
Selling and admin,361.92,270.8,363.03,367.15,390.26,286.94,280.44,315.35,294.11,134.12
Other Expenses,4.59,4.77,1.9,3.4,8.58,5.7,1.78,1.7,2.16,168.96
Other Income,7.1,-58.64,2.24,22.01,27.26,12.46,5.81,11.1,19.45,30.07
Depreciation,106.43,53.98,73.06,72.38,71.34,62.08,63.7,64.17,93.38,107.03
Interest,27.47,22.18,64.23,72.12,57.33,77.96,73.18,81.96,238.17,283.59
Profit before tax,30.59,16.38,63.14,93.32,52.6,65.35,112.58,56.75,-325.7,-448.59
Tax,,0.4,,,,,34.39,16.13,,0.2
Net profit,30.59,15.98,63.14,93.32,52.6,65.35,78.19,40.62,-325.7,-448.79
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,281.01,355.15,339.14,229.86,133.69,225.67,166.69,180.68,189.11,284.87
Expenses,238.9,311.49,320.29,231.82,151.54,238.31,262.93,208.53,211.89,226.05
Other Income,4.37,2.04,5.71,11.7,0.7,1.34,3.51,94.69,-57.87,-10.26
Depreciation,16.22,16.6,23.97,22.89,23.4,23.12,23.58,27.23,30.81,25.42
Interest,20.19,20.21,44.52,46.08,77.43,70.14,73.12,78.42,89.89,42.16
Profit before tax,10.07,8.89,-43.93,-59.23,-117.98,-104.56,-189.43,-38.81,-201.35,-19.02
Tax,2.53,2.57,-11.06,-14.91,25.97,,,,0.2,
Net profit,7.54,6.32,-32.87,-44.32,-143.95,-104.56,-189.43,-38.81,-201.55,-19.02
Operating Profit,42.11,43.66,18.85,-1.96,-17.85,-12.64,-96.24,-27.85,-22.78,58.82
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,219.98,219.98,219.98,251,251,251,251,251,258.33,258.33
Reserves,690.88,831.03,894,1346.88,1399.36,1464.36,1542.74,1583.23,1300.8,852.46
Borrowings,492.47,603.08,599.41,740.29,771.07,1255.89,1415.07,1396.72,1548.27,2083.62
Other Liabilities,356.7,366.31,352.23,316.15,394.43,433.01,395.29,588.65,602.31,433.89
Total,1760.03,2020.4,2065.62,2654.32,2815.86,3404.26,3604.1,3819.6,3709.71,3628.3
Net Block,1238.04,1478.33,1451.87,1508.72,1605.06,1706.2,1652.08,3163.07,3117.3,3184.93
Capital Work in Progress,56.34,82.35,167.13,293.58,436.82,1004.13,1337.84,42.21,42.21,4.03
Investments,,,,,,,,,,
Other Assets,465.65,459.72,446.62,852.02,773.98,693.93,614.18,614.32,550.2,439.34
Total,1760.03,2020.4,2065.62,2654.32,2815.86,3404.26,3604.1,3819.6,3709.71,3628.3
Receivables,14.54,18.44,23.94,32.08,44.18,39.38,48.95,92.67,51.72,
Inventory,167.13,138.45,186.58,147.49,237.29,356.58,351.08,323.79,296.33,138.21
Cash & Bank,5.53,83.03,16.27,428.05,166.65,53.92,33.04,45.73,56.42,192.27
No. of Equity Shares,219979000,219979000,219979000,251000000,251000000,251000000,251000000,251000000,258326000,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,196.93,142.42,76.01,221.78,122.28,71.33,301.56,402.1,-25.15,-243.33
Cash from Investing Activity,-44.5,-123.52,-7.87,-684.41,-111.88,-470.97,-341.5,-298.4,29.17,234.18
Cash from Financing Activity,-152.31,-18.96,-68.22,462.87,-10.36,401.47,38.81,-104.71,-3.24,181.52
Net Cash Flow,0.12,-0.06,-0.08,0.24,0.04,1.83,-1.13,-1.01,0.78,172.37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,52.9,60.5,69,118.15,62.25,18.85,42.5,43.85,65.75,90.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,22,22,22,25.1,25.1,25.1,25.1,25.1,25.83,25.83
