COMPANY NAME,SANGHVI MOVERS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1263,,,,,,,,,
Market Capitalization,5466.95,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,244.37,308.23,530.82,553.14,228.4,282.4,322.87,223.74,335.26,455.78
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,11.92,15.54,18.21,19.85,14.9,21.17,17.85,9.99,16.62,17.25
Other Mfr. Exp,50.62,66.38,105.66,110.27,68.73,92.37,93.58,77.27,109.29,115.32
Employee Cost,13.68,16.46,22.02,22.09,15.66,19.57,20.26,20.14,24.86,32.47
Selling and admin,12.92,12.39,16.81,18.04,14.67,18.03,17.56,16.04,19.17,20.95
Other Expenses,18.76,18.96,13.39,16.42,30.87,41.97,16.9,13.14,27.39,12.95
Other Income,5.36,7.39,-1.23,9.75,20.05,12.86,3.33,29.29,36.99,29.77
Depreciation,118.59,120.02,126.32,149.98,136.73,140.82,140.38,122.1,118.11,121.07
Interest,46.21,42.67,55.4,64.74,54.75,47.59,41.03,26.3,17.31,16.65
Profit before tax,-22.97,23.2,171.78,161.5,-87.86,-86.26,-21.36,-31.95,39.5,148.89
Tax,-8.46,15.15,64.83,52.32,-30.39,-28.19,-14.76,-9.53,10.07,36.85
Net profit,-14.5,8.06,106.96,109.18,-57.48,-58.06,-6.6,-22.42,29.43,112.04
Dividend Amount,,2.16,12.99,17.32,,,,,4.33,17.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,70.54,79.34,109.32,97.24,109.24,122.48,126.83,146.07,139.98,167.04
Expenses,34.76,43.65,73.61,49.28,52.15,47.24,50.25,58,53.89,52.26
Other Income,6.46,7.87,22.08,3.67,14.91,6.49,4.7,6.03,4.75,5.96
Depreciation,29.77,29.05,28.84,28.83,30.51,31.05,30.68,32.56,34.23,31.87
Interest,4.32,4.62,4.14,3.43,3.92,4.24,5.05,5.47,6.65,6.86
Profit before tax,8.15,9.89,24.81,19.37,37.57,46.44,45.55,56.07,49.96,82.01
Tax,3.62,1.08,6.21,4.87,8.68,11.68,11.62,14.33,12.76,20.74
Net profit,4.53,8.81,18.6,14.49,28.9,34.75,33.93,41.74,37.2,61.28
Operating Profit,35.78,35.69,35.71,47.96,57.09,75.24,76.58,88.07,86.09,114.78
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,8.66,8.66,8.66,8.66,8.66,8.66,8.66,8.66,8.66,8.66
Reserves,640.26,645.71,746.77,852.7,780.3,724.53,717.77,700.34,725.29,833.05
Borrowings,464.89,333.96,602.03,538.21,539.44,444.58,311.99,196.87,166.65,182.77
Other Liabilities,102.86,112.07,138.82,143.57,117.02,65.97,53.94,51.75,63.61,96.22
Total,1216.67,1100.4,1496.28,1543.14,1445.42,1243.74,1092.36,957.62,964.21,1120.7
Net Block,1004.83,891.29,1251.06,1290.78,1253.56,1107.91,961.41,832.53,769.28,858.5
Capital Work in Progress,0.25,17.5,4.54,0.49,3.86,,,,,6.95
Investments,,7,8.04,15.01,,,,12.25,30.31,35.64
Other Assets,211.59,184.61,232.64,236.86,188,135.83,130.95,112.84,164.62,219.61
Total,1216.67,1100.4,1496.28,1543.14,1445.42,1243.74,1092.36,957.62,964.21,1120.7
Receivables,148.83,123.53,155.07,165.82,134.52,73.28,62.21,56.58,79.27,98.89
Inventory,10.22,10.22,10.59,13.83,12.39,11.77,10.63,7.06,4.82,4.5
Cash & Bank,18.59,28.1,4.05,2.63,2.84,4.49,3.36,1.57,9.71,21.16
No. of Equity Shares,43288000,43288000,43288000,43288000,43288000,43288000,43288000,43288000,43288000,43288000
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,207.63,208.23,257.91,311.25,126.45,127.85,163.18,118.9,129.91,257.35
Cash from Investing Activity,-17.81,-34.31,-486.92,-188.79,-44.39,19.07,9.36,20.62,-75.78,-237.03
Cash from Financing Activity,-204.06,-150.58,204.6,-123.49,-81.93,-145.15,-173.68,-141.31,-48.31,-15.19
Net Cash Flow,-14.24,23.33,-24.41,-1.04,0.12,1.77,-1.14,-1.79,5.81,5.13
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,68.95,273,285,243.75,173.45,111.15,46.15,100.45,183.8,352.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33
