COMPANY NAME,SANSERA ENGINEERING LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,989.7,,,,,,,,,
Market Capitalization,5329.54,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,835.97,1039.26,1171.78,1373.57,1261.56,1351.34,1745,2090.1
Raw Material Cost,,,349.03,412.52,478.54,607.69,541.74,587.71,776.54,974.79
Change in Inventory,,,,,20.13,18.83,3.06,5.39,20.61,66.11
Power and Fuel,,,30.92,47.77,61.49,66.87,63.4,56,77.76,87.95
Other Mfr. Exp,,,82.66,102.14,111.02,194.24,132.42,253.61,318.94,401.11
Employee Cost,,,136.08,174.04,193.31,167.31,170.04,169.24,225.63,268.06
Selling and admin,,,24.44,35.21,35.31,38.36,31.9,37.98,56.14,63.07
Other Expenses,,,70.77,104.01,76.64,49.39,120.37,4.87,6.74,10.36
Other Income,,,12.29,6.32,13.38,17.28,18.27,16.85,17.09,18.73
Depreciation,,,31.46,44.45,53.87,61.84,81.35,88.35,103.46,113.63
Interest,,,28.86,29.83,39.62,45.69,51.21,43.32,45.98,53.34
Profit before tax,,,94.04,95.61,155.49,178.29,90.46,132.5,171.51,202.63
Tax,,,22.27,31.91,52.6,66.11,8.29,34.63,43.35,52.43
Net profit,,,71.76,63.7,102.89,112.18,82.17,97.88,128.16,150.2
Dividend Amount,,,,,,,,,10.43,13.24
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,479.68,419.61,510.7,476.23,576.63,494.25,549.83,588.15,630.48,643.68
Expenses,380.08,355.76,423.17,391.63,479.73,411.86,458.44,484.6,521.88,528.63
Other Income,2.27,1.73,8.02,0.82,2.87,4.25,3.95,0.49,0.74,1.29
Depreciation,24.84,26.78,27.82,26.6,27.82,28.48,30.73,30.09,32.16,32.82
Interest,9.6,11.57,12.99,11.03,11.91,13.45,14.52,14.76,16.07,15.61
Profit before tax,67.43,27.23,54.74,47.79,60.04,44.71,50.09,59.19,61.11,67.91
Tax,16.74,7.09,13.96,12.19,15.17,12.28,12.81,15.24,15.45,17.74
Net profit,50.68,20.13,40.78,35.6,44.88,32.44,37.29,43.96,45.66,50.17
Operating Profit,99.6,63.85,87.53,84.6,96.9,82.39,91.39,103.55,108.6,115.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,0.65,0.65,0.65,9.39,9.39,9.39,10.43,10.59
Reserves,,,430.83,485.4,588.77,692.49,771.43,878.05,1023.24,1171.74
Borrowings,,,289.93,362.14,497.88,546.64,596.8,503.03,602.64,654.51
Other Liabilities,,,129.66,194.59,236.87,340.02,317.3,339.33,376.12,406.36
Total,,,851.07,1042.78,1324.17,1588.54,1694.92,1729.8,2012.43,2243.2
Net Block,,,367.17,549.78,608.02,827.07,897.78,954.06,1060.32,1209.88
Capital Work in Progress,,,31.79,32.15,91.06,48.27,67.3,54.47,108.06,65.08
Investments,,,21.39,20.65,81.8,108.81,116.07,100.03,98.6,98.68
Other Assets,,,430.72,440.2,543.29,604.39,613.77,621.24,745.45,869.56
Total,,,851.07,1042.78,1324.17,1588.54,1694.92,1729.8,2012.43,2243.2
Receivables,,,155.85,197.31,240.56,248.85,244.93,291.35,387.17,407.38
Inventory,,,103.34,127.59,164.13,202.86,197.58,202.27,234.63,325.83
Cash & Bank,,,42.44,17.63,38.42,29.7,69.36,39.8,38.58,46.96
No. of Equity Shares,,,64740,64700,64740,46936500,46936500,46936500,52155815,52929540
New Bonus Shares,,,,,,,,,,
Face value,,,100,100,100,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,,220.35,186.1,230.8
Cash from Investing Activity,,,,,,,,-114.35,-215.85,-220.42
Cash from Financing Activity,,,,,,,,-153.14,45.42,-2.61
Net Cash Flow,,,,,,,,-47.14,15.66,7.77
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,672,747.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,0.01,0.01,0.01,4.69,4.69,4.69,5.22,5.29
