COMPANY NAME,SARDA ENERGY & MINERALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,257.7,,,,,,,,,
Market Capitalization,9057.64,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1591.37,1759.88,1479.9,1434.22,2173.7,2323.89,2000.15,2198.81,3914.02,4211.9
Raw Material Cost,882.5,1001.93,811.19,974.38,1471.73,1531.55,1286.14,1347.48,2152.15,2501.34
Change in Inventory,34.45,119.21,-152.01,32.13,-6.07,38.38,-6.51,0.39,66.14,6.04
Power and Fuel,14.65,16.4,10.62,9.67,11.96,8.15,8.54,8.17,26.55,76.73
Other Mfr. Exp,241.57,303.67,145.33,125.45,115.22,152.57,151.86,153.34,197.77,245.9
Employee Cost,63.54,72.12,70.21,75.4,77.12,87.35,87.79,88.67,112.9,127.1
Selling and admin,84.73,97.15,61.64,51.8,80.87,90.06,86.44,96.18,151.34,211.83
Other Expenses,10.1,10.47,44.35,12.61,9.11,10.32,16.65,-14.2,-15.89,-5.17
Other Income,43.76,-76.73,41.43,95.55,62.53,16.85,-16.93,129.94,42.96,49.39
Depreciation,95.55,92.98,74.98,68.65,73.18,76.47,77.92,75.05,143.16,178.35
Interest,122.52,120.36,111.61,93.77,96.68,98.96,82.48,79.1,147.12,124.41
Profit before tax,154.42,87.28,39.39,150.17,294.29,323.69,178.89,495.35,1108.02,806.84
Tax,62.32,30.97,26.64,23.2,89.52,116.5,43.35,114.97,299.79,201.8
Net profit,91.03,54.91,12.58,131.88,202.49,203.18,126.34,374.89,804.16,602.11
Dividend Amount,10.76,10.78,17.99,14.41,18.02,18.02,18.02,27.04,27.04,52.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1025.13,998.58,1058.12,1261.05,966.54,908.04,1076.27,1052.12,1001.36,925.39
Expenses,614.05,677.62,706.6,891.51,685.45,712.53,862.22,837.22,758.95,737.2
Other Income,30.9,-15.88,30.11,-38.92,21.23,43.5,28.58,83.08,23.58,35.43
Depreciation,38.68,38.82,46.48,43.59,44.47,45,45.29,44.9,45.72,46.41
Interest,42.99,44.57,44.63,31.81,32.06,32.94,32.6,34.99,34.71,34.13
Profit before tax,360.31,221.69,290.52,255.22,225.79,161.07,164.74,218.09,185.56,143.08
Tax,95.82,52.55,85.83,80.74,41.48,30.35,49.23,43.6,34.94,35.81
Net profit,255.59,167.06,213.41,169.8,180.71,130.36,121.24,170.83,140.65,117.16
Operating Profit,411.08,320.96,351.52,369.54,281.09,195.51,214.05,214.9,242.41,188.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,35.85,35.95,35.98,36.03,36.05,36.05,36.05,36.05,36.05,35.24
Reserves,1112.3,1173.65,1187.45,1321.56,1540.42,1707.38,1833.65,2182.09,2967.67,3374.84
Borrowings,1736.55,1482.11,1221.33,1362.84,1385.52,1395.32,1694.44,1713.55,1580.57,1406.97
Other Liabilities,362.78,352.2,382.27,394.69,450.62,543.28,537.84,586.63,713.52,664.33
Total,3247.48,3043.91,2827.03,3115.12,3412.61,3682.03,4101.98,4518.32,5297.81,5481.38
Net Block,1382.9,1332.61,1225.5,1183.4,1358.5,1348.96,1323.01,1286.72,2853.19,2907.27
Capital Work in Progress,375.43,441.41,593.98,799.02,783.46,1063.27,1373.76,1616.31,132.54,130.8
Investments,571.67,278.96,204.62,225.95,240.71,212.93,190.86,266.15,500.17,422.28
Other Assets,917.48,990.93,802.93,906.75,1029.94,1056.87,1214.35,1349.14,1811.91,2021.03
Total,3247.48,3043.91,2827.03,3115.12,3412.61,3682.03,4101.98,4518.32,5297.81,5481.38
Receivables,64.85,97.3,124.83,106.48,131.24,92.56,123.89,138.24,168.75,182.02
Inventory,284.46,427.97,221.86,342.62,411.26,439.5,500.76,578.96,612.97,727.12
Cash & Bank,102.77,11.34,11.87,10.56,68.25,44.99,164.64,96.57,281.54,372.06
No. of Equity Shares,35850000,35952353,35978319,36030398,36049235,36049235,36049235,36049235,36049235,35238127
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,240.91,-36.46,469.46,177.12,300.5,480.08,336.14,187.86,917.23,701.44
Cash from Investing Activity,-384.7,329.98,-147.81,-241.05,-156.41,-398.55,-414.59,-186.25,-466.11,-431.14
Cash from Financing Activity,176.1,-384.99,-382.97,62.87,-86.45,-105.68,198.88,-69.68,-330.81,-478.6
Net Cash Flow,32.31,-91.47,-61.32,-1.05,57.64,-24.15,120.43,-68.07,120.31,-208.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
