COMPANY NAME,SIGNATUREGLOBAL INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,1238.4,,,,,,,,,
Market Capitalization,17375.7,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,241.55,82.06,901.3,1553.57
Raw Material Cost,,,,,,,1.82,0.44,0.23,0.87
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,0.16,0.31,0.92,0.39
Other Mfr. Exp,,,,,,,188.33,69.12,826.28,1265.59
Employee Cost,,,,,,,38.93,52.57,78.72,106.49
Selling and admin,,,,,,,38.85,44.41,68.63,123.95
Other Expenses,,,,,,,10.01,-3.37,10.95,50.01
Other Income,,,,,,,21.93,67.17,38.3,32.31
Depreciation,,,,,,,4.56,11.81,20.73,22.18
Interest,,,,,,,54.87,71.4,69.56,73.15
Profit before tax,,,,,,,-74.05,-97.46,-136.42,-56.75
Tax,,,,,,,-17.48,-11.19,-20.92,6.96
Net profit,,,,,,,-57.69,-86.02,-116.41,-63.86
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,542.09,123.68,183.16,704.64,165.86,98.53,281.81
Expenses,,,,496.27,194.48,195.7,671.55,176.2,129.03,288.85
Other Income,,,,16.93,12,8.63,5.23,13.04,22.64,19.95
Depreciation,,,,5.22,5.5,6.01,5.46,4.85,5.15,5.52
Interest,,,,20.7,23.34,17.94,10.94,6.34,10.68,5.34
Profit before tax,,,,36.83,-87.64,-27.86,21.92,-8.49,-23.69,2.05
Tax,,,,4.04,-28.39,17.03,14.27,-1.3,-3.75,-0.13
Net profit,,,,32.76,-59.27,-44.96,7.61,-7.22,-19.94,2.13
Operating Profit,,,,45.82,-70.8,-12.54,33.09,-10.34,-30.5,-7.04
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,5.69,5.69,11.38,12.49
Reserves,,,,,,,-98.75,-212.56,-363.59,35.05
Borrowings,,,,,,,980.7,1186.4,1169.57,1724.26
Other Liabilities,,,,,,,2043.23,2783.71,3631.95,4249.75
Total,,,,,,,2930.87,3763.24,4449.31,6021.55
Net Block,,,,,,,69.43,103.84,168.65,135.65
Capital Work in Progress,,,,,,,1.55,,,0.38
Investments,,,,,,,109.16,56.89,5.16,0.12
Other Assets,,,,,,,2750.73,3602.51,4275.5,5885.4
Total,,,,,,,2930.87,3763.24,4449.31,6021.55
Receivables,,,,,,,30.41,14.8,4.18,28.3
Inventory,,,,,,,2077.18,2771.03,3410.52,4428.2
Cash & Bank,,,,,,,143.24,291.85,291.1,671.98
No. of Equity Shares,,,,,,,5687940,5687940,113758800,124848354
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10,10,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,,36.44,205.24,-278.18
Cash from Investing Activity,,,,,,,,-26.24,53.78,7.63
Cash from Financing Activity,,,,,,,,96.53,-268.53,673.41
Net Cash Flow,,,,,,,,106.73,-9.51,402.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,0.57,0.57,11.38,12.48
