COMPANY NAME,SOBHA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1757.3,,,,,,,,,
Market Capitalization,16684.22,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2173.44,2440.56,1943.2,2229.05,2783.03,3442.07,3753.85,2109.78,2561.26,3310.11
Raw Material Cost,172.53,188.18,160.55,198.04,254.02,275.57,300.15,186.2,198.22,365.98
Change in Inventory,536.56,299.97,630.93,744.03,-79.63,294.38,341.25,416.94,153.34,1101.33
Power and Fuel,37.69,42.39,39.49,47.67,61.03,67.73,65.54,45.05,56.32,69.2
Other Mfr. Exp,1468.9,1469.17,1496.23,1871.81,1367.63,2105.29,2059.36,1187.57,1394.08,2867.49
Employee Cost,186.99,198.47,177.02,178.75,199.06,236.52,247.11,177.86,251.87,295.35
Selling and admin,191.14,192.18,204.03,208.06,241.25,322.74,223.15,191.49,233.78,312.13
Other Expenses,50.17,32.84,52.93,49,60.69,55.32,84.56,63.41,47.52,131.78
Other Income,10.33,14.92,36.36,51.52,49.58,73.48,71.81,80.62,83.97,92.32
Depreciation,68.99,72.27,59.69,63.82,54.4,62.32,72.29,79.37,71.83,67.84
Interest,173.44,188.34,163.66,149.67,197.76,236.22,681.6,601.21,308.33,249.02
Profit before tax,370.48,371.61,256.89,257.78,317.14,448.22,433.15,75.18,236.62,144.97
Tax,136.8,127.68,118.83,97.03,100.27,151.23,151.49,12.91,63.43,40.77
Net profit,235.04,238.01,138.07,160.75,216.87,296.99,281.67,62.28,173.19,104.21
Dividend Amount,68.64,68.64,19.61,24.08,66.4,66.4,66.4,33.2,28.46,28.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,779.9,622.3,710.3,564.6,670.05,868.16,1209.93,907.91,741.24,684.93
Expenses,600.9,472,632.7,491.78,575.25,779.4,1094.16,842.54,665.79,610.81
Other Income,0.5,27.7,33.4,11.71,20.54,29.82,30.21,31.33,32.4,28.82
Depreciation,17,18,17.9,14.66,17.9,17.49,17.88,18.28,19.31,20.13
Interest,78.9,78.8,68.3,61.42,63.1,65.96,61.17,61.14,63.87,61.45
Profit before tax,83.6,81.2,24.8,8.45,34.34,35.13,66.93,17.28,24.67,21.36
Tax,20.5,20.2,10.6,3.9,15.2,3.32,18.36,5.24,9.72,6.28
Net profit,63.1,61,14.2,4.55,19.15,31.81,48.58,12.05,14.95,15.08
Operating Profit,179,150.3,77.6,72.82,94.8,88.76,115.77,65.37,75.45,74.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,98.06,98.06,98.06,96.31,94.85,94.85,94.85,94.85,94.85,94.85
Reserves,2193.29,2333.69,2466.75,2548.17,2675.09,2134.26,2336.36,2332.89,2328.07,2399.83
Borrowings,1404.41,2058.8,2180.29,2221.95,2331.27,2603.89,3130.78,3051.64,2529.08,2026.83
Other Liabilities,1813.7,1666.31,3317.33,4026.61,3923.61,5906.72,5448.18,5728.85,6578.25,8054.16
Total,5509.46,6156.86,8062.43,8893.04,9024.82,10739.72,11010.17,11208.23,11530.25,12575.67
Net Block,334.58,315.07,372.93,594.58,610.29,677.74,919.47,903.43,851.75,899.41
Capital Work in Progress,41.22,52.45,45.43,0.62,,,,,,1.76
Investments,0.02,0.02,229.09,0.02,112.48,112.82,114.27,114.27,114.9,114.95
Other Assets,5133.64,5789.32,7414.98,8297.82,8302.05,9949.16,9976.43,10190.53,10563.6,11559.55
Total,5509.46,6156.86,8062.43,8893.04,9024.82,10739.72,11010.17,11208.23,11530.25,12575.67
Receivables,246.06,173.36,252.17,226.68,327.2,327.15,360.46,193.72,350.45,158.02
Inventory,2427.31,2728.39,4264.89,5095.99,4834.9,6517.34,6704.49,7124.64,7651.58,8760.98
Cash & Bank,105.47,163.14,118.54,146.83,119.39,177.15,88.39,204.15,178.31,451.4
No. of Equity Shares,98063870,98063868,98063868,96304676,94845853,94845853,94845853,94845853,94845853,94845853
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,394.81,-216.41,388.4,353.79,353.46,206.07,294.35,612.84,826.46,1150.21
Cash from Investing Activity,-126.48,-59.86,-245.06,2.14,-128.71,-61.38,-306.87,-33.19,38.21,-236.84
Cash from Financing Activity,-245.56,337.19,-132.73,-345.45,-242.79,-86.2,-84.43,-483.43,-889.34,-773.05
Net Cash Flow,22.77,60.92,10.61,10.48,-18.04,58.49,-96.95,96.23,-24.67,140.32
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,374.5,402.05,273.95,343.5,508,516.6,133.85,436.95,707.75,430.6
