COMPANY NAME,STAR CEMENT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,218.15,,,,,,,,,
Market Capitalization,8811.32,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1027.99,1430.43,1715.03,1527.8,1614.53,1831.04,1843.15,1719.93,2221.82,2704.85
Raw Material Cost,166.11,217.63,363.15,352.39,294.89,426.06,409.79,416.17,545.43,643.59
Change in Inventory,16.02,-11.92,17.64,12.09,-7.57,-10.68,7.9,12.93,-28.54,17.86
Power and Fuel,161.87,172,215.45,191.59,216.04,258.73,360.25,338.4,416.9,569.73
Other Mfr. Exp,33.5,73.25,81.28,82,77.43,99.85,90.44,93.35,136.84,157.17
Employee Cost,73.41,90.76,107.8,118.61,107.36,116.41,126.56,131.33,159.35,195.87
Selling and admin,353.85,408.88,541.21,352.6,352.46,423.55,423.06,368.49,531.84,624.53
Other Expenses,22.41,19.54,24.39,34.37,37.43,46.59,46.58,52.52,57.67,63.42
Other Income,2.62,0.8,0.77,2.44,4.39,5.47,29.44,-36.35,33.37,52.08
Depreciation,156.83,223.74,171.49,117.91,120.69,105.64,92.95,89.99,121.63,131.11
Interest,83.44,87.38,83.37,78.06,52.46,14.38,9.34,6.99,13.34,9.7
Profit before tax,-4.79,126.13,145.3,214.8,352.59,334.62,321.52,199.27,243.65,379.67
Tax,-1.34,4.8,5.95,13.9,16.41,29.64,34.22,12.14,-3.12,132.07
Net profit,-4.2,118.65,134.04,194.72,330.66,298.78,285.55,187.13,246.77,247.6
Dividend Amount,10.48,33.54,,,41.92,,41.24,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,406.57,554.89,749.24,665.21,594.21,617.2,829.97,760.47,585.26,651.4
Expenses,334.88,487.37,635.88,541.09,524.54,508.79,663.77,631.19,486.7,502.64
Other Income,8.69,7.04,9.19,14.06,13.55,11.73,12.74,8.73,5.77,4.13
Depreciation,29.45,31.54,35.14,30.43,31.54,34.07,35.07,31.81,36.02,36.51
Interest,6.76,2.39,2.36,2.58,2.64,3.3,1.18,2.24,3.25,2.96
Profit before tax,44.17,40.63,85.05,105.17,49.04,82.77,142.69,103.96,65.06,113.42
Tax,-2.36,-3.19,-3.37,37.61,17.98,29.89,46.57,10.7,24.4,39.89
Net profit,46.53,43.82,88.42,67.56,31.06,52.87,96.12,93.26,40.67,73.52
Operating Profit,71.69,67.52,113.36,124.12,69.67,108.41,166.2,129.28,98.56,148.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,41.92,41.92,41.92,41.92,41.92,41.92,41.24,41.24,40.42,40.42
Reserves,800.97,879.38,1013.42,1104.05,1434.43,1681.74,1815.88,2032.92,2128.02,2375.96
Borrowings,964.19,880.47,939.8,800.72,432.42,73.82,13.36,18.18,15.65,35.35
Other Liabilities,309.01,387.93,470.75,533.54,596.94,499.38,487.68,469.82,561.01,679.67
Total,2116.09,2189.7,2465.89,2480.23,2505.71,2296.86,2358.16,2562.16,2745.1,3131.4
Net Block,1142.62,1027.97,919.14,863.23,784.74,722.32,696.13,822.97,923.47,890.94
Capital Work in Progress,99.23,40.97,48.97,54.87,35.74,74.31,237.55,126.61,109.06,550.62
Investments,1.53,1.53,1.53,1.45,1.44,1.73,1.58,1.66,167.27,172.55
Other Assets,872.71,1119.23,1496.25,1560.68,1683.79,1498.5,1422.9,1610.92,1545.3,1517.29
Total,2116.09,2189.7,2465.89,2480.23,2505.71,2296.86,2358.16,2562.16,2745.1,3131.4
Receivables,125.01,309.8,448.8,137.78,146.47,143.76,122.22,131.73,128.75,104.69
Inventory,155.47,109.14,209.16,161.22,294.6,277.19,256.91,234.68,195.3,374.11
Cash & Bank,11.41,20.31,23.76,20.08,19.78,211.31,283.83,471.72,384.67,311.74
No. of Equity Shares,41921392,41921392,41921392,419213920,419228997,419228997,412428997,412428997,404180417,404180417
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,232.99,261.72,97.03,300.05,420.62,616.5,482.96,350.02,417.07,375.23
Cash from Investing Activity,-114.47,-40.71,-79.21,-89.4,-25.34,-192.62,-135.55,-333.04,-288.85,-271.69
Cash from Financing Activity,-132.11,-210.31,-13.99,-218.14,-392.92,-347.6,-201.27,-3.35,-175.63,10
Net Cash Flow,-13.59,10.7,3.83,-7.49,2.35,76.28,146.14,13.63,-47.41,113.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,116.1,98.45,68.15,96.75,89.6,111.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
