COMPANY NAME,STERLING & WILSON RENEWABLE ENERGY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,703.6,,,,,,,,,
Market Capitalization,16413.08,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,6871.71,8240.41,5575.29,5080.8,5198.94,2015.01,3035.37
Raw Material Cost,,,,5373.45,,,,,,1941.73
Change in Inventory,,,,-11.9,-1.27,,,,,
Power and Fuel,,,,1.12,0.89,1.9,0.79,0.38,0.58,
Other Mfr. Exp,,,,737.62,7258.09,4865.49,5005.85,5661.26,2772.91,
Employee Cost,,,,98.62,177.89,240.27,208.48,227.89,247.85,211.27
Selling and admin,,,,75.14,107.34,102.86,90.68,99.6,88.68,
Other Expenses,,,,31.94,36.97,35.84,151.79,112.79,28.59,904.94
Other Income,,,,12.75,209.09,303.49,158.23,94.7,110.86,85.42
Depreciation,,,,3.17,7.8,14.23,16.51,14.67,14.7,16.65
Interest,,,,22.82,100.07,219.69,104.97,87.21,151.3,218.52
Profit before tax,,,,528.68,759.18,398.5,-340.04,-910.16,-1178.74,-172.32
Tax,,,,78.14,120.94,94.23,-50,5.6,-3.78,38.47
Net profit,,,,452.18,638.99,310.06,-285.38,-909.46,-1169.55,-211.92
Dividend Amount,,,,,,96.24,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1494.86,1071.03,1206.93,312.69,406.96,88.43,514.96,759.52,582.88,1178.01
Expenses,1885.94,1195.27,1550.8,682.88,470.77,440.55,552.17,758.05,599.06,1148.66
Other Income,7.37,23.44,4.13,98.11,10.69,-2.07,7.39,17.21,27.43,33.39
Depreciation,4.49,3.82,3.46,3.3,4.11,3.83,3.42,4.29,4.49,4.46
Interest,28.25,18.83,14.66,32.84,37.91,59.5,62.09,64.34,67.55,24.54
Profit before tax,-416.45,-123.45,-357.86,-308.22,-95.14,-417.52,-95.33,-49.95,-60.79,33.74
Tax,12.33,3.16,-1.87,-9.51,4.01,3.59,-0.01,4.56,1.6,32.34
Net profit,-422.41,-126.3,-353.91,-296.95,-101.24,-417.45,-95.47,-54.24,-63.67,1.44
Operating Profit,-391.08,-124.24,-343.87,-370.19,-63.81,-352.12,-37.21,1.47,-16.18,29.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,16.04,16.04,16.04,16.04,18.97,18.97,23.32
Reserves,,,,180.56,824.97,1064.92,645.84,897.79,-244.05,945.85
Borrowings,,,,184.14,2227.78,1234.04,479.03,446.21,2029.61,515.68
Other Liabilities,,,,4539.65,2323.13,2719.48,2568.46,2137.02,1385.84,2815.66
Total,,,,4920.39,5391.92,5034.48,3709.37,3499.99,3190.37,4300.51
Net Block,,,,21.25,31.49,45.49,46.34,42.19,44.24,56.21
Capital Work in Progress,,,,2.87,,3.58,0.39,0.39,0.08,
Investments,,,,0.16,0.17,0.46,,,,
Other Assets,,,,4896.11,5360.26,4984.95,3662.64,3457.41,3146.05,4244.3
Total,,,,4920.39,5391.92,5034.48,3709.37,3499.99,3190.37,4300.51
Receivables,,,,1821.47,1900.22,2030.31,848.86,783.96,790.25,831.69
Inventory,,,,18.56,13.15,14.51,3.09,3.9,1.57,1.14
Cash & Bank,,,,104.13,454.54,499.35,290.95,504.04,95.18,339.19
No. of Equity Shares,,,,16036000,160360000,160360000,160360000,189693333,189693333,
New Bonus Shares,,,,,,,,,,
Face value,,,,10,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,251.06,-723.34,337.73,200.98,-1689.76,-1829.21,538.4
Cash from Investing Activity,,,,-14.62,-924.2,1018.07,408.81,949.31,-11.66,-4.71
Cash from Financing Activity,,,,-140.97,1972.21,-1313.29,-853.25,978.14,1431.26,-285.96
Net Cash Flow,,,,95.47,324.66,42.51,-243.46,237.69,-409.61,247.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,77,258.45,318.05,291.6,523.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,1.6,16.04,16.04,16.04,18.97,18.97,23.32
