COMPANY NAME,SUNDARAM CLAYTON LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,1780.75,,,,,,,,,
Market Capitalization,3603.53,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,,1127.95,1692.42,2052.78
Raw Material Cost,,,,,,,,575.81,956.04,1130.63
Change in Inventory,,,,,,,,22.13,85.33,2.01
Power and Fuel,,,,,,,,81.44,112.07,128.22
Other Mfr. Exp,,,,,,,,90.26,131.79,134.6
Employee Cost,,,,,,,,164.69,195.84,277.87
Selling and admin,,,,,,,,70.98,140.52,127.56
Other Expenses,,,,,,,,26.93,48.08,131.54
Other Income,,,,,,,,-1.76,-13.64,-6.9
Depreciation,,,,,,,,79.67,130.72,143.88
Interest,,,,,,,,47.47,46.39,60.05
Profit before tax,,,,,,,,11.07,2.66,-86.46
Tax,,,,,,,,58.61,19.25,21.38
Net profit,,,,,,,,-44.8,25.22,-107.84
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,,,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,,,,,521.05,296.21,550.8
Expenses,,,,,,,,492.88,273.13,558.23
Other Income,,,,,,,,-2.74,3.33,21.83
Depreciation,,,,,,,,37.11,21.2,42.93
Interest,,,,,,,,21.27,10.87,24.4
Profit before tax,,,,,,,,-32.95,-5.66,-52.93
Tax,,,,,,,,2.57,4.22,9.97
Net profit,,,,,,,,-35.52,-9.88,-62.9
Operating Profit,,,,,,,,28.17,23.08,-7.43
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,,10.12,10.12,10.12
Reserves,,,,,,,,419.85,547.26,763.98
Borrowings,,,,,,,,940.64,989.91,1106.82
Other Liabilities,,,,,,,,732.12,778.05,530.86
Total,,,,,,,,2102.73,2325.34,2411.78
Net Block,,,,,,,,735.53,1390.17,1471.23
Capital Work in Progress,,,,,,,,736.84,64.4,77.81
Investments,,,,,,,,10.33,10.47,9.67
Other Assets,,,,,,,,620.03,860.3,853.07
Total,,,,,,,,2102.73,2325.34,2411.78
Receivables,,,,,,,,222.23,266.83,252.29
Inventory,,,,,,,,305.7,394.17,410.98
Cash & Bank,,,,,,,,21.1,123.61,103.75
No. of Equity Shares,,,,,,,,20232104,20232104,20232104
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,,110.86,104.97,126.15
Cash from Investing Activity,,,,,,,,-46.15,-99.02,-185.97
Cash from Financing Activity,,,,,,,,-106.96,96.56,39.96
Net Cash Flow,,,,,,,,-42.25,102.51,-19.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,,
