COMPANY NAME,SUNDARAM FINANCE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,4418.6,,,,,,,,,
Market Capitalization,48952.41,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,4106.59,4285.19,5027.26,5588.17,6330.74,3696.21,4706.8,5292.44,5110.64,5500.98
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,12.53,12.68,14.12,14.37,,,,,,
Other Mfr. Exp,539.87,543.92,50.24,1405.98,2763.71,180.03,154.77,122.16,114.88,123.99
Employee Cost,364.41,404.98,447.36,496.72,515.88,431.03,504.13,563.15,621.21,675.05
Selling and admin,316.38,350.83,567.45,649.44,484.78,175.67,161.18,116.83,164.31,194.85
Other Expenses,155.85,192.66,1142.13,168.69,141.99,145.46,402.13,432.67,491.27,294.34
Other Income,-5.08,-26.6,7.46,8.21,13.29,482.16,48.18,24.3,35.03,43.44
Depreciation,111.96,112.05,106.33,103.97,78.82,58.07,89.53,92.97,101.17,138.84
Interest,1724.21,1781.53,1814.37,1735.05,1344.44,1770.32,2427.45,2659.39,2236.2,2406.38
Profit before tax,876.3,859.94,892.72,1022.16,1014.41,1417.79,1015.79,1329.57,1416.63,1710.97
Tax,295.81,286.93,307.84,345.12,347.94,387.96,210.49,327.53,350.01,439.22
Net profit,581.06,575.88,583.17,683.48,729.91,1160.85,791.54,1165.09,1173.34,1317.81
Dividend Amount,111.1,116.66,122.21,127.76,132.14,192.74,143.21,198.32,220.38,297.54
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1293.19,1286.26,1271.79,1246.03,1336.74,1409.64,1483.59,1582.72,1708.13,1821.36
Expenses,426.36,366.55,274.02,330.83,328.63,326.98,300.87,382.81,375.2,350.51
Other Income,5.8,3.54,22.78,6.64,2.79,0.75,58.08,7.88,2.44,6.68
Depreciation,21.82,25.32,33.93,28.74,32.56,36.22,41.31,38.68,43.59,47.67
Interest,546.8,550.99,545.63,540.51,578.11,622.32,666.22,738.2,821.21,909.82
Profit before tax,304.01,346.94,440.99,352.59,400.23,424.87,533.27,430.91,470.57,520.04
Tax,89.87,84.07,94.73,95.12,119.26,102.77,122.07,122.1,142.76,121.88
Net profit,259.04,288.83,340,245.66,306.13,332.84,433.18,375.24,365.42,427.45
Operating Profit,866.83,919.71,997.77,915.2,1008.11,1082.66,1182.72,1199.91,1332.93,1470.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,111.1,111.1,111.1,111.1,110.12,110.14,110.16,110.18,110.19,110.2
Reserves,2969.13,3638.65,4083.54,4698.11,5539.12,6149.15,6566.66,7620.07,8684.64,9799.65
Borrowings,17828.47,18794.62,18758,20216.38,21068.61,25023.31,35939.33,36461.07,36356.09,42693.9
Other Liabilities,3005.35,3241.08,5095.46,5723.81,7268.16,2388.23,2104.76,2368.51,3003.11,3462.15
Total,23914.05,25785.45,28048.1,30749.4,33986.01,33670.83,44720.91,46559.83,48154.03,56065.9
Net Block,558.72,515.29,817.1,861.84,820.73,451.43,903.17,864.63,1116.53,1295.82
Capital Work in Progress,2.8,2.13,4.06,2.81,3.19,,0.02,,,0.6
Investments,2449.63,2730.94,4026.14,4814.86,8693.09,4539.32,5095.84,6056.84,8087.53,8082.07
Other Assets,20902.9,22537.09,23200.8,25069.89,24469,28680.08,38721.88,39638.36,38949.97,46687.41
Total,23914.05,25785.45,28048.1,30749.4,33986.01,33670.83,44720.91,46559.83,48154.03,56065.9
Receivables,,,,,44.54,44.28,42.23,57.41,43.9,74.51
Inventory,,,,,,,,,,
Cash & Bank,1281.87,1088.41,959.53,1013.62,1074.3,859.09,785.37,788.94,714.54,1145.18
No. of Equity Shares,111103860,111103860,111103860,111103860,110124350,110142900,110162150,110180900,110189675,110197315
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-563.55,-1429.7,310.32,-964.68,-5546.74,-4199.58,8.78,449.51,1780.8,-6504.29
Cash from Investing Activity,-227.74,445.72,-82.65,-553.71,-1181.86,1000.33,-1982.53,-242.62,-1596.76,668.51
Cash from Financing Activity,1003.86,756.78,-260.51,1394.32,6755.83,3211.51,1862.32,-121.79,-199.57,5890.14
Net Cash Flow,212.57,-227.2,-32.85,-124.06,27.23,12.27,-111.44,85.1,-15.53,54.36
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,597.35,1368.5,1172.97,1456.29,1677.2,1558.7,1203.25,2570.45,1940.2,2299.5
,,,,,,,,,,
DERIVED:,,,,,,,,,,
