COMPANY NAME,SUNFLAG IRON & STEEL COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,200.55,,,,,,,,,
Market Capitalization,3619.61,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1469.81,1640.08,1523.6,1456.27,2018.5,2186,1758.12,1891.55,2698.26,3488.42
Raw Material Cost,932.48,1032.47,878.34,897.05,1234.77,1473.47,1067.13,1097.61,1913.52,2253.55
Change in Inventory,3.03,7.17,-11.18,34.85,15.59,100.85,-11.82,-112.11,272.18,29.75
Power and Fuel,153.38,162.79,122.96,122.63,122.38,150.09,117.52,132.84,243.64,326.51
Other Mfr. Exp,63.36,77.29,186.51,132.43,206.42,208.52,196.67,101.71,186.87,221.01
Employee Cost,75.06,82.06,98.71,94.26,102.62,102.14,97.43,92.52,97.95,107.9
Selling and admin,217.16,239.87,89.7,155.84,180.1,107.58,158.28,122.24,138.69,215.55
Other Expenses,-115.61,-116.51,-41.56,-56.51,-49.04,7.62,-60.82,-21.53,-8.57,-52.17
Other Income,5.48,5.12,9.12,7.81,16.97,11.18,11.22,11.33,5.14,1200.85
Depreciation,61.18,51.13,35.66,33.2,34.13,37.87,46.22,70.2,76.31,80.64
Interest,72.99,71.44,65.49,35.06,35.49,38.74,41.25,29.48,42.25,81.1
Profit before tax,18.32,51.83,85.73,84.97,184.19,172,93.84,165.7,284.92,1484.93
Tax,-3.36,27.42,29.96,19.75,55.49,61.7,1.77,25.08,67.9,369.62
Net profit,21.68,24.41,56.16,65.23,128.64,110.27,92.05,140.61,217,1115.29
Dividend Amount,,,,,9.01,9.01,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,685.61,696.26,648.98,896.52,885.51,869.42,836.97,784.46,858.01,853.78
Expenses,568.42,608.61,570.35,826.67,723.34,752.8,739.79,704.14,759.18,756.88
Other Income,1.48,1.2,0.95,1193.76,1.01,3.16,2,1.66,1.16,1.27
Depreciation,18.71,18.83,20.03,19.68,19.76,19.76,21.44,25.62,25.63,25.69
Interest,10.34,13.6,11.94,14.59,17.31,21.79,27.41,23.69,22.99,25.88
Profit before tax,89.62,56.42,47.61,1229.34,126.11,78.23,50.33,32.67,51.37,46.6
Tax,24.24,14.06,6.92,308.95,31.25,19.07,10.35,7.51,12.87,10.7
Net profit,65.48,42.61,40.81,920.84,95.09,59.66,39.7,25.85,38.77,35.96
Operating Profit,117.19,87.65,78.63,69.85,162.17,116.62,97.18,80.32,98.83,96.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,166.61,184.63,180.22,180.22,180.22,180.22,180.22,180.22,180.22,180.22
Reserves,341.06,403.32,462.84,528.73,656.69,759.92,1204.99,1352.63,1568.73,3161.99
Borrowings,477.09,421.44,250.48,330.15,340.84,352.08,386.65,268.29,586.76,609.44
Other Liabilities,329.55,332.84,354.72,341.74,388.62,476.59,636.99,588.16,755.05,990.69
Total,1314.31,1342.23,1248.26,1380.84,1566.37,1768.81,2408.85,2389.3,3090.76,4942.34
Net Block,586.24,572.49,543.38,512.53,514.63,536.67,1146.53,1189.5,1251.83,1591.44
Capital Work in Progress,37.48,28.83,26.24,68.63,130.1,201.62,232.59,173.1,373.13,192.9
Investments,4.41,4.41,7.24,9.14,9.11,11.55,10.75,16,16.59,1725.68
Other Assets,686.18,736.5,671.4,790.54,912.53,1018.97,1018.98,1010.7,1449.21,1432.32
Total,1314.31,1342.23,1248.26,1380.84,1566.37,1768.81,2408.85,2389.3,3090.76,4942.34
Receivables,207.73,188.5,220.47,248.88,301.76,286.02,221.64,210.22,276.3,315.27
Inventory,330.66,394.14,314.89,391.44,432.83,552.17,562.77,543.8,836.94,865.57
Cash & Bank,52.87,55.49,64.55,76.73,54.72,59.07,53.17,70.57,67.63,118.33
No. of Equity Shares,166610000,184630000,180219448,180219448,180219448,180219448,180219448,180219448,180219448,180219448
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,106.72,78.01,236.25,-17.51,117.49,177,209.1,223.47,43.19,277.8
Cash from Investing Activity,-6.81,-4.17,-12.57,-32.52,-96.66,-141.4,-125.38,-59.97,-335.33,-218.99
Cash from Financing Activity,-102.8,-71.22,-213.37,60.4,-41.03,-38.75,-79.15,-151.28,289.45,-63.26
Net Cash Flow,-2.89,2.62,10.31,10.37,-20.2,-3.15,4.57,12.22,-2.69,-4.45
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,21.7,23.7,19.75,36.8,75.15,48.7,24.2,62.65,62.95,147.45
,,,,,,,,,,
