COMPANY NAME,SUNTECK REALTY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,414,,,,,,,,,
Market Capitalization,6058.05,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,925.56,302.85,243.37,952.2,888.29,856.79,559.72,614.06,513.08,362.45
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,112.1,-132.69,604.55,1345.68
Power and Fuel,0.76,0.86,1.01,0.56,0.77,1.12,4.3,1.92,2.15,3.04
Other Mfr. Exp,615.7,142.49,196.07,565.92,490.11,427.49,365.18,234.4,863.22,1479.45
Employee Cost,7,5.52,9.95,12.91,9.9,12.41,41.85,38.26,52.88,69.1
Selling and admin,22.14,16.22,10.48,14.68,11.26,31.16,74.24,59.42,93.1,86.97
Other Expenses,1.44,3.76,1.94,11.87,9.52,6.38,18.76,10.23,10.95,5.39
Other Income,12.67,13.96,16.19,4.87,9.09,34.57,20.49,11.07,22.12,35.43
Depreciation,1.41,1.97,2.23,2.27,1.68,2.19,3.71,5.2,7.29,9.23
Interest,17,17.62,16.88,45.52,42.3,41.06,81.32,84.64,77.61,85.9
Profit before tax,272.78,128.37,21,303.34,331.84,369.55,102.95,58.37,32.55,4.48
Tax,90.01,46.98,-6.32,87.2,107.85,128.43,28.08,16.43,7.46,3.08
Net profit,150.97,68.16,22.97,203.97,214.18,227.55,74.03,41.94,25.09,1.41
Dividend Amount,1.67,1.68,11.99,17.98,21.04,21.04,21.06,21.06,21.08,21.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,137,128.11,155.23,143.5,80.75,89.33,48.87,70.57,24.94,42.45
Expenses,101.41,97.81,149.34,98.3,70.73,71.29,59.67,78.76,39.08,57.27
Other Income,5.59,6.66,10.65,7.89,11.21,10.01,8.03,17.85,11.85,19.09
Depreciation,1.61,1.86,2.49,2.14,2.33,2.22,2.54,1.78,2.23,2.42
Interest,18.19,19.79,21.78,19.82,17.6,19.6,28.87,17.32,15.78,17.09
Profit before tax,21.38,15.31,-7.73,31.13,1.3,6.23,-34.18,-9.44,-20.3,-15.24
Tax,6.12,4.2,-3.42,6.19,-1.04,4.15,-6.23,-2.71,-6.36,-5.51
Net profit,15.26,11.11,-4.31,24.94,2.33,2.07,-27.94,-6.74,-13.94,-9.73
Operating Profit,35.59,30.3,5.89,45.2,10.02,18.04,-10.8,-8.19,-14.14,-14.82
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,11.99,11.99,11.99,11.99,14.03,14.03,14.04,14.04,14.05,14.05
Reserves,625.24,1458.29,1586.48,1783.35,2616.32,2819.7,2734.69,2758.21,2776.36,2773.81
Borrowings,592.1,1070.63,1233.96,943.74,568.03,634.62,920.69,687.9,788.22,685.42
Other Liabilities,1623.83,1678.82,1340.25,939.54,457.23,457.42,503.38,587.52,1919.59,3784.49
Total,2853.16,4219.73,4172.68,3678.62,3655.61,3925.77,4172.8,4047.67,5498.22,7257.77
Net Block,73.86,73,47.52,72.12,70.48,72.47,55.2,52.92,122.5,149.03
Capital Work in Progress,,,,,,,,9.57,7.35,102.48
Investments,29.63,29.96,369.06,321.99,220.29,260.64,271.39,258.07,234.61,240.71
Other Assets,2749.67,4116.77,3756.1,3284.51,3364.84,3592.66,3846.21,3727.11,5133.76,6765.55
Total,2853.16,4219.73,4172.68,3678.62,3655.61,3925.77,4172.8,4047.67,5498.22,7257.77
Receivables,111.37,209.77,159.01,161.99,290.63,370.58,369.78,333.81,270.32,149.62
Inventory,1886.2,3459.2,3129.56,2801.72,2642.75,2632.06,2743.78,2614.46,4041.89,5725.12
Cash & Bank,22.26,109.18,91.65,59.72,109.89,147.92,166.22,99.05,96.98,158.22
No. of Equity Shares,59966207,59966207,59966207,59966207,140315027,140336639,140371879,140394490,140450000,140478718
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-103.92,-85.33,-128.02,242.72,-168.53,-7.86,-77.96,250.83,-30.47,262.04
Cash from Investing Activity,16.98,-157.92,-76.5,88.21,17.95,72.28,-17.83,50,18.08,-16.21
Cash from Financing Activity,65.53,334.57,167.78,-337.08,140.09,-22.37,87.93,-297.03,45.9,-261.38
Net Cash Flow,-21.41,91.32,-36.74,-6.15,-10.49,42.05,-7.87,3.81,33.51,-15.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,136.4,124.78,113.58,189.85,425.3,461.25,210.05,280.4,436.75,284.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
