COMPANY NAME,SUPREME PETROCHEM LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,689.45,,,,,,,,,
Market Capitalization,12943.93,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2652.54,2068.05,2918.62,3026.61,3193.81,2724.25,3185.17,5032.3,5287.2,5253.35
Raw Material Cost,2386.21,1778.21,2502.18,2625.95,2821.2,2343.88,2288.14,3836.28,4405.68,4449.22
Change in Inventory,35.97,-28.24,88.68,7.28,-56.83,-13.13,-6.72,-8.14,106.7,6.15
Power and Fuel,41.43,33.65,36.6,40.35,47.49,46.55,41.72,53.58,64.9,
Other Mfr. Exp,17.72,9.42,32.8,20.02,21.59,22.12,21.37,24.94,28.99,
Employee Cost,32.22,26.52,35.56,39.8,39.97,42.05,46.08,48.94,55.37,63.49
Selling and admin,71.7,58.31,81.58,79.83,83.3,80.67,92.15,135.34,139.84,
Other Expenses,45.8,29.96,21.11,31.68,30.08,27.36,13.6,18.53,38.32,280.01
Other Income,3.1,3.47,7.3,8.02,10.03,11.93,15.89,30.5,58.94,68.14
Depreciation,23.64,17.05,22.22,20.75,23.27,36.03,39.14,41.85,46.6,59.49
Interest,16.6,5.31,4.7,4.6,3.94,6.49,8.35,7.38,6.25,7.22
Profit before tax,56.29,84.85,277.85,178.93,76.17,117.9,643.79,887.82,666.89,468.21
Tax,20.59,27.8,98.44,62.82,26.96,15.24,166.29,224.56,168.75,121.73
Net profit,35.7,57.05,179.41,116.12,49.21,102.65,477.49,663.26,498.14,346.49
Dividend Amount,14.48,28.95,43.42,43.42,28.95,53.04,141.03,169.24,206.86,169.24
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1296.02,1497.74,1485.39,1234.58,1180.38,1386.86,1225.14,1277.67,1187.69,1562.85
Expenses,1071.79,1190.42,1233.65,1155.66,1061.16,1178.59,1134.66,1171.41,1092.85,1387.64
Other Income,8.33,9.39,12.05,11.74,14.19,20.95,17.89,15.58,15.64,19.04
Depreciation,10.6,10.38,10.54,11.49,11.02,13.55,14.17,14.26,15.08,15.98
Interest,1.39,1.24,0.92,0.92,0.96,0.78,0.62,1.92,2.99,1.7
Profit before tax,220.57,305.09,252.33,78.25,121.43,214.89,93.58,105.66,92.41,176.57
Tax,56.03,79.69,63.17,18.44,31.59,55.56,24.31,27.61,24.74,45.06
Net profit,164.54,225.4,189.15,59.81,89.85,159.33,69.26,78.06,67.67,131.5
Operating Profit,224.23,307.32,251.74,78.92,119.22,208.27,90.48,106.26,94.84,175.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,96.5,96.5,96.5,96.5,96.5,96.44,94.02,37.61,37.61,37.61
Reserves,279.86,318.23,485.6,549.09,545.93,576.84,970.82,1478.02,1806.26,1981.5
Borrowings,,,,,,29.28,41.06,37.23,16.66,114.15
Other Liabilities,505.06,523.24,547.61,650.16,578.43,552.5,649.44,725.44,870.49,931.57
Total,881.42,937.97,1129.71,1295.75,1220.86,1255.06,1755.34,2278.3,2731.02,3064.83
Net Block,345.13,332.79,336.78,333.4,331.13,370.9,358.84,336.9,526.6,768.75
Capital Work in Progress,4.27,10.28,12.68,9.65,23.76,8.4,9.07,178.94,108.04,232.61
Investments,,,,110.6,250.8,134.81,470.28,483.79,562.55,571.8
Other Assets,532.02,594.9,780.25,842.1,615.17,740.95,917.15,1278.67,1533.83,1491.67
Total,881.42,937.97,1129.71,1295.75,1220.86,1255.06,1755.34,2278.3,2731.02,3064.83
Receivables,238.96,281.16,307.39,295.26,284.69,248.08,384.99,411.78,362.29,394.97
Inventory,188,181.44,305.86,312.86,245.05,258.43,317.81,300.76,646.93,480.6
Cash & Bank,32.5,70.92,97.79,128.39,38.3,175.85,106.75,447.45,349.52,520.37
No. of Equity Shares,96501958,96501958,96501958,96501958,96501958,96501958,94020671,94020671,188041342,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,4,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,79.83,83.75,68.64,212.71,132.97,119.03,434.71,670.75,323.58,557.03
Cash from Investing Activity,-4.79,-5.07,-25.45,-14.64,-26.61,-6.97,-63.92,-140.02,-149.12,-181.77
Cash from Financing Activity,-65.72,-40.15,-16.32,-56.87,-56.26,-90.49,-104.42,-176.53,-193.63,-196.9
Net Cash Flow,9.33,38.53,26.87,141.2,50.1,21.57,266.37,354.21,-19.17,178.36
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,41.78,54.63,151.48,160.78,111.23,65.05,208.98,462.78,370.3,624.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
