COMPANY NAME,SWAN ENERGY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,537.95,,,,,,,,,
Market Capitalization,16846.03,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,332.87,314.4,331.74,350.59,346.69,891.62,340.82,320.47,487.2,1438.14
Raw Material Cost,288.88,296.67,285.08,281.23,288.11,302.61,199.53,210.31,346.62,1104.4
Change in Inventory,33.03,46.8,17.46,7.75,31.32,-452.32,-24.34,29.74,21.39,36.84
Power and Fuel,4.15,3.85,4.51,4.51,4.71,5.2,6.82,4.68,13.65,35.81
Other Mfr. Exp,7.92,10.42,9.64,9.44,7.46,6.7,7.28,12.04,18.92,32.48
Employee Cost,7.81,8.94,10.02,11.28,13,11.76,12.22,18.09,25.15,31.62
Selling and admin,18.7,10.55,11.75,12.17,18.77,32.15,35.25,28.15,27.11,31.8
Other Expenses,0.33,0.09,0.22,6.22,11.18,3.06,3.31,8.86,8.66,7.72
Other Income,14.25,14.41,7.28,12.68,110.48,19.34,8.54,3.58,6.71,10.75
Depreciation,11.6,10.28,10.77,11.84,14.1,14.08,14.52,41.66,70.27,81.35
Interest,38.24,29.56,24.35,31.61,57.79,54,50.33,108.04,189.15,222.8
Profit before tax,2.52,5.25,0.14,2.72,73.37,29.08,-4.24,-78.04,-184.23,-62.25
Tax,2.95,2.24,0.32,2.11,18.68,35.06,0.58,-9.43,-26.34,-1.19
Net profit,-0.43,3.02,-0.19,0.61,54.69,-5.31,-4.83,-68.61,-157.89,-61.05
Dividend Amount,3.32,3.32,1.11,1.66,2.44,2.44,2.44,2.44,2.64,2.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,59.45,69.28,312.31,260.38,143.47,101.1,933.19,804.3,1223.26,1591.68
Expenses,35.26,56.94,288.33,254.88,142.12,114.69,749.26,566.96,966.3,1335.84
Other Income,3.87,1.21,-0.17,2.36,2.52,55.58,4.24,4.15,6.85,62.78
Depreciation,17.69,17.77,17.3,18.05,18.22,18.25,26.82,26.79,27.1,27.16
Interest,51.03,43.41,55.41,49.26,55.83,56.08,61.62,57.41,58.34,57.53
Profit before tax,-40.66,-47.63,-48.9,-59.45,-70.18,-32.34,99.73,157.29,178.37,233.93
Tax,-3.31,-8.13,-7.37,-9.94,-12.19,-16.65,37.59,12.47,12.81,13.94
Net profit,-25.57,-20.56,-19.13,-26.35,-31.96,16.85,2.63,74.89,84.58,115.11
Operating Profit,24.19,12.34,23.98,5.5,1.35,-13.59,183.93,237.34,256.96,255.84
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,22.12,22.12,22.12,22.12,24.43,24.43,24.43,24.43,26.39,26.39
Reserves,408.69,408.25,407.77,409.22,907.48,899.23,890.39,849.85,1218.93,2257.29
Borrowings,564.67,705.49,816.95,820.93,911.62,1077.15,1206.29,3076.89,4116.73,4984.98
Other Liabilities,569.55,554.18,537.83,595.61,792.85,1169.25,1367.92,984.93,1035.26,2956.12
Total,1565.03,1690.04,1784.67,1847.88,2636.38,3170.06,3489.03,4936.1,6397.31,10224.78
Net Block,378.63,372.84,383.57,603.75,576.77,563.6,556.37,2282.48,2237.53,4225.22
Capital Work in Progress,450.36,509.24,551.13,312.82,617.09,1224.42,1685.23,1927.29,2389.03,3252.92
Investments,1.34,1.1,2.24,8.24,324.04,149.11,8.04,0.57,2.93,29.98
Other Assets,734.7,806.86,847.73,923.07,1118.48,1232.93,1239.39,725.76,1767.82,2716.66
Total,1565.03,1690.04,1784.67,1847.88,2636.38,3170.06,3489.03,4936.1,6397.31,10224.78
Receivables,65.83,57.39,58.57,92.67,57.16,42.18,54.13,28.67,213.76,1785.6
Inventory,497.43,555.59,581.51,591.89,605.57,152.03,126.23,144.72,171.44,260.57
Cash & Bank,16.37,18.15,32.85,44.77,54.64,40.29,48.73,110.62,954.06,201.68
No. of Equity Shares,221180000,221180000,221180000,221180000,244257000,244257000,244257000,244257000,263917000,263917000
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-158.84,-110.11,123.09,69.35,62.32,41.87,-95.12,302.48,28.76,-490.87
Cash from Investing Activity,-105.34,-61.29,-63.03,-28.54,-533.16,-763.46,-323.89,-2000.69,-494.29,-860.02
Cash from Financing Activity,255.64,173.18,-45.37,-28.96,480.71,707.24,427.45,1760.09,1308.98,598.5
Net Cash Flow,-8.54,1.78,14.7,11.85,9.87,-14.36,8.44,61.89,843.45,-752.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
