COMPANY NAME,TD POWER SYSTEMS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,290,,,,,,,,,
Market Capitalization,4540.94,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,480.23,597.45,506.75,379.93,434.88,459.02,514.89,593.58,797.42,872.3
Raw Material Cost,372.92,437.79,355.98,255.35,318.73,341.06,388.45,435.83,561.41,558.38
Change in Inventory,23.71,-11.67,-9.1,-2.28,8.54,21.47,29.08,39.94,-8.47,-31.99
Power and Fuel,6.75,6.16,5.61,4.96,6.35,6.66,7.19,7.12,8.29,8.49
Other Mfr. Exp,6.56,9.9,8.95,6.08,6.11,5.42,6.71,6.74,8.43,12.14
Employee Cost,60.8,65.37,66.23,63.55,69.47,66.22,72.8,79.59,80.77,90.89
Selling and admin,34.1,34.7,36.54,30.14,31.32,30.44,31.01,29.47,32.43,35.16
Other Expenses,0.23,15.36,15.28,6.81,0.97,0.43,0.21,3.95,0.72,1.61
Other Income,33.91,24.47,19.88,19.97,15.88,8.96,27.24,16.5,24.29,21.1
Depreciation,14.95,28.76,28.81,27.86,27.11,25.99,22.23,21.5,22.04,20.7
Interest,6.18,6.25,7.05,6.45,8.76,5.74,9.84,9.34,7.08,4.49
Profit before tax,35.36,5.96,-6.92,-3.58,-9.52,7.49,32.77,56.48,92.07,129.55
Tax,12.64,6.79,2.27,0.85,4.9,4.29,2.83,11.28,21.58,32.74
Net profit,22.71,-0.83,-9.19,-4.43,-14.42,3.2,29.94,45.2,70.5,96.81
Dividend Amount,7.65,8.79,10.14,5.98,5.98,6.2,6.96,7.73,10.88,15.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,227.33,179.81,227.17,204.54,212.63,205.28,249.85,220.29,273.73,242.6
Expenses,203.24,158.01,196.55,176.83,186.89,171.94,206.43,181.65,226.52,202.87
Other Income,2.74,8.86,8.43,6.53,6.38,0.38,7.81,3.56,2.78,5.33
Depreciation,5.56,5.62,5.51,5.28,5.2,4.97,5.25,5.07,5.29,5.34
Interest,0.02,0.24,0.71,0.86,0.19,,0.01,0.02,0.08,0.02
Profit before tax,21.25,24.8,32.83,28.1,26.73,28.75,45.97,37.11,44.62,39.7
Tax,5.18,5.26,8.16,6.61,6.83,8.68,10.62,10.46,11.84,9.8
Net profit,16.06,19.54,24.66,21.49,19.9,20.07,35.35,26.65,32.77,29.9
Operating Profit,24.09,21.8,30.62,27.71,25.74,33.34,43.42,38.64,47.21,39.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,33.24,33.24,33.24,33.24,33.24,31.01,30.93,30.93,31.1,31.21
Reserves,474.31,460.8,440.04,437.3,416.17,384.52,394.07,439.75,496.06,573.31
Borrowings,62.99,57.35,27.64,45.34,68.6,61.39,67.67,52,70.97,
Other Liabilities,397.47,344.73,291.98,233.31,190.45,271.21,264.75,262.2,308.56,298.69
Total,968.01,896.12,792.9,749.19,708.46,748.13,757.42,784.88,906.69,903.21
Net Block,219.38,271.62,258.22,233.35,213.27,197.82,180.05,173.94,166.35,163.3
Capital Work in Progress,54.02,0.01,0.66,0.69,0.63,1.49,0.65,0.57,0.63,0.24
Investments,0.01,0.01,0.01,0.01,0.01,9.96,19.94,19.94,19.94,19.94
Other Assets,694.6,624.48,534.01,515.14,494.55,538.86,556.78,590.43,719.77,719.73
Total,968.01,896.12,792.9,749.19,708.46,748.13,757.42,784.88,906.69,903.21
Receivables,221.83,155.15,155.24,160.54,185.11,228.68,172.82,161.89,241.09,269.08
Inventory,86.3,76.02,88.13,79.98,81.66,112.64,144.41,188.78,209.15,198.56
Cash & Bank,240.37,272.11,225.81,108.38,95.18,127.97,158.2,164.3,161.34,169.27
No. of Equity Shares,33237588,33237588,33237588,33237588,33237588,31009223,30933414,30933414,31103498,156042635
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-24.61,46.6,-12.85,-19.78,-2.66,48.19,55.67,-2.86,10.91,88.56
Cash from Investing Activity,-50.38,-2.67,1.79,8.97,2.67,-13.11,-0.02,-11.3,-13.84,-12.75
Cash from Financing Activity,24.9,-12.18,-35.25,1.36,6.67,-44.83,-16.65,-19.72,10.88,-89.12
Net Cash Flow,-50.09,31.75,-46.3,-9.46,6.69,-9.75,39,-33.87,7.94,-13.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,53.57,71.84,41.79,46.18,37.99,24,16.97,29.64,68.93,158.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
