COMPANY NAME,TTK PRESTIGE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,693.35,,,,,,,,,
Market Capitalization,9597.95,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2006-03-31 00:00:00,2007-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,208.07,260.19,1487.93,1745.14,1871.35,2106.91,2072.99,2194.2,2722.45,2777.13
Raw Material Cost,118.86,161.64,925.24,1034.94,1116.91,1251.22,1203.82,1216.36,1690.99,1715.22
Change in Inventory,-0.68,7.89,38,-7.91,34.8,30.64,-0.8,-59.8,96.07,54.48
Power and Fuel,2.9,2.92,19.04,17.66,17.66,21.32,20.35,19.19,25.22,28.83
Other Mfr. Exp,2.93,4.24,24.79,24.39,24.5,27.19,27.52,26.61,33.43,29.13
Employee Cost,17.74,19.17,114.85,138.87,160.03,187.51,196.13,200.5,229.73,246.34
Selling and admin,59.17,74.17,312.86,372.85,309.27,324.89,294.53,259.44,338.63,372.13
Other Expenses,-13.03,-19.81,-57.97,-69.58,27.05,29.41,63.58,90.37,74.01,79.33
Other Income,2.11,0.73,6.46,2.59,141.39,25.24,12.86,40.61,35.05,45.66
Depreciation,1.9,2.21,20.89,25.73,25.61,26.46,36.58,39.97,44.15,53.04
Interest,6.73,8.05,5.89,11.1,7.38,8.49,8.14,5.81,6.83,10.08
Profit before tax,12.3,16.22,166.8,183.86,359.13,286.3,234.4,316.76,410.58,343.17
Tax,4.89,4.83,51.17,33.21,95.64,93.95,49.86,79.98,105.15,88.22
Net profit,7.41,11.39,115.63,150.65,263.49,192.35,185.57,236.78,304.84,254.17
Dividend Amount,2.83,3.4,31.46,31.48,34.68,34.68,27.72,69.3,83.16,83.16
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,858.55,765.33,697.5,629.05,842.35,694.76,610.97,587.62,729.47,738.4
Expenses,715.19,636.01,588.33,549.14,723.98,614.78,530.71,527.01,648.64,653.36
Other Income,8,5.39,13.38,6.81,8.55,13.33,16.97,21.07,17.75,17.97
Depreciation,10.92,11.49,11.36,11.88,12.38,12.7,16.08,14.74,15.92,17.13
Interest,1.69,1.81,1.51,1.73,0.81,2.35,3.08,2.69,3.15,2.99
Profit before tax,138.75,121.41,109.68,73.11,113.73,78.26,78.07,64.25,79.51,82.89
Tax,35.22,30.71,29.07,19.05,29.24,19.87,20.06,16.94,20.47,21.33
Net profit,103.53,90.7,80.02,53.29,83.85,57.58,59.45,48.02,59.27,62.48
Operating Profit,143.36,129.32,109.17,79.91,118.37,79.98,80.26,60.61,80.83,85.04
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2006-03-31 00:00:00,2007-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,11.33,11.33,11.65,11.66,11.56,11.56,13.86,13.86,13.86,13.86
Reserves,35.09,42.5,711.44,841.96,1008.12,1154.73,1292.4,1491.15,1715.71,1924.59
Borrowings,57.25,73.53,,113.23,129.2,90.48,85.85,83.54,92.33,130.9
Other Liabilities,44.76,64.83,273.77,322.39,420.39,395.13,409.36,449.81,592.59,518.1
Total,148.43,192.19,996.86,1289.24,1569.27,1651.9,1801.47,2038.36,2414.49,2587.45
Net Block,24.47,29.7,329.98,509.63,489.96,501.97,572.46,572.57,596.64,683.55
Capital Work in Progress,0.93,6.26,3.09,1.53,4.33,20.6,5.73,18.01,6.61,9.83
Investments,2.14,2.14,68.15,74.89,167.09,191.93,331,420.44,355.6,249.06
Other Assets,120.89,154.09,595.64,703.19,907.89,937.4,892.28,1027.34,1455.64,1645.01
Total,148.43,192.19,996.86,1289.24,1569.27,1651.9,1801.47,2038.36,2414.49,2587.45
Receivables,28.12,41.75,175.26,215.3,258.29,305.08,278.1,290.87,329.71,333.05
Inventory,62.04,77.89,324.73,379.89,437.19,471.37,470.64,447.93,585.62,593
Cash & Bank,9.59,7.06,31.23,65.29,135.52,81.05,57.57,161.16,404.63,595.56
No. of Equity Shares,11348384,11348384,11668490,11678469,11578469,11551169,13861402,13861402,138614020,138614020
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2006-03-31 00:00:00,2007-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,21.58,3.97,78.11,94.12,126.78,94,253.14,288.81,293.59,198.95
Cash from Investing Activity,-0.74,-12.67,-5.87,-168.49,-3.09,-0.19,-183.71,-184.06,-220.38,-157.16
Cash from Financing Activity,-20.13,6.17,-70.5,105.65,-112.65,-84.28,-95.11,-82.05,-90.73,-67.47
Net Cash Flow,0.71,-2.53,1.74,31.28,11.04,9.53,-25.68,22.7,-17.52,-25.68
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,12.62,10.19,359.67,490.37,515.34,727.68,486.46,724.99,826.75,699.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
