COMPANY NAME,TVS MOTOR COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,2063.6,,,,,,,,,
Market Capitalization,97577.36,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,10255.79,11377.06,12462.62,16340.25,20159.99,18849.31,19420.82,24355.31,31973.99,39144.74
Raw Material Cost,7427.61,7963.8,8985.23,11257.6,14033.27,12310.04,12925.65,16517.69,20984.21,24729.6
Change in Inventory,117,-62.77,48.77,-33.96,78.95,-6.73,0.19,260.4,140.93,324.35
Power and Fuel,107.56,105.7,108.83,128.63,136.59,112.75,96.14,126.81,133.47,
Other Mfr. Exp,128.33,130.24,142.71,156.57,155.03,154.06,142.23,160.71,209.5,
Employee Cost,665.89,731.19,828.05,1149.79,1432.15,1539.35,1689.37,2124.62,2890.25,3385.19
Selling and admin,1012.98,1138.8,1137.29,1370.71,1208.18,1223.87,986.91,1138.3,1353.75,
Other Expenses,425.07,425.41,438.02,671.51,1110.68,1238.05,1348.67,1792.95,2517.09,5854.36
Other Income,79.51,93.15,163.14,71.15,24.92,11.5,35.9,-4.76,136.13,105.82
Depreciation,178.59,262.19,316.82,373.6,441.71,556,564.82,742.86,858.86,975.12
Interest,62.11,70.02,59.62,338.22,663.4,854.54,881.49,940.22,1367.89,1927.72
Profit before tax,444.16,580.09,657.96,930.81,1082.85,865.42,821.63,1066.79,1936.03,2702.92
Tax,123.94,151.45,148.67,266.03,357.45,218.62,214.13,335.91,626.57,924.38
Net profit,328.26,429.15,511.24,652.35,704.67,624.62,594.26,756.82,1328.67,1686.37
Dividend Amount,90.27,118.78,118.78,156.78,166.28,166.28,166.28,178.16,237.55,380.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,6597.35,6585.2,7315.7,8560.76,8066.13,8031.4,9055.51,9932.82,10113.94,10042.47
Expenses,5827.75,5759.66,6420,7490.14,7055.2,6982,7851.61,8587.58,8638.73,8566.88
Other Income,13.52,11.59,31.06,29.71,8.22,67.14,86.54,50.93,11.88,-43.53
Depreciation,189.78,206.95,198.85,212.32,215.91,231.78,226.86,237.13,242.42,268.71
Interest,234.06,262.52,291.95,338.28,339.4,398.26,437.05,483.27,494.44,512.96
Profit before tax,359.28,367.66,435.96,549.73,463.84,486.5,626.53,675.77,750.23,650.39
Tax,122.72,92.99,139.21,176.33,160.2,150.83,185.06,259.84,240.62,238.86
Net profit,247.75,277.45,305.37,386.31,300.89,336.1,434.3,386.34,478.75,386.98
Operating Profit,769.6,825.54,895.7,1070.62,1010.93,1049.4,1203.9,1345.24,1475.21,1475.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,47.51,47.51,47.51,47.51,47.51,47.51,47.51,47.51,47.51,47.51
Reserves,1277.12,1770.97,2168.53,2629.69,3122.66,3234.59,3779.1,4351.94,5457.49,6736
Borrowings,1119.08,1091.47,1310.8,6927.54,9298.05,11591.45,12179.16,15827.21,22375.58,13376.38
Other Liabilities,2126.08,2236.1,2601.12,3585.56,4228.27,4398.62,5859.3,6692.44,7143.96,22060.57
Total,4569.79,5146.05,6127.96,13190.3,16696.49,19272.17,21865.07,26919.1,35024.54,42220.46
Net Block,1636.68,2038.14,2362.06,3093.85,3366.8,3810.69,4221.05,5974.64,5748.03,6585.76
Capital Work in Progress,92.91,47.21,63.81,313.26,744.51,1006.01,1040.77,551.53,743.45,338.01
Investments,539.34,942.51,1155.19,421.02,439.73,370.91,468.01,604.56,967.25,1123.19
Other Assets,2300.86,2118.19,2546.9,9362.17,12145.45,14084.56,16135.24,19788.37,27565.81,34173.5
Total,4569.79,5146.05,6127.96,13190.3,16696.49,19272.17,21865.07,26919.1,35024.54,42220.46
Receivables,414.75,490.84,701.81,1070.88,1546.07,1454.36,1029.26,1177.3,1232.2,1839.42
Inventory,1017.19,882.6,1161.86,1056.15,1291.57,1188.47,1367.43,1642.36,1921.51,2248.4
Cash & Bank,27.81,53.57,51.26,172.93,206.31,1107.57,1656.85,1535.61,1879.11,2425.73
No. of Equity Shares,475087114,475087114,475087114,475087114,475087114,475087114,475087114,475087114,475087114,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,82.8,936.34,689.36,354.41,-917.94,373.43,1151.29,-1575.19,-4404.83,
Cash from Investing Activity,-414.87,-604.95,-708.97,-1095.17,-1103.63,-1090.15,-882.37,-1470.91,-1307.74,
Cash from Financing Activity,260.97,-319,-58.93,896.54,2209.77,1619.17,263.5,2918.02,6118.08,
Net Cash Flow,-71.1,12.39,-78.54,155.78,188.2,902.45,532.42,-128.08,405.51,
