COMPANY NAME,TVS SUPPLY CHAIN SOLUTIONS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,166.25,,,,,,,,,
Market Capitalization,7320.65,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,6779.92,6604.55,6933.6,9249.79,10235.38
Raw Material Cost,,,,,,877.98,874.08,952.26,1223.65,1412.32
Change in Inventory,,,,,,54.51,-1.61,43.64,64.48,40.34
Power and Fuel,,,,,,73.54,75.03,61.05,75.36,94.4
Other Mfr. Exp,,,,,,930.69,938.65,969.11,1245.22,1324.74
Employee Cost,,,,,,1638.34,1809.64,1805.03,1889.13,2093
Selling and admin,,,,,,2714.43,2508.86,2684.74,4171.05,4601.22
Other Expenses,,,,,,90.26,141.44,109.48,88.65,56.23
Other Income,,,,,,62.9,184.21,111.27,12.22,67.79
Depreciation,,,,,,417.57,444.5,443.28,461.05,523.66
Interest,,,,,,146.33,236.72,182.43,159.75,197.88
Profit before tax,,,,,,8.19,-241.77,-118.87,12.63,40.06
Tax,,,,,,40.74,6.23,-42.53,58.43,-1.7
Net profit,,,,,,-13.49,-192.34,-74.34,-49.1,39.81
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,2675.49,2680.79,2373.41,2380.24,2288.92,2262.91,2221.84
Expenses,,,,2517.19,2515.8,2197.47,2210.38,2118.5,2077.85,2059.77
Other Income,,,,16.65,24.68,27.64,2.27,-18.27,-12.62,22.23
Depreciation,,,,123.62,124.99,125.3,138.61,136.77,141.75,139.67
Interest,,,,43.19,42.75,48.8,53.01,63.32,57.13,44.03
Profit before tax,,,,8.14,21.93,29.48,-19.49,-47.94,-26.44,0.6
Tax,,,,9.94,-17.91,13.41,-7.15,17.32,14.16,-9.39
Net profit,,,,-3.98,39.21,16.03,-11.44,-65.54,-49.55,9.56
Operating Profit,,,,158.3,164.99,175.94,169.86,170.42,185.06,162.07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,31.67,31.76,31.76,36.3,36.43
Reserves,,,,,,585.62,479.04,458.93,677.7,687.13
Borrowings,,,,,,2500.67,3355.22,2734.12,2954.06,3323.99
Other Liabilities,,,,,,1494.3,1523.73,1643.52,1986.07,2069.84
Total,,,,,,4612.26,5389.75,4868.33,5654.13,6117.39
Net Block,,,,,,2019.47,2021.05,1987.19,2141.39,2295.79
Capital Work in Progress,,,,,,12.65,8.21,15.74,11.67,35.45
Investments,,,,,,59.53,50.39,111.85,100.22,105
Other Assets,,,,,,2520.61,3310.1,2753.55,3400.85,3681.15
Total,,,,,,4612.26,5389.75,4868.33,5654.13,6117.39
Receivables,,,,,,1225.32,1322.47,1160.33,1307.32,1228.21
Inventory,,,,,,166.16,169.82,227.66,291.68,345.06
Cash & Bank,,,,,,498.96,1146.78,566.19,1004.85,1172.1
No. of Equity Shares,,,,,,31795133,31890133,31890133,362797230,364038200
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10,10,10,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,372.23,190.3,712.13,621.01,712.14
Cash from Investing Activity,,,,,,-235.79,-336.52,102.41,-382.96,-243.43
Cash from Financing Activity,,,,,,-16.9,556.53,-1167.25,217.36,-376.75
Net Cash Flow,,,,,,119.55,410.32,-352.72,455.42,91.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,3.16,3.17,3.17,36.26,36.39
