COMPANY NAME,TARSONS PRODUCTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,434.45,,,,,,,,,
Market Capitalization,2309.94,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,178.75,175.9,228.91,300.79,283.25
Raw Material Cost,,,,,,56.38,49.98,56.38,80.11,80.71
Change in Inventory,,,,,,5.4,1.31,-5.12,17.21,15.65
Power and Fuel,,,,,,6.78,6.09,7.31,9.83,9.89
Other Mfr. Exp,,,,,,3.23,4.57,19.97,26.05,21.06
Employee Cost,,,,,,16.14,20.09,24.44,31.41,34.07
Selling and admin,,,,,,27.57,25.42,9.15,12.29,17.24
Other Expenses,,,,,,2.38,1.81,3.1,5.61,6.16
Other Income,,,,,,5.97,4.15,5.38,8.47,11.93
Depreciation,,,,,,14.56,14.17,13.66,21.96,28.51
Interest,,,,,,7.25,6.1,2.72,4.22,4.47
Profit before tax,,,,,,55.83,53.13,92.44,134.99,108.72
Tax,,,,,,16.87,12.6,23.56,34.33,28.01
Net profit,,,,,,38.96,40.53,68.87,100.66,80.71
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,76.04,70.66,84.94,68.63,71.25,61.32,82.05,62.57,66.32,61.79
Expenses,37.57,37.52,40.61,37.49,38.55,34.65,42.79,41.27,40.94,38.9
Other Income,1.45,2.46,2.58,2.69,3.71,3.36,2.17,2.26,2.6,3.38
Depreciation,4.81,5.35,7.24,6.14,6.9,7.21,8.27,8.3,9.71,10.06
Interest,1.56,1.37,0.45,0.43,0.74,1.23,2.07,2.41,0.95,2.51
Profit before tax,33.55,28.88,39.22,27.26,28.77,21.59,31.09,12.85,17.32,13.7
Tax,8.65,7.41,9.76,6.96,7.32,5.47,8.26,3.25,4.52,3.62
Net profit,24.9,21.47,29.46,20.31,21.46,16.12,22.82,9.6,12.8,10.07
Operating Profit,38.47,33.14,44.33,31.14,32.7,26.67,39.26,21.3,25.38,22.89
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,0.19,0.2,0.19,10.64,10.64
Reserves,,,,,,135.08,197.37,244.15,479.19,558.66
Borrowings,,,,,,64.54,35.92,33.5,21.67,110.69
Other Liabilities,,,,,,12.15,15.22,18.1,32.73,45.7
Total,,,,,,211.96,248.71,295.94,544.23,725.69
Net Block,,,,,,88.97,92.04,120.43,188.79,224.85
Capital Work in Progress,,,,,,6.56,19.29,22.08,32.25,118.97
Investments,,,,,,,,,,
Other Assets,,,,,,116.43,137.38,153.43,323.19,381.87
Total,,,,,,211.96,248.71,295.94,544.23,725.69
Receivables,,,,,,44.59,38.2,47.04,65.18,65.8
Inventory,,,,,,46.45,48.73,46.7,82.37,114.37
Cash & Bank,,,,,,0.94,26.25,3.15,85.82,59.97
No. of Equity Shares,,,,,,192228,200241,192228,53206281,53206281
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,51.34,64.22,68.16,83.47,75.6
Cash from Investing Activity,,,,,,-33.56,-25.58,-63.91,-137.93,-178.54
Cash from Financing Activity,,,,,,-18.25,-13.83,-27.22,129.58,84.56
Net Cash Flow,,,,,,-0.47,24.8,-22.98,75.11,-18.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,702.95,532.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,0.02,0.02,0.02,5.32,5.32
