COMPANY NAME,TATA CHEMICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1044.3,,,,,,,,,
Market Capitalization,26618.14,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,17204.48,14872.91,10346.07,10269.69,10336.72,10356.75,10199.8,12622,16789,15421
Raw Material Cost,7892.84,5426.63,1960.88,1859.66,2018.12,2096.67,2404.01,2760,3311,2942
Change in Inventory,917.18,-518.75,-113.39,104.15,16.13,128.27,7.09,123,28,241
Power and Fuel,2040.57,1246.45,1163.07,1272.51,1480.14,1449.9,1437.09,2112,2988,2673
Other Mfr. Exp,1145.03,1098.29,979.8,957.06,885.39,899.43,927.5,2846,3443,
Employee Cost,1332.22,1283.33,1271.13,1280.87,1328.17,1386.49,1410.82,1547,1697,1860
Selling and admin,2831.39,2560.06,2264.19,2483.96,2416.51,2330.43,2308.14,852,1053,
Other Expenses,979.97,643.64,496.63,-824.01,425.97,376.78,212.9,323,505,5340
Other Income,182.91,210.33,292.52,262.42,784.94,6479.52,254.25,486,218,-521
Depreciation,463.14,526.08,512.16,518.01,568.5,666.47,759.32,806,892,980
Interest,460.9,525.47,297.29,325.58,353.7,341.91,367.37,303,406,530
Profit before tax,1158.51,1254.54,1580.05,2762.62,1661.29,7416.46,633.99,1682,2740,816
Tax,351.12,248.38,345.95,60.13,274.44,219.65,197.77,267,288,381
Net profit,596.46,770.58,993.11,2433.08,1155.91,7006.33,256.37,1258,2317,268
Dividend Amount,318.52,254.82,280.3,560.6,318.52,280.3,254.82,318.75,446.25,382.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,3141,3481,3995,4239,4148,4407,4218,3998,3730,3475
Expenses,2595,2824,2980,3319,3317,3442,3175,3191,3188,3032
Other Income,143,105,71,102,30,86,67,187,98,-861
Depreciation,204,205,213,218,227,234,229,234,246,271
Interest,69,69,80,86,107,133,123,145,132,130
Profit before tax,416,488,793,718,527,684,758,615,262,-819
Tax,66,43,156,38,102,-8,171,120,68,22
Net profit,311,438,589,628,391,709,532,428,158,-850
Operating Profit,546,657,1015,920,831,965,1043,807,542,443
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,254.82,254.82,254.82,254.82,254.82,254.82,254.82,255,255,255
Reserves,5296.89,6599.5,7653.42,10846.89,12086.45,12642.84,14035.15,17998,19466,21986
Borrowings,8378.84,9090.42,7071.86,6108.17,6129.85,7702.37,6932.53,7024,6296,5563
Other Liabilities,6871.53,8401.53,8606.69,8647.95,8397.56,7073.41,7114.7,8566,8923,8952
Total,20802.08,24346.27,23586.79,25857.83,26868.68,27673.44,28337.2,33843,34940,36756
Net Block,11358.93,13280.02,12644.03,12786.7,13550.99,15355.61,15261.03,16044,17092,17913
Capital Work in Progress,189.31,350.11,333.09,408.88,773.83,835.02,1093.51,1668,2410,2165
Investments,442.92,2187.91,2787.43,2840.38,5615.27,4284.8,5815.82,7683,7448,9739
Other Assets,8810.92,8528.23,7822.24,9821.87,6928.59,7198.01,6166.84,8448,7990,6939
Total,20802.08,24346.27,23586.79,25857.83,26868.68,27673.44,28337.2,33843,34940,36756
Receivables,3426.68,3565.57,2092.18,1307.86,1452.5,1579.92,1396.99,1933,2627,1900
Inventory,2626.41,1931.91,1386.11,1462.27,1725.58,1869.16,1686.56,2294,2532,2524
Cash & Bank,1464.26,1265.36,1664.84,4483.04,1952.19,2079.52,1411.01,1311,665,645
No. of Equity Shares,254842578,254842578,254842578,254842598,254842598,254842598,254842598,254842598,254842598,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,1273.57,2331.94,3530.88,1870.14,1581.29,1780.09,2037.3,1645,2971,3016
Cash from Investing Activity,-663.29,-462.68,-984.6,2713.8,-1927.01,-2284.95,-1146.57,-817,-1149,-610
Cash from Financing Activity,-1087.3,-1801.66,-2341.44,-2089.46,-1711.83,-129.26,-1455.65,-755,-2076,-2494
Net Cash Flow,-477.02,67.6,204.84,2494.48,-2057.55,-634.12,-564.92,73,-254,-88
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,197.69,166.56,266.87,301.81,262.43,223.55,751.8,974.35,972.45,1080.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,25.48,25.48,25.48,25.48,25.48,25.48,25.48,25.48,25.48,25.48
