COMPANY NAME,TATA COMMUNICATIONS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1726.1,,,,,,,,,
Market Capitalization,49258.34,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,19913.34,18148.58,17619.73,16771.69,16524.95,17067.99,17100.1,16724.73,17838.26,20968.82
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,433.67,252.04,271,253.75,283.86,293,269.11,273.02,316.58,
Other Mfr. Exp,11595.11,10738.8,10125.85,9205.52,8489,8670.36,8222.19,7951.89,8219.33,
Employee Cost,2809.35,2739.56,2839.41,2977.52,2959.66,3039.14,3049.09,3040.34,3597.46,4452.95
Selling and admin,1751.04,1624.45,1643.43,1517.92,1567.95,1381.48,973.68,980.13,1083.02,
Other Expenses,330.12,359.49,334.14,404.76,479.63,395.06,325.45,252.63,303.64,12285.77
Other Income,291.24,82.42,1293.82,-115.86,62.5,-320.83,82.04,338.05,439.5,46.81
Depreciation,2161.09,1864.29,1865.77,1906.3,2067.6,2357.72,2313.87,2204.54,2261.81,2469.67
Interest,750.79,409.06,367.19,344.45,396.55,470.74,420.2,360.25,432.46,644.15
Profit before tax,373.41,243.31,1466.76,45.61,343.2,139.66,1608.55,1999.98,2063.46,1163.09
Tax,370.46,232.85,236.38,354.92,273.32,226.67,354.89,522.13,296.62,213.5
Net profit,1.29,8.68,1232.87,-328.6,-82.37,-85.96,1250.63,1481.76,1795.96,968.34
Dividend Amount,156.75,122.55,171,128.25,128.25,114,399,589.95,598.5,475.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,4184.89,4263.03,4310.52,4430.74,4528.34,4568.66,4771.36,4872.5,5633.26,5691.7
Expenses,3102.41,3217.69,3233.49,3301.12,3450.98,3534.44,3747.32,3857.05,4498.95,4635.4
Other Income,27.29,242.63,233.99,112.97,30.75,61.79,190.6,25.36,-174.04,4.89
Depreciation,542.46,588.72,536.86,551.63,554.82,618.5,579.74,605.12,618.97,665.84
Interest,83.45,89.77,79.9,97.78,122.67,132.11,131.03,137.42,187.55,188.15
Profit before tax,483.86,609.48,694.26,593.18,430.62,345.4,503.87,298.27,153.75,207.2
Tax,95.81,243.27,159.14,65.85,43.58,28.05,130.63,77.88,113.47,-108.48
Net profit,395.21,365.06,543.76,532.29,393.88,326.03,381.69,220.66,44.81,321.18
Operating Profit,1082.48,1045.34,1077.03,1129.62,1077.36,1034.22,1024.04,1015.45,1134.31,1056.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,285,285,285,285,285,285,285,285,285,285
Reserves,36.47,-648.36,1306.9,214.32,-466.81,-1563.36,-169.54,642.59,1233.26,1501.42
Borrowings,13075.72,14230.86,9213.6,8926.97,9934.94,12413.49,11393.6,9121.54,8576.64,11263.17
Other Liabilities,10798.06,11230.03,10227.75,10130.93,10198.02,10995.97,9796.51,9588.38,10424.41,11511.75
Total,24195.25,25097.53,21033.25,19557.22,19951.15,22131.1,21305.57,19637.51,20519.31,24561.34
Net Block,14703.82,14443.81,10928.51,10796.54,11289.39,12768.18,11519.61,10936.2,10499.58,13617.91
Capital Work in Progress,638.34,799.82,750.92,520.31,361.34,348.86,492.92,852.46,1148.06,1176.53
Investments,1767.5,1837.22,2433.96,1250.19,1491.27,1563.1,2233.36,1565.23,1950.55,1608.22
Other Assets,7085.59,8016.68,6919.86,6990.18,6809.15,7450.96,7059.68,6283.62,6921.12,8158.68
Total,24195.25,25097.53,21033.25,19557.22,19951.15,22131.1,21305.57,19637.51,20519.31,24561.34
Receivables,2487,3018.86,2590.04,2953.47,2968.45,3228.87,2607.68,2582.13,2734.99,3758.36
Inventory,26.4,25.42,19.2,26.99,76.58,72.97,34.44,37.88,160,83.54
Cash & Bank,1621.15,1976.27,1079.29,1295.58,852.08,909.13,927.1,743.39,1062.57,842.45
No. of Equity Shares,285000000,285000000,285000000,285000000,285000000,285000000,285000000,285000000,285000000,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,3028.34,2362.69,2393.5,1712.81,1844.33,2524.76,3179.83,4203.82,4384.35,3182
Cash from Investing Activity,-1908.16,-2313.36,939.87,-500.08,-2283.95,-1521.49,-2007.21,-893.58,-1835.93,-2643.97
Cash from Financing Activity,-1388.3,-8.58,-3275.72,-959.11,-27.7,-942.33,-1204.77,-3431.23,-2240.8,-812.95
Net Cash Flow,-268.12,40.75,57.65,253.62,-467.32,60.94,-32.15,-120.99,307.62,-274.92
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
