COMPANY NAME,TATA MOTORS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1030.3,,,,,,,,,
Market Capitalization,377659.27,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,232833.66,263158.98,273045.6,269692.51,291550.48,301938.4,261067.97,249794.75,278453.62,345966.97
Raw Material Cost,146426.99,163250.36,166134.01,173294.08,187896.58,194267.91,164899.82,153607.36,179295.33,231251.26
Change in Inventory,2840.58,3330.35,2750.99,7399.92,2046.58,-2053.28,-2231.19,-4684.16,-1590.49,4781.62
Power and Fuel,1128.69,1121.75,1143.63,1159.82,1308.08,1585.93,1264.95,1112.87,2178.29,2513.33
Other Mfr. Exp,13806.04,16173.17,12101.53,10067.37,10971.66,11694.54,11541.51,8273.17,9427.38,11765.97
Employee Cost,21609.92,25641.95,28880.89,28332.89,30300.09,33243.87,30438.6,27648.48,30808.52,33654.7
Selling and admin,22357.79,23603.01,21991.9,30039.38,31004.58,32719.8,29248.32,23015.79,29205.4,34839.19
Other Expenses,-4508.55,-2539.56,7149.38,4610.2,658.39,1708.74,3456.51,-834.51,1228.12,4908.34
Other Income,-156.79,714.03,-2669.62,1869.1,5932.73,-26686.25,101.71,-11117.83,2424.05,6327.59
Depreciation,11078.16,13388.63,16710.78,17904.99,21553.59,23590.63,21425.43,23546.71,24835.69,24860.36
Interest,4749.44,4861.49,4889.08,4238.01,4681.79,5758.6,7243.33,8097.17,9311.86,10225.48
Profit before tax,18868.97,21702.56,14125.77,9314.79,11155.03,-31371.15,-10579.98,-10474.28,-7003.41,3057.55
Tax,4764.79,7642.91,3025.05,3251.23,4341.93,-2437.45,395.25,2541.86,4231.29,704.06
Net profit,13991.02,13986.29,11579.31,7454.36,8988.91,-28826.23,-12070.85,-13451.39,-11441.47,2414.29
Dividend Amount,643.78,,67.92,,,,,,,766.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,61378.82,72229.29,78439.06,71934.66,79611.37,88488.59,105932.35,102236.08,105128.24,110577.14
Expenses,57262.21,65151.27,70156.27,69521.93,74039.06,77668.35,92817.95,89018.36,91361.3,95158.77
Other Income,862.46,788.73,188.74,2380.98,1351.14,1129.98,1361.61,683.56,1507.05,1410.5
Depreciation,6123.32,6078.13,6432.11,5841.04,5897.34,6071.78,7050.2,6633.18,6636.42,6850
Interest,2327.3,2400.74,2380.52,2420.72,2487.26,2675.83,2641.67,2615.39,2651.69,2484.91
Profit before tax,-3471.55,-612.12,-341.1,-3468.05,-1461.15,3202.61,4784.14,4652.71,5985.88,7493.96
Tax,1005.06,726.05,758.22,1518.96,-457.08,262.83,-620.65,1563.01,2202.84,541.79
Net profit,-4441.57,-1516.14,-1032.84,-5006.6,-944.61,2957.71,5407.79,3202.8,3764,7025.11
Operating Profit,4116.61,7078.02,8282.79,2412.73,5572.31,10820.24,13114.4,13217.72,13766.94,15418.37
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,643.78,643.78,679.18,679.22,679.22,679.22,719.54,765.81,765.88,766.02
Reserves,64959.67,55618.14,78273.23,57382.67,94748.69,59500.34,61491.49,54480.91,43795.36,44555.77
Borrowings,60642.28,73610.39,69359.96,78603.98,88950.47,106175.34,124787.64,142130.57,146449.03,134113.44
Other Liabilities,92180.26,107442.48,114871.75,135914.49,142813.43,139348.59,133180.72,144192.62,138051.22,155239.2
Total,218425.99,237314.79,263184.12,272580.36,327191.81,305703.49,320179.39,341569.91,329061.49,334674.43
Net Block,69091.67,88479.49,107231.76,95944.08,121413.86,111234.47,127107.14,138707.61,138855.45,132079.76
Capital Work in Progress,33262.56,28640.09,25918.94,33698.84,40033.5,31883.84,35622.29,20963.93,10251.09,14274.5
Investments,10686.67,15336.74,23767.02,20337.92,20812.75,15770.72,16308.48,24620.28,29379.53,26379.16
Other Assets,105385.09,104858.47,106266.4,122599.52,144931.7,146814.46,141141.48,157278.09,150575.42,161941.01
Total,218425.99,237314.79,263184.12,272580.36,327191.81,305703.49,320179.39,341569.91,329061.49,334674.43
Receivables,10574.23,12579.2,13570.91,14075.55,19893.3,18996.17,11172.69,12679.08,12442.12,15737.97
Inventory,27270.89,29272.34,32655.73,35085.31,42137.63,39013.73,37456.88,36088.59,35240.34,40755.39
Cash & Bank,29711.79,32115.76,30460.4,36077.88,34613.91,32648.82,33726.97,46792.46,40669.19,37015.56
No. of Equity Shares,3218930000,3218930067,3395930306,3396100719,3396100719,3396100719,3597726185,3829060661,3829414903,3830097221
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
