COMPANY NAME,TATA STEEL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,161.9,,,,,,,,,
Market Capitalization,202108.31,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,148613.55,139503.73,101964.72,112299.42,123249.07,157668.99,139816.65,156294.18,243959.17,243352.69
Raw Material Cost,63251.19,54545.26,38696.27,43843.03,46137.01,60877.05,58039.99,55423.38,91076.61,116597.19
Change in Inventory,514.67,-1122.18,-1925.19,4538.13,-99.31,96.71,565.24,-1516.77,7597.87,3358.89
Power and Fuel,7125.2,6845.38,4993.89,5220.83,4440.43,5316.56,5319.92,5788.48,8028.29,9526.91
Other Mfr. Exp,20662.36,20370.48,16034.28,15799.14,16955.79,20734.28,21232.69,20744.92,28834.06,36578.93
Employee Cost,20303.41,21407.64,17587.63,17252.22,17077.51,18758.87,18533.58,19908.81,23264.1,22419.32
Selling and admin,16160.96,15868.37,12908.42,13772.32,14423.87,16917.14,15599.07,16923.93,27445.67,25519.92
Other Expenses,5441.1,15935.54,10444.28,7806.38,2681.96,5843.58,4193.58,5483.63,9418.36,3769.15
Other Income,716.18,5994.38,10345.87,-3789.11,10898.41,1524.31,-2883.63,179.78,1299.99,1568.86
Depreciation,5841.22,5943.6,5306.35,5672.88,5741.7,7341.83,8440.73,9233.64,9100.87,9335.2
Interest,4336.83,4847.75,4221.41,5072.2,5454.74,7660.1,7533.46,7606.71,5462.2,6298.7
Profit before tax,6722.13,-1388.09,192.87,-1390.56,21135.16,15840.6,-1394.76,13843.69,50226.87,18235.12
Tax,3058.16,2567.41,689.96,2778.01,3392.33,6718.43,-2568.41,5653.9,8477.55,10159.77
Net profit,3594.89,-3925.52,-382.78,-4240.8,13434.33,10218.33,1556.54,7490.22,40153.93,8760.4
Dividend Amount,971.41,777.13,776.19,970.24,1144.95,1488.42,1144.95,2994.02,6228.17,4396.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,60387.13,60783.11,69323.5,63430.07,59877.52,57083.56,62961.54,59489.66,55681.93,55311.88
Expenses,43931.01,44889.44,54293.89,48457.27,53817.2,53035.72,55742.34,54587.06,51414.11,49048.31
Other Income,972.07,48.49,177.26,388.36,411.69,491.43,277.38,1190.24,-6567.77,-32.84
Depreciation,2288.85,2244.09,2243.39,2236.79,2347.82,2368.38,2382.21,2412.32,2479.85,2422.04
Interest,1019.77,1532.49,1098.51,1218.11,1519.07,1767.92,1793.6,1825.15,1959.39,1880.78
Profit before tax,14119.57,12165.58,11864.97,11906.26,2605.12,402.97,3320.77,1855.37,-6739.19,1927.91
Tax,1571.87,2567.42,2029.85,4192.26,1308.06,2904.92,1754.53,1330.52,-228.03,1405.77
Net profit,11918.11,9572.67,9756.2,7764.96,1514.42,-2223.84,1704.86,633.95,-6196.24,513.37
Operating Profit,16456.12,15893.67,15029.61,14972.8,6060.32,4047.84,7219.2,4902.6,4267.82,6263.57
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,971.41,971.41,970.24,970.24,1144.95,1144.94,1144.95,1197.61,1221.21,1221.24
Reserves,39560.55,30378,42762.31,36849.08,59725.67,67780.14,72431.35,73041.16,113221.83,101860.86
Borrowings,81608.65,80701.29,81986.93,83014.49,92127.08,100802.91,116328.2,88501.41,75561.35,84893.05
Other Liabilities,49463.07,47058.6,51164.51,51613.56,55724.44,63045.45,59244.62,81169.01,92417.28,97420.63
Total,171603.68,159109.3,176883.99,172447.37,208722.14,232773.44,249149.12,243909.19,282421.67,285395.78
Net Block,74906.93,68100.33,72199.76,92006.55,96104.89,124441.91,134550.66,135775.18,133287.83,146621.46
Capital Work in Progress,26822.45,28678.12,35996.09,15784.13,16614.41,18641.21,19496.83,19007.4,22045.55,31213.02
Investments,5093.47,3455.05,10713.71,12457.12,17899.47,5738.17,6285.18,10681.93,13139.85,8410.31
Other Assets,64780.83,58875.8,57974.43,52199.57,78103.37,83952.15,88816.45,78444.68,113948.44,99150.99
Total,171603.68,159109.3,176883.99,172447.37,208722.14,232773.44,249149.12,243909.19,282421.67,285395.78
Receivables,16005.77,13309.87,12066.22,11586.82,12415.52,11811,7884.91,9539.84,12246.43,8257.24
Inventory,26880,25149.91,20013.33,24803.82,28331.04,31656.1,31068.72,33276.38,48824.39,54415.33
Cash & Bank,8604.5,8749.94,6186.34,4921.05,7937.85,3341.37,8054.72,5782.18,15898.93,13357.26
No. of Equity Shares,971604900,971604916,970436562,970436562,1203340563,1203331928,1203332459,1203334622,1221566453,12212353070
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
