COMPANY NAME,TATA TELESERVICES (MAHARASHTRA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,75.8,,,,,,,,,
Market Capitalization,14810.69,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2892.73,2972.09,2702.91,1868.51,1277.2,1077.74,1043.66,1093.8,1106.17,1191.65
Raw Material Cost,53.54,24.66,5.67,,,,,,,
Change in Inventory,7.98,-7.74,-2.6,-2.31,,,,,,
Power and Fuel,205.57,194.4,216.93,215.69,74.07,46.6,33.76,31.71,29.95,
Other Mfr. Exp,1543.89,1501.14,973.66,663.26,600.52,456.69,413.73,466.21,437.89,
Employee Cost,158.53,119.9,125.9,103,64.79,59.38,49.84,55.73,62.48,70.6
Selling and admin,194.17,199.01,549.66,476.95,264.54,79.92,55.7,64.56,77.18,
Other Expenses,143.8,180,182.59,272.37,-390.38,13.45,1.74,7.96,6.17,586.05
Other Income,45.25,39.71,-924.28,-7875.04,400.06,-2395.76,-755.71,16.92,11.49,8.58
Depreciation,610.93,459.66,795.82,532.91,177.58,194.98,168.73,160.21,147.16,150.44
Interest,650.78,683.63,1282.27,1568.97,1553.74,1545.07,1561.14,1539.34,1501.55,1621.58
Profit before tax,-615.25,-358.34,-2356.47,-9841.99,-667.6,-3714.11,-1996.69,-1215,-1144.72,-1228.44
Tax,,,,,,,,,,
Net profit,-615.25,-358.34,-2356.47,-9841.99,-667.6,-3714.11,-1996.69,-1215,-1144.72,-1228.44
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,284.22,272.78,266.48,277.66,281.9,280.13,285.51,286.82,296.03,323.29
Expenses,164.27,151.55,149.37,155.59,152.44,148.93,160.64,159.32,157.44,180.78
Other Income,1.75,5,3.52,-3.89,2.14,2.38,3.97,1.8,2.73,1.61
Depreciation,39.41,39.09,39.85,37.73,37.71,31.87,36.47,36.31,38.28,39.38
Interest,384.59,367.76,375.88,373.21,373.68,378.78,393.55,403.22,410.73,414.08
Profit before tax,-302.3,-280.62,-295.1,-292.76,-279.79,-277.07,-301.18,-310.23,-307.69,-309.34
Tax,,,,,,,,,,
Net profit,-302.3,-280.62,-295.1,-292.76,-279.79,-277.07,-301.18,-310.23,-307.69,-309.34
Operating Profit,119.95,121.23,117.11,122.07,129.46,131.2,124.87,127.5,138.59,142.51
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,1954.93,1954.93,1954.93,1954.93,1954.93,1954.93,1954.93,1954.93,1954.93,1954.93
Reserves,-4923.01,-5941.12,-7863.77,-17114.08,-16774.76,-19434.09,-20445.81,-20787.41,-21009.46,-21207.88
Borrowings,7410.18,11653.61,16219.52,15578.01,14807.72,16895.01,17589.96,19793.83,18086.24,20047.16
Other Liabilities,1601.84,1794.46,1595.25,2961.3,4542.71,2298.36,2410.22,403.18,2179.03,512.78
Total,6043.94,9461.88,11905.93,3380.16,4530.6,1714.21,1509.3,1364.53,1210.74,1306.99
Net Block,4188.13,3363.15,7459.95,846.93,718.07,893.76,830.12,779.1,740.49,788.14
Capital Work in Progress,46.4,4246.29,2503.53,26.59,26.31,39.18,29.3,28.16,34.35,59.21
Investments,,592.08,679.62,377.79,608.63,,70.23,100.5,66.41,34.35
Other Assets,1809.41,1260.36,1262.83,2128.85,3177.59,781.27,579.65,456.77,369.49,425.29
Total,6043.94,9461.88,11905.93,3380.16,4530.6,1714.21,1509.3,1364.53,1210.74,1306.99
Receivables,199.95,290.88,226.91,157.88,89.32,121.72,78.22,121.24,109.69,155.89
Inventory,12.42,4.68,2.04,0.13,,,,,,
Cash & Bank,49.49,66.99,37.03,39.16,171.13,84.53,43.29,17.02,14.26,32.49
No. of Equity Shares,1954927727,1954927727,1954927727,1954927727,1954927727,1954927727,1954927727,1954927727,1954927727,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,635.91,765.98,729.9,603.44,-733.89,-359.72,567.22,530.08,558.08,586.07
Cash from Investing Activity,-785,-1182.58,-2197.82,258.75,-101.49,510.12,-176.52,-129.52,-66.2,-64.46
Cash from Financing Activity,176.93,434.11,1041.04,-860.04,967.35,-237,-432.22,-426.87,-494.37,-503.41
Net Cash Flow,27.84,17.51,-426.88,2.15,131.97,-86.6,-41.52,-26.31,-2.49,18.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,8,6.72,7.28,5.65,3.11,1.8,14.1,166.7,55.45,74
,,,,,,,,,,
DERIVED:,,,,,,,,,,
