COMPANY NAME,TEAM LEASE SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,3263.25,,,,,,,,,
Market Capitalization,5489.83,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1529.65,2007.07,2504.92,3041.29,3624.12,4447.6,5200.72,4881.46,6479.82,7870
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,1.19,1.2,1.39,1.74,1.68,2.17,3.68,2.52,2.77,3.04
Other Mfr. Exp,0.29,3.54,5.28,7.25,7.61,11.21,12.99,11.76,13.3,18.1
Employee Cost,1483.9,1944.48,2439.13,2941.33,3471.24,4197.15,4936.48,4686.98,6180.73,7569.81
Selling and admin,19.24,31.48,30.48,35.6,59.72,118.83,103.31,49.99,115.31,126.12
Other Expenses,12.9,2.21,2.71,18.31,15.32,24.16,51.17,32.78,25.28,30.47
Other Income,7.88,11.36,15.44,21.65,15.61,18.06,30.76,31.71,-52.11,41.42
Depreciation,1.92,2.72,3.01,6.1,9.16,10.51,28.59,33.71,40.79,43.16
Interest,0.23,0.22,0.54,1.1,2.47,5.22,12.29,6.9,3.97,5.69
Profit before tax,17.86,32.58,37.82,51.51,72.53,96.41,82.97,88.53,45.56,115.03
Tax,,1.8,13.02,-6.07,-0.92,-1.62,48,10.06,6.11,3.48
Net profit,17.86,30.78,24.8,57.57,73.46,98.03,34.98,77.5,38.43,111.34
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1523.56,1762.08,1817.41,1879.39,1955.05,2008.28,2027.27,2171.6,2272.6,2445.36
Expenses,1489.4,1724.41,1776.38,1854.09,1923.38,1976.65,1993.59,2145.26,2240.85,2409.3
Other Income,-69.6,5.1,5.31,12.26,11.82,9.97,7.56,14.04,13.04,13.52
Depreciation,11.14,9.79,10.6,9,10.1,11.3,12.77,12.5,12.91,13.56
Interest,1.38,1.04,0.76,0.68,1.23,1.66,2.12,2.05,2.48,3.08
Profit before tax,-47.96,31.94,34.98,27.88,32.16,28.64,26.35,25.83,29.4,32.94
Tax,1.36,1.71,3.34,1.35,0.54,-0.39,1.98,0.07,1.75,1.82
Net profit,-49.48,29.97,30.86,26.53,31.92,28.96,23.94,26.4,27.27,31
Operating Profit,34.16,37.67,41.03,25.3,31.67,31.63,33.68,26.34,31.75,36.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,0.51,0.51,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1
Reserves,118.33,148.31,294.48,349.25,424.57,522.02,554.99,634.93,676.11,790.53
Borrowings,0.86,,19.36,1.1,7.29,10.63,123.67,22.85,59.83,100.12
Other Liabilities,123.59,163.77,247.64,306,437.1,539.79,559.49,635.91,784.78,856.24
Total,243.29,312.59,578.58,673.45,886.06,1089.54,1255.25,1310.79,1537.82,1763.99
Net Block,10.71,5.27,11.12,106.92,137.55,151.75,264.65,254.89,262.17,303.33
Capital Work in Progress,,4.19,,,0.22,6.01,11.42,15.09,17.83,16.91
Investments,0.02,0.02,0.02,10.31,59.29,41.41,25.31,69.99,53.35,193.88
Other Assets,232.56,303.11,567.44,556.22,689,890.37,953.87,970.82,1204.47,1249.87
Total,243.29,312.59,578.58,673.45,886.06,1089.54,1255.25,1310.79,1537.82,1763.99
Receivables,59.45,81.25,120.47,172.94,223.49,264.35,295.94,277.69,369.65,380.27
Inventory,0.25,0.22,0.23,,,,,,,
Cash & Bank,84.73,114.7,258.97,160.15,142.43,123.04,97,288.69,293.01,247.95
No. of Equity Shares,5110688,5110688,17096769,17096769,17096769,17096769,17096769,17096769,17096769,17096769
New Bonus Shares,,,14820995,,,,,,,
Face value,1,1,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,16.37,34.28,-10.48,35.74,79.25,-12.37,9.69,303.33,-6.15,126.24
Cash from Investing Activity,-34.84,-24.35,-118.71,-18.6,-23.55,1.76,-47.3,-12.27,-88.5,-123.15
Cash from Financing Activity,-11.48,-0.96,156.93,-22.91,-13.29,-6.13,-0.08,-44.4,-13.07,-24.36
Net Cash Flow,-29.95,8.97,27.74,-5.77,42.41,-16.74,-37.68,246.66,-107.72,-21.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,895.9,972.05,2221.4,3026.05,1627.1,3771.65,4338.9,2239.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.51,0.51,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71
