COMPANY NAME,TECH MAHINDRA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,1269.1,,,,,,,,,
Market Capitalization,124004.46,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,22621.3,26494.2,29140.8,30772.9,34742.1,36867.7,37855.1,44646,53290.2,51995.5
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,150.9,168.8,187.9,194.7,199.2,205.3,140.4,139.9,175.3,
Other Mfr. Exp,3855.3,5092.9,5910.3,5861.6,6716.7,8293.7,8564.1,11289.8,13628.8,
Employee Cost,11913.7,13947.5,15453.9,16624,17507.9,18810,19297.3,22285.9,27691.8,29128.3
Selling and admin,2384.2,2795.5,3053.2,3008.1,3422.1,3400.1,2152.1,2592.2,3020.6,
Other Expenses,124.2,229.8,351.1,374.9,624.8,655.5,904.9,318.2,1010.9,18360.9
Other Income,105.6,452.9,775.3,1416.6,534.2,1192.4,788.3,1115.1,965,927.4
Depreciation,611.4,758.9,978.1,1085,1129.2,1445.8,1457.7,1520.4,1956.7,1817.1
Interest,69.1,97,128.6,162.4,133.2,191.9,174,162.6,325.6,392.2
Profit before tax,3618.1,3856.7,3853,4878.8,5543.2,5057.8,5952.9,7452.1,6445.5,3224.4
Tax,959.5,830.1,1002.1,1092.6,1254.4,1160.4,1599.9,1822,1588.5,827.6
Net profit,2627.7,2992.9,2812.9,3799.8,4297.6,4033,4428,5566.1,4831.3,2357.8
Dividend Amount,576.48,1045.2,789.84,1236.76,1242.36,1307.7,3933,2632.8,4400,3530.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,11450.8,12116.3,12707.9,13129.5,13734.6,13718.2,13159,12863.9,13101.3,12871.3
Expenses,9391.5,10027.9,10827.8,11185.1,11599.6,11915.2,11821,11949.6,11954.9,11772.2
Other Income,223.1,324.3,122.4,290.2,247.2,305.5,199.5,264.2,92.3,379.9
Depreciation,362.1,484.2,476.7,491.7,498.1,490.2,446.6,465.7,443.4,461.4
Interest,33.9,55.2,40.3,79,112.9,93.4,119.7,97.5,116.5,58.5
Profit before tax,1886.4,1873.3,1485.5,1663.9,1771.2,1524.9,971.2,615.3,678.8,959.1
Tax,508.2,328,338,364.7,485.9,399.9,267.6,110,155.1,294.9
Net profit,1368.5,1505.7,1131.6,1285.4,1296.6,1117.7,692.5,493.9,510.4,661
Operating Profit,2059.3,2088.4,1880.1,1944.4,2135,1803,1338,914.3,1146.4,1099.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,480.4,435.5,438.8,441.7,443.7,435.9,437,438.8,440,441.3
Reserves,11768.5,14155.4,15998.4,18401.1,19840.7,21377.2,24428,26446.9,27484.5,26228.1
Borrowings,700.1,1090.9,1366.2,2396.6,1995.5,3670.5,2900.8,2618.4,2740.2,2536.7
Other Liabilities,6899.1,6842.9,8253.6,9192,11165.9,11834.3,11836.1,14911.4,15162.5,14217.5
Total,19848.1,22524.7,26057,30431.4,33445.8,37317.9,39601.9,44415.5,45827.2,43423.6
Net Block,4032.9,4309.3,6460.1,7622.4,7061.2,8872,9018.5,14783.6,14931.5,13935.1
Capital Work in Progress,567.7,629.4,372.9,239.9,276.3,50.1,118.3,165.1,119.7,101.1
Investments,2102.8,1297.1,2395.5,4840.7,7341.9,5848.3,10237.6,4883.8,3388.1,3237.7
Other Assets,13144.7,16288.9,16828.5,17728.4,18766.4,22547.5,20227.5,24583,27387.9,26149.7
Total,19848.1,22524.7,26057,30431.4,33445.8,37317.9,39601.9,44415.5,45827.2,43423.6
Receivables,5205.9,5770.5,5337.7,6497.9,6958.6,7577.2,9031.7,11933.4,12881.6,7125.6
Inventory,24.5,40.3,61.1,65.9,75.2,35.8,24.2,40.5,23.6,37.5
Cash & Bank,2404.9,4018,3218.6,3044.3,2358.7,3148.3,2835.2,3974.5,4254.7,4735.5
No. of Equity Shares,960788912,967810069,877539300,979733808,887268630,965852364,873959406,877597850,879911846,
New Bonus Shares,240161580,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,2447.9,3137,4071.4,3553.5,4432,4358.1,8093.8,5285.3,5572,6376.4
Cash from Investing Activity,-1865.2,-1453.2,-2893,-3319.3,-2104.2,1081.4,-5433.2,479.8,-226.5,-1313.7
Cash from Financing Activity,-829,-496.1,-1570.9,-269.4,-2251.2,-4465.5,-2986.9,-4666.6,-5078.1,-4767.2
Net Cash Flow,-246.3,1187.7,-392.5,-35.2,76.6,974,-326.3,1098.5,267.4,295.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
