COMPANY NAME,TEGA INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1526.45,,,,,,,,,
Market Capitalization,10185.9,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,622.39,534.03,497.43,548.59,633.76,684.85,805.52,951.76,1213.97
Raw Material Cost,,215.15,170.92,195.08,203.05,265.03,284.74,328.24,403.63,529.1
Change in Inventory,,-3.91,-10.76,23.87,-8.05,7.65,10.91,4.45,1.01,1.48
Power and Fuel,,20.12,13.56,15.21,16.08,21.05,21.53,21.32,27.03,35.15
Other Mfr. Exp,,16.27,13.66,9.03,10.3,14.92,15.91,17.81,23.44,27.72
Employee Cost,,127.03,118.27,121.03,109.04,111.4,115.36,122.7,143.5,162.78
Selling and admin,,109.87,98.79,48.11,42.59,87.51,89.59,100.44,135.05,147.85
Other Expenses,,54.81,55.35,102,85.98,41.6,59.9,26.94,36.12,40.9
Other Income,,4.53,6.07,23.81,21.91,9.3,11.62,50.11,27.01,24.53
Depreciation,,26.46,30.3,34.9,33.44,37.76,38.36,40.18,38.7,41.2
Interest,,35.75,23.16,19.65,22.01,24.99,22.75,18.59,17.34,19.18
Profit before tax,,17.55,5.33,0.1,39.96,46.45,59.24,183.86,154.97,236.1
Tax,,32.07,15.54,2.4,11.9,13.79,-6.26,47.46,38.07,52.07
Net profit,,-14.27,-10.04,-2.38,28.11,32.63,65.5,136.41,116.9,184.03
Dividend Amount,,,,,,,,,,13.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,230.71,257.79,290.05,244.45,276.19,296.93,396.41,268.07,377.46,340.2
Expenses,191.36,206.79,221.1,198.27,222.09,229.62,293.59,228.74,295.75,284.12
Other Income,2.69,4.41,13.17,-2.3,7.63,11.67,8,9.04,4.41,7.39
Depreciation,10.2,8.88,9.11,9.14,9.64,10.36,12.06,13.53,13.82,13.97
Interest,2.57,2.43,7.59,4.97,4.87,5.09,3.19,8.18,8.93,7.51
Profit before tax,29.27,44.1,65.42,29.77,47.22,63.53,95.57,26.66,63.37,41.99
Tax,6.71,10.51,16.54,6.72,11.87,15.16,18.32,5.27,16.01,6.38
Net profit,22.55,33.59,48.88,23.05,35.35,48.37,77.26,21.39,47.36,35.62
Operating Profit,39.35,51,68.95,46.18,54.1,67.31,102.82,39.33,81.71,56.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,57.6,57.6,57.6,57.6,57.6,57.6,57.6,66.29,66.35
Reserves,,381.47,360.12,282.45,310.72,334.81,396.2,547.43,669.74,982.64
Borrowings,,346.92,311.49,229.51,240.21,243.51,278,219.67,245.16,360.88
Other Liabilities,,102.89,114.26,179.8,158.91,149.21,148.77,184.88,188.98,219.46
Total,,888.88,843.47,749.36,767.44,785.13,880.57,1009.58,1170.17,1629.33
Net Block,,231.28,233.63,295.69,286.68,284.05,265.93,296.14,298.3,548.2
Capital Work in Progress,,17.32,8.48,8.17,4.98,4.04,8.62,6.86,10.17,12.03
Investments,,82.76,71.22,72.54,60.29,76.82,157.79,201.3,198.53,216.87
Other Assets,,557.52,530.14,372.96,415.49,420.22,448.23,505.28,663.17,852.23
Total,,888.88,843.47,749.36,767.44,785.13,880.57,1009.58,1170.17,1629.33
Receivables,,183.1,186.33,160.47,169.82,200.55,182.81,220.86,276.52,403.13
Inventory,,105.09,96.63,112.39,110.14,121.06,132.63,158.63,252.14,289.59
Cash & Bank,,44.47,28.58,30.83,58.78,19.7,36.91,48.41,40.2,49.3
No. of Equity Shares,,57600868,57600868,66293149,66293149,57600868,57600868,57600868,66293149,66354112
New Bonus Shares,,,,,,,,,,
Face value,,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,60.5,43.88,68.67,128.38,170.25,13.71,178.55
Cash from Investing Activity,,,,-14.18,8.43,-13.88,-101.57,-80.24,-25.17,-235.36
Cash from Financing Activity,,,,-43.88,-22.36,-93.21,-9.2,-79,3.09,63.04
Net Cash Flow,,,,2.44,29.95,-38.43,17.6,11.01,-8.37,6.22
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,470.4,701.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,5.76,5.76,5.76,5.76,5.76,5.76,5.76,6.63,6.64
