COMPANY NAME,THERMAX LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,4485.35,,,,,,,,,
Market Capitalization,53462.85,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,5081.02,5304.41,5144.96,4483.08,4464.88,5973.17,5731.31,4791.25,6128.33,8089.81
Raw Material Cost,2902.6,2845.74,2750.72,2244.46,2380.81,3360.64,3100.42,2550.79,3627.56,4595.43
Change in Inventory,40.96,-23.28,10.92,-20.49,27.44,18.12,14.57,12.16,142.52,-29.25
Power and Fuel,39.24,38.59,32.46,33.34,40.11,51.02,44.36,38.59,52.31,61.96
Other Mfr. Exp,558.94,678.72,748.08,598.89,532.63,822.71,799.2,684.36,848.77,1197.76
Employee Cost,701.86,709.29,662.94,688.18,683.19,769.51,799.86,759.64,813.93,959.77
Selling and admin,357.95,428.9,357.22,340.59,367.04,409.52,491.13,342.61,462.12,552.17
Other Expenses,111.79,117.69,171.35,123.4,111.44,120.97,110.22,71.47,52.43,92.35
Other Income,70.48,72.83,118.42,95.47,115.04,59.79,105.49,54.45,134.78,156.39
Depreciation,92.15,134.12,72.24,81.9,82.44,92.02,116.63,114.57,113.24,116.86
Interest,38.59,81.95,12.19,9.71,12.85,14.32,15.02,20.64,25.17,37.59
Profit before tax,389.34,318.96,467.1,437.59,396.85,410.37,374.53,275.19,410.1,603.06
Tax,169.59,170.83,143.94,155.99,165.75,84.94,162.08,68.61,97.79,152.36
Net profit,245.99,209.77,282.27,223.01,232.11,325.43,212.45,206.58,312.31,450.29
Dividend Amount,71.49,83.4,67.56,67.56,67.56,78.82,78.82,78.82,101.34,112.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1469.32,1614.73,1991.92,1654.48,2075.26,2049.25,2310.82,1932.96,2302.46,2324.36
Expenses,1359.31,1501.63,1856.7,1558.52,1934.93,1888.43,2110.92,1801.15,2098.09,2137.27
Other Income,36.75,29.17,35.83,20.54,39.83,42.32,57.81,2.43,65.86,184.52
Depreciation,27.42,28.97,29.46,28.55,29.8,29.07,29.44,29.4,32.96,35.84
Interest,5.05,5.26,10.08,6.57,7.98,9.12,13.92,13.37,19.8,26.61
Profit before tax,114.29,108.04,131.51,81.38,142.38,164.95,214.35,91.47,217.47,309.16
Tax,26.37,28.59,28.97,22.43,33.24,38.55,58.14,31.52,58.87,72.1
Net profit,87.92,79.45,102.54,58.95,109.16,126.19,155.99,58.88,157.73,238.34
Operating Profit,110.01,113.1,135.22,95.96,140.33,160.82,199.9,131.81,204.37,187.09
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,23.83,23.83,22.52,22.52,22.52,22.52,22.52,22.52,22.52,22.52
Reserves,2014.47,2122.58,2393.64,2515.1,2692.22,2991.77,3005.38,3228.87,3469.97,3845.55
Borrowings,761.39,687.69,195.36,135.73,233.72,240.26,230.29,327.89,367.71,830.53
Other Liabilities,3142.42,3255.08,2554,2371.11,2980.1,3535.49,2693.29,2920.58,3597.82,4137.1
Total,5942.11,6089.18,5165.52,5044.46,5928.56,6790.04,5951.48,6499.86,7458.02,8835.7
Net Block,1526.54,1431.41,827.31,810.73,972.68,1311.86,1282.98,1242.04,1194.74,1248.17
Capital Work in Progress,53.7,42.92,60.01,141.3,103.37,40.12,56,24.16,44.32,433.77
Investments,707.89,821.76,1049.81,1083.04,1471.73,829.34,875.2,234.46,1476.53,1626.08
Other Assets,3653.98,3793.09,3228.39,3009.39,3380.78,4608.72,3737.3,4999.2,4742.43,5527.68
Total,5942.11,6089.18,5165.52,5044.46,5928.56,6790.04,5951.48,6499.86,7458.02,8835.7
Receivables,1468.49,1775.74,1334.09,1034.24,1243.21,1378.13,1386.33,1237.1,1423.72,1762.06
Inventory,415.77,430.97,290.32,283.25,366.62,508.62,454.56,404.74,727.01,755.63
Cash & Bank,450.84,384.36,297.64,220.99,293.99,369.06,481.49,1939.2,953.5,1131.58
No. of Equity Shares,119156300,119156300,119156300,119156300,119156300,119156300,119156300,112614860,112614860,112614860
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,321.29,310.75,252.58,334.58,533.59,-115.42,325.58,769.48,324.71,459.56
Cash from Investing Activity,-382.09,79.62,-127.11,-99.33,-506.55,265.98,-140.02,-626.91,-419.5,-663.81
Cash from Financing Activity,190.51,-351.23,-112.25,-125.58,-20.32,-65.37,-232.45,77.24,-20.58,348.54
Net Cash Flow,129.71,39.14,13.22,109.67,6.72,85.19,-46.89,219.81,-115.37,144.29
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
