COMPANY NAME,TITAGARH RAIL SYSTEMS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1099.6,,,,,,,,,
Market Capitalization,14816.04,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,624.12,761.12,959.17,1713.6,1268.19,1559.29,1766.32,1520.64,1467.5,2779.59
Raw Material Cost,384.17,384.94,558.68,915.2,692.4,999.77,1192.3,1045.66,1037.26,2165.3
Change in Inventory,24.03,-79.58,3.62,-164.6,-64.84,63.95,40.81,52.24,-10.32,15.37
Power and Fuel,27.85,24.41,27.58,28.59,27.68,35.04,45.58,34.22,33.26,43.7
Other Mfr. Exp,75.53,76.28,80.84,134.58,139.9,185.36,207.74,111.41,111.39,188.99
Employee Cost,88.86,75.83,168.76,212.84,239.78,176.56,152.11,211.05,46.19,57.33
Selling and admin,35.49,36.47,57.51,71.16,88.66,107.61,56.1,55.04,23.69,29.79
Other Expenses,30.88,43.7,38.96,78.47,112,110,126.57,34.87,40.47,59.08
Other Income,19.89,-0.14,19.94,24.37,24.79,24.75,34.02,24.86,-60.76,33.66
Depreciation,18.27,25.67,45.92,51.52,50.84,23.99,29.13,29.87,18.38,22.5
Interest,13.63,17.65,17.29,31.31,44.06,65.18,88.27,81.2,57.27,80.75
Profit before tax,-6.64,-3.55,-12.81,49.7,-167.18,-55.52,-56.65,-5.58,28.51,181.18
Tax,3.86,6.28,6.71,22.26,-19.95,-33,-20.51,13.21,29.19,55.47
Net profit,-8.93,-3.31,-19.52,26.9,-143.62,-28.52,-34.19,-15,-0.33,130.2
Dividend Amount,8.02,1.6,9.23,9.23,3.46,3.47,,,,5.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,342.1,379.45,422.19,431.86,607.12,766.4,974.22,910.76,935.45,954.68
Expenses,303.83,336.48,376.24,391.62,553.73,701.11,882.41,804.66,820.86,844.02
Other Income,-7.61,-12.49,-43.76,-13.25,28.59,11.14,7.22,3.89,6.96,14.27
Depreciation,3.81,4.95,5.55,5.4,5.31,5.42,6.38,6.63,6.69,6.79
Interest,13.48,16.65,15.68,15.56,19.9,23.04,22.25,19.1,20.28,18.23
Profit before tax,13.37,8.88,-19.04,6.03,56.77,47.97,70.4,84.26,94.58,99.91
Tax,7.62,7.41,6.26,6.09,11.78,15.42,22.16,22.47,23.99,25.08
Net profit,5.75,1.47,-24.95,1.2,48.21,32.55,48.24,61.78,70.59,74.82
Operating Profit,38.27,42.97,45.95,40.24,53.39,65.29,91.81,106.1,114.59,110.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,20.06,20.06,23.08,23.08,23.1,23.11,23.12,23.88,23.91,23.91
Reserves,642.47,668.77,929.51,944.49,831.57,793.07,743.49,816.68,818.21,939.64
Borrowings,128.32,124.95,232.68,371.64,623.98,896.49,729.74,846.96,919.79,353.26
Other Liabilities,288.78,246.04,1492.92,1355.76,1210.17,974.79,775.36,774.75,902.52,931.27
Total,1079.63,1059.82,2678.19,2694.97,2688.82,2687.46,2271.71,2462.27,2664.43,2248.08
Net Block,323.49,415.56,977.27,933.06,957.5,934.93,871.62,871.28,965.84,731.75
Capital Work in Progress,10.75,26.56,13.18,15.46,27.1,35.66,,41.32,61.11,12.28
Investments,33.21,1.21,21.33,81.91,82.85,86.98,28.88,31.28,30.15,31.8
Other Assets,712.18,616.49,1666.41,1664.54,1621.37,1629.89,1371.21,1518.39,1607.33,1472.25
Total,1079.63,1059.82,2678.19,2694.97,2688.82,2687.46,2271.71,2462.27,2664.43,2248.08
Receivables,139.03,112.83,229.92,234.01,276.14,344.07,252.32,567.21,232.57,279.14
Inventory,308.4,224.34,716.24,537.28,441.54,521.26,376.29,385.19,503.86,461.37
Cash & Bank,139.1,147.22,203.73,46.2,73.72,119.47,56.06,124.04,42.06,99.98
No. of Equity Shares,20059069,20059069,115384370,115412000,115500000,115528000,115606000,119387000,119571000,119571000
New Bonus Shares,,,,,,,,,,
Face value,10,10,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,68.36,102,-154.04,-177.11,-121.07,-124.39,153.73,67.69,54.59,40.92
Cash from Investing Activity,-33.92,-25,-50.2,43.81,-44.88,-49.01,3.67,-60.19,-72.62,-61
Cash from Financing Activity,-16.51,-68.53,215.54,111.39,190.52,213.65,-227.08,43.22,-52.71,66.53
Net Cash Flow,17.93,8.47,11.3,-21.92,24.58,40.25,-69.68,50.72,-70.74,46.45
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,22.87,115.18,95.1,116.25,109.7,69.95,24.9,44.55,101.35,262.4
,,,,,,,,,,
