COMPANY NAME,TORRENT POWER LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1321.25,,,,,,,,,
Market Capitalization,63480.03,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,8640.7,10348.32,11680.47,9959.6,11512.09,13150.97,13640.63,12172.66,14257.61,25694.12
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,-6.83,4.3,-1.25,19.58,-1.45,-8.86,11.11,29.19
Power and Fuel,6547.72,7545.64,7223.23,6502.8,7152.54,8489.78,8355.02,7153.21,8979.56,17519.52
Other Mfr. Exp,544.56,477.66,775.41,451.73,562.9,741.7,662.57,629.83,999.89,2620.25
Employee Cost,391.19,473.68,523.37,569.83,650,686.22,725.86,727.95,752.79,828.26
Selling and admin,92.54,108.64,173.58,153.93,170.52,184.9,222.77,197.12,240.6,310.73
Other Expenses,-266.3,-360.01,-21.05,-186.87,-173.32,-149.5,77.25,-21.58,-318.78,-344.03
Other Income,233.05,320.44,337.05,178.7,232.48,171.62,-862.05,129.78,-1088.62,351.94
Depreciation,584.56,720.5,915.74,1005.86,1131.5,1226.53,1304.27,1279.55,1333.86,1280.96
Interest,704.62,962.29,1130.78,1057.98,848.19,898.93,954.55,775.73,628.21,818.2
Profit before tax,274.86,740.36,1289.63,587.34,1400.99,1263.61,474.84,1551.77,563.97,3041.36
Tax,166.96,377.69,387.39,157.55,448.87,359.78,-704.04,255.9,105.27,876.69
Net profit,105.26,359.69,900.2,428.95,942.31,898.94,1174.15,1290.93,453.98,2117.43
Dividend Amount,23.62,70.87,216.28,105.74,240.31,240.31,557.52,528.68,432.56,1249.61
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3647.62,3767.43,3743.65,6510.31,6703.15,6442.79,6037.87,7327.62,6960.92,6366.09
Expenses,2709.3,2833.48,2753.01,5449.89,5538.99,4999.12,4947.45,6142.84,5739.51,5322.03
Other Income,36.07,65.71,-1203.06,108.31,94.06,83.65,95.83,85.7,108.19,53.56
Depreciation,331.65,333.9,339.68,311.69,318.57,321.88,328.82,331.96,341.74,348.78
Interest,157.49,156.64,151.23,185.98,215.02,228.01,189.19,227.25,247.19,235.49
Profit before tax,485.25,509.12,-703.33,671.06,724.63,977.43,668.24,711.27,740.67,513.35
Tax,116.41,139.67,-215.96,169.05,240.44,282.89,184.31,178.99,198.12,139.22
Net profit,367.35,368.08,-488.04,502.11,481.65,684.6,449.07,517.27,525.89,359.83
Operating Profit,938.32,933.95,990.64,1060.42,1164.16,1443.67,1090.42,1184.78,1221.41,1044.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,472.45,472.45,480.62,480.62,480.62,480.62,480.62,480.62,480.62,480.62
Reserves,5732.86,6083.21,5989.84,6411.47,7238.91,8489.61,8672.92,9703.62,9462.56,10529.38
Borrowings,9463.44,9354.67,8514.84,8768.14,9298.09,9715.15,8908.42,7816.56,9142.63,10541.41
Other Liabilities,3456.79,3722.16,4626.42,5132.3,5571.41,5865.09,5541.22,5513.42,5901.77,8320.12
Total,19125.54,19632.49,19611.72,20792.53,22589.03,24550.47,23603.18,23514.22,24987.58,29871.53
Net Block,10184.67,15088.24,15138.94,16803.99,17870.72,18013.89,17569.29,17326.04,17097.28,19269.19
Capital Work in Progress,4549.61,233.03,213.29,332.09,392.51,359.27,567.59,837.73,1297.27,2624.69
Investments,865.88,606.57,511.47,670.9,872.95,914.42,723.54,465.78,406.52,803.69
Other Assets,3525.38,3704.65,3748.02,2985.55,3452.85,5262.89,4742.76,4884.67,6186.51,7173.96
Total,19125.54,19632.49,19611.72,20792.53,22589.03,24550.47,23603.18,23514.22,24987.58,29871.53
Receivables,803.57,892.38,1056.98,975.05,1130.45,1229.69,1279.75,1420.29,1602.7,2246.33
Inventory,290.18,259.71,420.23,369.37,454.88,627.03,598.24,450.35,537.57,820.28
Cash & Bank,1558.23,1770.28,779.65,269.34,317.55,328,280.26,202.42,352.34,343.52
No. of Equity Shares,472448300,472448308,480616784,480616784,480616784,480616784,480616784,480616784,480616784,480616784
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,1355.46,2251.45,2550.3,2356,2763.5,2424.6,3610.41,2987.56,3167.18,3455.78
Cash from Investing Activity,-885.3,-1157.83,-910.53,-2121.7,-2418.44,-1828.46,-1129.13,-910.46,-2483.12,-3215.96
Cash from Financing Activity,437.44,-1205.5,-2162.93,-674.18,-311.41,-616.57,-2506.19,-2060.98,-501.93,-341
Net Cash Flow,907.6,-111.88,-523.16,-439.88,33.65,-20.43,-24.91,16.12,182.13,-101.18
